Spanish	Eastern Lombard	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
ɣ	ɡ	1.0
n	ɲ	0.061
o	-	0.351
x	ʧ	0.071
x	ʤ	0.081
ŋ	-	0.211
ɟ͡ʝ	-	0.361
ɡ	k	0.081
ɲ	n	0.251
ˈi	ˈe	0.151
ˈo	ˈɔ	0.191
β	-	0.561
a	-	0.082
l	l	0.832
x	-	0.132
ʝ	j	0.432
ˈo	ˈo	0.32
θ	-	0.062
θ	z	0.172
e	-	0.063
i	-	0.073
i	e	0.073
o	e	0.133
x	j	0.153
x	z	0.563
ˈe	-	0.103
ˈe	ˈe	0.263
β	f	0.23
b	ʋ	0.14
i	i	0.854
j	-	0.794
o	o	0.324
w	w	0.54
ð	t	0.464
ˈe	ˈi	0.114
ˈi	ˈi	0.574
ˈo	ˈy	0.054
a	a	0.885
ɾ	r	0.585
ʧ	ʧ	0.425
ʧ	t	0.575
ˈe	ˈɛ	0.335
ˈu	ˈø	0.275
β	b	0.115
b	b	0.86
m	m	0.966
o	ˈo	0.06
t	t	0.826
w	ˈø	0.46
ð	-	0.156
ˈu	ˈo	0.16
β	p	0.056
e	z_e	0.057
n	n	0.887
t	-	0.067
ˈa	ˈa	0.977
ˈe	ˈa	0.097
ˈi	ˈɛ	0.147
ˈo	ˈø	0.157
θ	s	0.767
e	e_r	0.308
e	e	0.388
k	k	0.968
o	ˈø	0.058
o	a	0.058
s	s	0.948
ð	d	0.38
ɾ	-	0.398
ʝ	l	0.568
ˈi	-	0.128
ˈo	ˈu	0.278
e	a	0.099
j	j	0.179
l	j	0.059
l	-	0.109
t	s	0.059
ŋ	ŋ	0.789
ɟ͡ʝ	ʧ	0.319
ɟ͡ʝ	z	0.319
ɡ	ɡ	0.919
ɲ	ɲ	0.749
ˈu	ˈɔ	0.069
ˈu	ˈy	0.449
