Jin	Jin	probability
⁵³_#>	#>	1.0
⁴⁵_#>	#>	1.0
ʨʰ_j	ʦʰ	1.0
ʨ	k	1.0
ʔ_²_#>	#>	1.0
ʐ	n_i	1.0
ɻ	-	1.0
ɥ	-	1.0
ɣ	q	1.0
ɕ	s	1.0
ŋ_⁴⁵	n_s	1.0
¹¹_#>	#>	1.0
¹¹	-	1.0
²_#>	#>	1.0
²	-	1.0
z̩_⁵³	l	1.0
ỹ	ɢ_u	1.0
x_w	ɡʷ	1.0
w_¹¹_#>	u_#>	1.0
u_¹¹_#>	a_#>	1.0
t	d	1.0
pʰ͡x	b	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	r	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_⁴⁵	d_s	1.0
j_¹¹	l	1.0
i	-	1.0
e	-	1.0
<#_x	<#	1.0
x	ɡ	0.833
ɤ	aː_l	0.714
f	p	0.714
s	h	0.667
ʔ	ɡ	0.647
<#	<#_ŋ	0.636
#>	s_#>	0.636
v	m	0.625
ŋ	ŋ	0.609
y	a_ʔ	0.6
ʦ	t	0.571
ɒ̃	a_ŋ	0.556
ʨʰ	ɡ	0.5
ʨʰ	kʰ	0.5
z̩	ɯ_s	0.5
z̩	l	0.5
w_⁵³	ʔ	0.5
w_⁵³	u_ʔ	0.5
ũ	u	0.5
ũ	oː	0.5
u	ɯ_ʔ	0.5
u	aː_ʔ	0.5
ĩ	r_ɯ	0.5
ĩ	-	0.5
⁴⁵	-	0.455
ɒ̃	aː_ŋ	0.444
ʦ	ʔ_s	0.429
y	a	0.4
tʰ͡x	l̥ʰ	0.4
tʰ͡x	-	0.4
w	oː	0.385
w	-	0.385
v	-	0.375
⁴⁵	n_s	0.364
æ̃	n	0.364
j	r	0.364
ʔ	d	0.353
ə̃	ɯː	0.333
ə̃	ɯ	0.333
ə̃	-	0.333
ə	-	0.333
s	s_r	0.333
ɤ	l	0.286
f	b	0.286
æ̃	uː_m	0.273
j	-	0.273
a	aː	0.269
ŋ	n	0.261
ʦʰ	sʰ	0.25
ʦʰ	kʰ	0.25
ʦʰ	-	0.25
ə	i	0.238
w	i	0.231
tʰ͡x	r̥ʰ	0.2
ə	ɯ	0.19
⁴⁵	d_s	0.182
æ̃	aː_n	0.182
æ̃	aː	0.182
j	ɡ	0.182
j	l	0.182
<#	<#_r	0.182
<#	<#_q	0.182
#>	ʔ_#>	0.182
#>	e_#>	0.182
ʦʰ	d	0.167
x	hʷ	0.167
a	ɯː	0.154
a	r_aː	0.154
a	e	0.154
ə	u	0.143
ŋ	m	0.13
a	uː	0.115
ə	n_i	0.095
ʦʰ	tʰ	0.083
a	r_eː	0.077
a	eː	0.077
