Catalan	Catalan	probability
ˈa_#>	r_i_#>	1.0
ʧ	-	1.0
ʤ	k	1.0
ʃ	ʃ_t	1.0
ɾ_ˈi	r_ˈi	1.0
ɾ_ə	r_u	1.0
ɡ	ɡ	1.0
ə_n	i_n	1.0
ə_#>	#>	1.0
ð	t	1.0
z_ˈa	ˈo	1.0
z	-	1.0
t_ɾ	j	1.0
s_ə	ʃ	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r	r	1.0
p_ˈe	k_e̯ˈa	1.0
p_l	p_l	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ə	n	1.0
mː	ə_m	1.0
l_ˈa	l_e̯ˈa	1.0
l_ə	ʎ_i	1.0
k_#>	k_#>	1.0
j	-	1.0
i	-	1.0
b_ˈi	j_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
n	n	0.895
m	m	0.88
ˈo	ˈu	0.857
k	k	0.84
t	t	0.789
ɾ	r	0.778
l_#>	r_#>	0.75
ɲ	n	0.714
k_ə	k_ə	0.714
ˈa	ˈa	0.659
f	f	0.643
ɣ	k	0.6
ŋ	n	0.6
ˈu	ˈu	0.579
u	u	0.579
ˈi	ˈi	0.545
d	d	0.533
s	s	0.511
ə	ə	0.508
ˈɔ	ˈo	0.5
b	b	0.476
ʒ	ʤ	0.455
ʎ	ʎ	0.421
u	-	0.421
ɣ	ɡ	0.4
ŋ	ŋ	0.4
#>	i_#>	0.385
ʒ	ʣ	0.364
f	ç	0.357
ˈɛ	ˈe	0.345
β	-	0.333
ˈe	e̯ˈa	0.333
l	r	0.333
l	l	0.333
d	ʣ	0.333
w	w	0.316
ˈɛ	e̯ˈa	0.31
ɲ	-	0.286
k_ə	k	0.286
b	v	0.286
ə	i	0.277
ˈa	ˈɨ	0.268
ʎ	l	0.263
w	-	0.263
β	r	0.25
β	p	0.25
ˈe	ˈe	0.25
l_#>	#>	0.25
#>	u_#>	0.244
ˈɔ	ˈu	0.219
ˈɔ	o̯ˈa	0.219
ˈu	o̯ˈa	0.211
ʎ	k_ʎ	0.211
t	p_t	0.211
l	ʎ	0.2
#>	r_i_#>	0.192
s	ʦ	0.191
ʒ	j	0.182
β	r_b	0.167
ˈe	ˈi	0.167
ˈe	ˈa	0.167
w	ʦ_i	0.158
w	i	0.158
ˈo	ˈo	0.143
b	j	0.143
ˈi	ˈi_r	0.136
ˈi	-	0.136
l	-	0.133
d	i	0.133
s	-	0.128
m	ɲ	0.12
ɾ	u_r	0.111
ɾ	-	0.111
ˈu	ˈo_k	0.105
ˈu	ˈo	0.105
ʎ	-	0.105
w	e̯ˈa	0.105
n	m_t	0.105
ˈɛ	ˈi	0.103
ˈɛ	ˈa	0.103
#>	ə_#>	0.103
b	-	0.095
ə	a	0.092
ˈi	ˈə	0.091
ˈi	ˈu	0.091
s	ʃ	0.085
ˈe	-	0.083
k	ʦ	0.08
k	-	0.08
ˈa	-	0.073
ˈɛ	o̯ˈa	0.069
ˈɛ	i_d	0.069
s	i	0.064
ˈɔ	ˈa_v	0.062
#>	n_#>	0.051
