Old French	Old French	probability
θ	t	1.0
ˈɛ_v	β	1.0
ˈɛ_f	w	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_r	ˈɔ_ʀ	1.0
ˈɔ_j	ˈe	1.0
ˈỹ	ˈy	1.0
ˈu	ˈu	1.0
ˈõ	-	1.0
ˈo	w	1.0
ˈĩ	ˈi	1.0
ˈi_r_#>	ˈi_#>	1.0
ˈẽ_j	ˈe	1.0
ˈã_m	nː	1.0
ˈã_j	ˈa	1.0
ˈa_l	ˈa_l	1.0
ʧ_j	k	1.0
ʦ_ˈẽ	s_ˈɛ	1.0
ʦ	s	1.0
ʎ_#>	l_#>	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ_r	e_ʀ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
y	-	1.0
w_ˈa	ˈa	1.0
ũ	u	1.0
u	u	1.0
t_ə	t_ɔ	1.0
t_r	t_ɾ	1.0
s_ˈɛ	s_ˈe	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
r_ə	e	1.0
r_#>	#>	1.0
p_ˈɔ	p_ˈa	1.0
p	p	1.0
o	ˈe	1.0
n_t_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_z	z	1.0
j_s	ʦ	1.0
j_n	ɲ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f_#>	w_#>	1.0
f	f	1.0
e	e	1.0
ã	a	1.0
a	a	1.0
<#_ˈã	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
m	m	0.941
l	l	0.933
ˈa	ˈa	0.913
t	t	0.913
ʧ	k	0.905
ˈã	ˈa	0.9
s	s	0.9
d	d	0.889
ʤ	ʤ	0.882
ˈe_r_#>	ˈa_#>	0.875
n_#>	#>	0.867
b	b	0.778
ˈɛ_r	ˈɛ_ʀ	0.714
ˈũ_n_#>	ˈu_#>	0.714
r	ɾ	0.706
ˈũ	ˈu	0.692
ɡ	ɡ	0.692
v	b	0.69
ˈi	ˈi	0.667
ˈy	ˈy	0.611
ə	ɔ	0.587
ˈẽ	ˈɛ	0.538
ˈɛ	ˈɛ	0.515
ɔ	e	0.5
ɔ	a_w	0.5
z	z	0.5
z	-	0.5
j_t	ˈɛ_ʧ	0.5
j_t	ʧ	0.5
ˈɔ	ˈe	0.471
#>	k_#>	0.444
ˈe	ˈa	0.385
#>	i_#>	0.333
ə	e	0.312
ˈẽ	ˈe	0.308
ɡ	ɣ	0.308
j	j	0.302
w	-	0.3
ˈɛ_r	ʀ	0.286
ˈũ_n_#>	#>	0.286
j	-	0.279
ˈy	ɥ	0.278
w	ˈɔ	0.25
w	ɥ	0.25
v	β	0.241
ˈɔ	-	0.235
ˈe	ˈe	0.231
ˈe	-	0.231
b	β	0.222
#>	e_#>	0.222
r	ʀ	0.216
ˈɛ	ˈa	0.212
w	w	0.2
ˈi	j_ˈɛ	0.185
ˈɔ	ˈa_w	0.176
ˈũ	ˈɔ	0.154
ˈũ	-	0.154
ˈẽ	-	0.154
ˈe	ˈɛ	0.154
n_#>	m_#>	0.133
ˈe_r_#>	ˈɛ_#>	0.125
ˈɔ	ˈu	0.118
ʤ	-	0.118
j	ˈa	0.116
ˈy	ˈu	0.111
d	-	0.111
ˈã	mː	0.1
s	ʦ	0.1
ʧ	-	0.095
ˈɛ	ˈa_j	0.091
ˈa	-	0.087
t	ʧ	0.087
r	ɾ_e	0.078
ˈi	ˈɛ	0.074
ˈi	ˈe	0.074
j	ˈɛ	0.07
j	ð	0.07
j	w	0.07
v	w	0.069
l	lː	0.067
ˈɛ	ˈɔ	0.061
ˈɛ	ˈe	0.061
ˈɛ	-	0.061
m	-	0.059
