Saterland Frisian	Saterland Frisian	probability
ˈɛɪ̯_d	ˈɛː	1.0
ˈɛɪ̯_#>	ˈɛ_j_#>	1.0
ˈɔːɪ̯	ˈaː_j	1.0
ˈœː	ˈeː	1.0
ˈøː	ˈuː	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈoə̯	1.0
ˈoː_d_#>	ˈɪə̯_#>	1.0
ˈiːu̯	ˈeː	1.0
ˈiː_r	ˈiə̯_r	1.0
ˈiː_l	ˈi_l	1.0
ˈeːu̯	ˈaː	1.0
ˈaːi̯	ˈɛi̯	1.0
ˈa	-	1.0
ɣ_ə	χ	1.0
ə_l	ə_l	1.0
ŋ	ŋ	1.0
w	-	1.0
p	p	1.0
m	m	1.0
l_j	l	1.0
l_d	d̥	1.0
l	l	1.0
i	j_ɪ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈuː	<#_ˈyː	1.0
<#_ˈoː	<#_ˈɪə̯	1.0
<#_r	<#_r	1.0
<#_d	<#	1.0
<#	<#_d	1.0
s	s	0.97
t	t	0.968
n	n	0.938
k	k	0.935
r	r	0.912
ˈɪ	ˈɪ	0.8
x	χ	0.8
j	j	0.783
ˈiː	ˈiː	0.778
ə	ə	0.718
ˈyː	-	0.667
ˈaː	-	0.667
z	z	0.667
ˈɛɪ̯	ˈiə̯	0.6
l_ə	l_ə	0.6
ˈʊ	ˈɔ	0.562
v	ʋ	0.543
ˈi	ˈi	0.533
ɪ	ə	0.5
ɪ	-	0.5
ɣ	ɡ	0.467
ˈɛː	ˈɛː	0.455
ˈɛ	ˈɛ	0.444
d	d	0.438
ˈoːu̯	ˈuə̯	0.429
ˈoː	ˈɪə̯	0.429
ˈeː	-	0.412
l_ə	l	0.4
ˈoː	-	0.393
ˈuː	ˈuː	0.381
ˈɔ	ˈɔ	0.375
ˈɔ	ˈa	0.375
ˈɛː	ˈɪ	0.364
ˈeː	ˈiə̯	0.353
ˈɔː	-	0.35
ˈɛɪ̯	-	0.333
ˈɛ	ˈa	0.333
ˈyː	ˈøə̯	0.333
ˈaː	ˈɛː	0.333
ɣ	ɣ	0.333
z	s	0.333
v	v	0.314
d	-	0.292
ˈuː	ˈuə̯	0.286
d	d̥	0.271
ˈi	ˈɪ	0.267
ˈʊ	ˈu	0.25
ˈɔː	ˈa	0.25
ˈɔ	ˈɪ	0.25
ˈɛ	-	0.222
ˈiː	ˈɛ	0.222
ə	-	0.212
ˈɪ	-	0.2
ˈɔː	ˈaː	0.2
ˈi	-	0.2
ɣ	-	0.2
ˈuː	-	0.19
ˈʊ	-	0.188
ˈɛː	ˈɛ	0.182
ˈuː	ˈɔ	0.143
ˈoːu̯	ˈɔː	0.143
ˈoːu̯	ˈoə̯	0.143
v	-	0.143
j	-	0.13
ˈeː	ˈɪə̯	0.118
ˈeː	ˈɪ	0.118
ˈoː	ˈiə̯	0.107
ˈɔː	ˈɪ	0.1
ˈɔː	ˈɔ	0.1
x	ɣ_ə	0.1
x	-	0.1
ˈoːu̯	ˈɔu̯	0.095
ˈoːu̯	ˈɔ	0.095
ˈoːu̯	-	0.095
r	-	0.088
j	ɡ	0.087
ˈoː	ˈɪ	0.071
ˈɛɪ̯	ˈu̯o	0.067
k	-	0.065
n	-	0.062
