Aromanian	Aromanian	probability
ˈu_ʦ	ˈu_s	1.0
ˈo_j	ˈu	1.0
ˈi_r	ˈi	1.0
ˈa_r	ˈa	1.0
ʎ_u_#>	j_#>	1.0
ʃ_t	j_s	1.0
ɡ	ɡ	1.0
ə_t	a_d	1.0
ə_m	mː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
v	v	1.0
u_r	ɾ	1.0
u_#>	#>	1.0
s_e̯ˈa	s_ˈe	1.0
r_ə	ɔ	1.0
r_u	ɾ_e	1.0
r_t	ʀ	1.0
r_n	ʀ	1.0
r_#>	w_#>	1.0
p_r	b_ɾ	1.0
n_t	ŋ	1.0
m_t	ŋ	1.0
k_ɨ	k	1.0
k_r	k_ɾ	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	k_#>	1.0
e	-	1.0
d	-	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
i_#>	#>	0.85
f	f	0.818
ə	ɔ	0.775
k	k	0.774
m	m	0.765
ˈa	ˈa	0.733
ʣ	ʤ	0.714
s	s	0.708
ʦ	s	0.706
ˈɨ	ˈã	0.7
p	p	0.696
ˈe	ˈɛ	0.667
ʤ	ʤ	0.667
ʎ	l	0.667
n_i	ŋ	0.667
<#_a	<#	0.667
u	u	0.636
b	b	0.636
ʃ	s	0.6
ɲ	m	0.6
j	v	0.6
<#	<#_a	0.6
e̯ˈa	ˈe	0.562
ˈo	w_ˈe	0.5
n	n	0.5
i_r	ɾ	0.5
i_r	e	0.5
a	a	0.5
a	-	0.5
i	e	0.488
l	w	0.429
l	l	0.429
#>	ɔ_#>	0.429
t	t	0.409
n	ŋ	0.406
ʃ	-	0.4
ɲ	ɲ	0.4
j	-	0.4
<#	<#_v	0.4
ˈi	ˈi	0.333
ˈe	ˈe	0.333
ʤ	-	0.333
ʎ	j	0.333
w	ˈɔ_w	0.333
w	w	0.333
w	-	0.333
o̯ˈa	ˈu	0.333
n_i	ŋ_d	0.333
<#_a	<#_ʀ	0.333
r	ʀ	0.325
r	ɾ	0.325
ˈu	ˈu	0.321
t	-	0.318
ˈo	ɥ	0.312
e̯ˈa	ˈɛ	0.312
p	-	0.304
ˈɨ	ˈa	0.3
ˈi	ˈẽ	0.296
ʦ	-	0.294
ʣ	d	0.286
i	-	0.22
ˈu	ˈy	0.214
#>	w_#>	0.214
#>	e_#>	0.214
s	e_s	0.208
o̯ˈa	ɥ_ˈe	0.2
o̯ˈa	w_ˈe	0.2
ˈo	ˈe	0.188
ˈi	-	0.185
u	y	0.182
u	-	0.182
f	-	0.182
b	b_w	0.182
b	-	0.182
ˈa	ˈɛ	0.167
r	w	0.15
i_#>	ˈa_#>	0.15
i	ɔ	0.146
ˈu	w_ˈẽ	0.143
l	-	0.143
#>	k_#>	0.143
t	j_ɾ	0.136
t	d	0.136
o̯ˈa	ˈe	0.133
o̯ˈa	-	0.133
r	-	0.125
e̯ˈa	ˈa	0.125
m	ŋ	0.118
m	-	0.118
ˈi	ˈĩ	0.111
ˈu	ˈũ	0.107
ˈa	w	0.1
ə	e	0.1
i	j	0.098
k	ɡ	0.097
n	-	0.094
s	-	0.083
ə	a	0.075
r	w_ɾ	0.075
ˈi	ˈe	0.074
ˈu	ˈỹ	0.071
ˈu	ˈe	0.071
ˈu	-	0.071
k	ˈe	0.065
k	-	0.065
