North Frisian	Northern Low Saxon	probability
ˈɛː_d	ˈɛ_l	1.0
ˈɛː	ˈoː	1.0
ˈɛ	ˈɔʏ̯	1.0
ˈɔu̯	ˈoː	1.0
ˈɔ	ˈaʊ̯	1.0
ˈɒ	ˈa	1.0
ˈøː	ˈuː	1.0
ˈuː_l	ˈaː	1.0
ˈuː	ˈaʊ̯	1.0
ˈiː_ə	ˈaɪ̯	1.0
ˈi_l	ˈɪ_l	1.0
ˈai̯	ˈɪ	1.0
ˈa_r	ˈa	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ə_v	f	1.0
ə_r	ɐ	1.0
ŋ_ə	ŋ	1.0
x	x	1.0
w	ɡ	1.0
v_ə	m	1.0
v_#>	f_#>	1.0
v	v	1.0
tʲ	d	1.0
r_s	s	1.0
p_ə	b_m	1.0
p	b	1.0
n_ə	n	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
k_ə	ɡ	1.0
j_ə	ɡ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
dʲ	d	1.0
d	d	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.818
ŋ	ŋ	0.8
ə	n	0.792
#>	ç_#>	0.778
ˈa	ˈɪ	0.667
ˈiː	ˈaɪ̯	0.654
ˈi	ˈiː	0.643
ˈɛi̯	ˈoː	0.6
ˈɒː	ˈa	0.6
k	ɡ	0.579
nʲ	n	0.571
ˈœ	ˈaʊ̯	0.556
r	r	0.545
t	d	0.533
ˈʏ	ˈʏ	0.5
ˈʏ	ˈyː	0.5
ˈaː	ˈøː	0.5
ˈaː	ˈeː	0.5
lʲ	l_d	0.5
lʲ	l	0.5
r	ɐ	0.455
ˈœ	ˈa	0.444
ˈʊ	ˈʊ	0.438
ˈyː	ˈuː	0.438
ˈyː	ˈaʊ̯	0.438
nʲ	n_d	0.429
k	kʰ	0.421
ˈɛi̯	ˈɔʏ̯	0.4
ˈɒː	ˈoː	0.4
s	s	0.396
ˈi	ˈɪ	0.357
s	z	0.354
ˈɔː	ˈɔ	0.333
ˈa	ˈʏ	0.333
j	ɡ	0.333
j	ç	0.333
ˈeː	ˈʏ	0.25
ˈeː	ˈiː	0.25
ˈɔː	ˈøː	0.222
ˈɔː	ˈoː	0.222
ˈɔː	ˈa	0.222
#>	ˈaɪ̯_#>	0.222
ŋ	ç	0.2
ˈʊ	ˈɪ	0.188
s	ʃ	0.188
t	tʰ	0.178
t	t	0.178
ˈeː	ˈœ	0.167
ˈeː	ˈa	0.167
ˈeː	-	0.167
j	ˈaɪ̯	0.167
j	ʒ	0.167
ˈʊ	ˈʏ	0.125
ˈʊ	ˈa	0.125
ˈʊ	v_ˈʊ	0.125
ˈyː	ˈʊ_n	0.125
ə	-	0.125
ˈiː	ˈɔʏ̯	0.115
t	-	0.111
n	n_d	0.091
n	-	0.091
ə	ŋ	0.083
ˈiː	ˈɪ	0.077
ˈiː	ˈiː	0.077
ˈiː	ˈeɪ̯	0.077
s	d	0.062
