Ligurian	Logudorese	probability
a	a	0.917
b	b	0.909
b	v	0.091
d	d	0.628
d	ð	0.241
d	-	0.098
e	e	0.629
e	i	0.092
e	-	0.078
e	e_r	0.062
e	r_e	0.054
e	ˈe	0.05
f	f	1.0
i	i	0.692
i	-	0.082
i	e	0.06
i	ŭ	0.055
i	ŏ	0.055
j	e_r	0.233
j	r	0.225
j	-	0.112
j	e_l	0.107
j	ĕ	0.087
j	a	0.069
j	o	0.066
k	k	0.94
l	l	0.621
l	ɖ	0.357
m	m	0.926
n	n	0.867
n	ŋ	0.054
o	u	1.0
p	p	0.884
p	p_r	0.116
r	r	0.852
r	-	0.067
s	s	0.574
s	k	0.181
s	ɣ	0.115
s	-	0.074
t	t	0.873
t	ð	0.09
u	u	0.896
u	o	0.055
v	b	0.496
v	-	0.23
v	β	0.2
w	o	0.466
w	ˈa	0.186
w	l	0.169
w	i	0.123
w	e	0.052
z	ɡ	0.303
z	-	0.239
z	ɣ	0.184
z	b	0.178
ŋ	n	0.463
ŋ	n_u	0.156
ŋ	m	0.154
ŋ	n_e	0.149
ɔː	a	1.0
ɡ	ɣ	0.483
ɡ	ɡ	0.288
ɡ	-	0.167
ɥ	ð	1.0
ɲ	n	0.573
ɲ	ɲ	0.262
ɲ	n_ʣ	0.164
ʃ	ʃ	0.389
ʃ	f_r	0.297
ʃ	s_k	0.205
ʃ	s	0.088
ʒ	ɣ	0.701
ʒ	s	0.174
ʒ	b	0.126
ʤ	ʣ	0.331
ʤ	k_r	0.171
ʤ	z	0.165
ʤ	β	0.107
ʤ	ɡ	0.054
ʤ	ɣ	0.052
ʧ	p	0.489
ʧ	k	0.448
ʧ	s	0.062
ˈa	ˈa	0.975
ˈaː	ˈa	0.421
ˈaː	ˈa_r	0.398
ˈaː	ˈa_l	0.076
ˈaː	ˈo	0.072
ˈe	ˈe	0.623
ˈe	ˈi	0.303
ˈe	i	0.074
ˈeː	ˈe	0.829
ˈeː	ˈe_l	0.095
ˈeː	ˈi	0.076
ˈi	ˈi	0.873
ˈi	ˈe	0.113
ˈiː	ˈi	0.624
ˈiː	ŏ	0.167
ˈiː	i	0.103
ˈiː	-	0.061
ˈu	ˈo	0.682
ˈu	ˈu	0.252
ˈuː	ˈu	0.454
ˈuː	ˈo	0.317
ˈuː	ˈo_r	0.163
ˈuː	ˈu_l	0.066
ˈy	ˈu	0.598
ˈy	ɲ	0.188
ˈy	ˈi	0.126
ˈy	a	0.058
ˈyː	ˈu	1.0
ˈø	ˈo	0.888
ˈø	ˈu	0.112
ˈøː	ˈo	1.0
ˈɔ	ˈo	0.906
ˈɔ	a	0.06
ˈɔː	ˈo	0.942
ˈɔː	ˈa	0.058
ˈɛ	ˈi	0.593
ˈɛ	ˈe	0.407
ˈɛː	ˈe	0.475
ˈɛː	ˈa_ð	0.252
ˈɛː	ˈa	0.113
ˈɛː	a	0.108
ˈɛː	ˈi	0.052
