Lower Sorbian	Lower Sorbian	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɨ_m	ə_m	1.0
ɨ_#>	#>	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
z̥	z̥	1.0
z	z	1.0
x_ɨ	́_x	1.0
x	x	1.0
w_ɨ	w	1.0
vʲ	ʋ	1.0
v_ɨ	ʋ	1.0
s_ɛ	s_ə	1.0
s_#>	s_#>	1.0
r_ɨ	ə_r	1.0
r_ɔ	r_aː	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ_e	m_ə	1.0
mʲ	m	1.0
m	m	1.0
l_#>	w_#>	1.0
l	l	1.0
kʲ_i	ə_k	1.0
j	j	1.0
f	́_ʋ	1.0
d̥	d̥	1.0
d_w	l	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	-	1.0
b	b	1.0
<#_ɕ	<#_t	1.0
<#_v	<#	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_ʋ	1.0
s	s	0.862
k	k	0.84
v	ʋ	0.818
r	r	0.818
t	t	0.8
rʲ	r	0.667
ɲ	́_n	0.571
ʦ	ʧ	0.556
a	a	0.538
ɪ	eː	0.474
ɕ	t_i	0.471
w	l	0.471
ʦ	ʦ	0.444
ɲ	n	0.429
i	iː_̀	0.429
ɕ	t	0.412
w	w	0.412
ɨ	iː_́	0.333
ɨ	iː_̀	0.333
ɨ	i	0.333
rʲ	̀_r	0.333
ɪ	eː_́	0.316
e	ɛ	0.312
u	uː	0.3
u	oː_́	0.3
ɔ	ɔ	0.295
i	j_ɛ	0.286
i	iː	0.286
ɔ	oː_́	0.273
e	eː_́	0.25
t	́_t	0.2
a	aː_̀	0.192
e	-	0.188
v	̀_ʋ	0.182
r	́_r	0.182
ɛ	ɛ	0.179
ɛ	oː	0.179
k	-	0.16
u	oː_̀	0.15
u	-	0.15
ɛ	ə	0.143
ɛ	eː_̀	0.143
s	s_ə	0.138
e	ɛː	0.125
e	e	0.125
ɕ	-	0.118
w	-	0.118
ɔ	ɔː	0.114
ɛ	ɔː_̀	0.107
ɛ	eː_́	0.107
ɪ	ɛː_̀	0.105
ɪ	e	0.105
u	u	0.1
ɔ	eː_́	0.091
ɛ	ɔ	0.071
ɛ	o	0.071
ɔ	aː_́	0.068
ɔ	-	0.068
