Gascon	Neapolitan	probability
a	a	0.881
k	kː	0.121
k	k	0.691
m	mː_ə	0.051
r	ɾ_n	0.1
w	ə	0.321
ð	t	0.881
ɣ	ɡ	0.061
ɣ	-	0.271
ˈe	ˈi	0.201
ˈy	ˈo	0.081
ˈɛ	j_ˈɛ	0.411
b	b_w	0.052
r	-	0.082
z	ʃ	0.412
ɔ	n_ə	0.082
ɲ	ɲː	0.892
ɾ	ɾ	0.632
ʎ	j_ə	0.282
β	p	0.372
b	v	0.93
e	ɾ_ə	0.073
i	ə	0.553
n	n	0.773
s	ʃː	0.063
s	-	0.153
s	s	0.403
t	-	0.243
w	l_ə	0.143
ˈa	ˈa	0.913
ˈe	ˈe	0.373
ˈɛ	ˈɛ	0.543
d	-	0.244
l	-	0.074
l	j	0.24
m	m	0.744
p	p	0.904
r	ɾ	0.454
t	t	0.354
ŋ	ŋ	0.194
ʎ	kː_j	0.144
ʦ	ʦː_ə	0.434
ˈe	ˈɛ	0.294
ˈy	ˈu	0.804
ˈɔ	w_ˈɔ	0.604
e	i	0.225
e	ə	0.475
j	j	0.225
r	ɾ_ə	0.305
s	ʃ	0.355
t	t_ə	0.085
ɡ	-	0.125
ɡ	ɡ	0.875
ˈi	ˈi	0.955
ˈy	ˈu_ɾ	0.115
d	d	0.756
e	ə_ɾ	0.086
e	u	0.106
k	k_ə	0.176
n	n_t	0.206
p	k	0.056
r	r	0.06
u	-	0.096
u	u	0.846
ʎ	-	0.076
ʎ	ʎː_ə	0.296
ʒ	ʤː	0.216
ʒ	j	0.616
ʦ	ʃ_ə	0.566
ˈu	ˈo	0.196
ˈu	ˈɔ	0.346
ˈɔ	ˈɔ	0.396
i	i	0.447
j	-	0.27
j	t	0.287
m	-	0.077
m	mː	0.077
t	tː_ə	0.267
w	-	0.167
w	w	0.337
a	ˈa	0.08
h	f	0.958
j	ə	0.218
u	ˈu	0.058
ŋ	nː_ə	0.138
ŋ	n_ə	0.668
ɔ	ə	0.918
ɣ	k	0.668
ɲ	ɲː_ə	0.108
ʎ	ʎː	0.158
ʒ	ʤ	0.168
ˈu	ˈu	0.428
β	v	0.628
l	l	0.649
z	s	0.149
z	-	0.439
ð	ɾ	0.119
ɾ	r	0.309
