Piedmontese	Italian	probability
a	a	0.89
b	b	0.937
b	s	0.067
d	d	0.769
d	t	0.153
e	e	0.419
e	e_r	0.212
e	r_e	0.203
e	i	0.076
e	ʤ_e	0.05
f	f	0.916
i	i	0.402
i	o	0.263
i	e	0.18
i	-	0.119
j	j	0.514
j	ʎ	0.087
j	-	0.082
j	t	0.056
j	ˈi	0.055
k	k	0.979
l	l	0.979
m	m	0.706
m	m_e	0.155
m	i_m	0.083
n	n	0.96
p	p	1.0
r	r	0.932
s	s	0.471
s	ʧ	0.152
s	ʧ_e	0.129
s	ʃ	0.056
s	-	0.056
s	ʦ	0.053
t	t	0.622
t	t_o	0.184
t	t_e	0.15
u	o	0.621
u	e	0.13
u	u	0.069
u	ˈo	0.069
u	ˈɔ	0.062
u	-	0.054
v	v	0.757
v	p	0.139
v	p_e	0.057
w	w	0.525
w	l	0.184
w	-	0.139
w	o	0.139
y	u	1.0
z	ʤ	0.509
z	ʧ	0.377
z	z	0.101
ŋ	n	0.491
ŋ	ŋ	0.198
ŋ	n_o	0.18
ŋ	n_e	0.098
ə	e	0.488
ə	ˈɛ	0.28
ə	-	0.181
ɡ	ɡ	0.594
ɡ	ɡ_o	0.227
ɡ	k_o	0.168
ɲ	ɲ	0.899
ɲ	n	0.098
ʤ	ʤ	0.851
ʤ	ɡ_j	0.143
ʧ	j	0.375
ʧ	ʧ	0.361
ʧ	p	0.063
ˈa	ˈa	0.897
ˈe	r_e	0.336
ˈe	ˈe	0.266
ˈe	ˈɛ	0.225
ˈe	e	0.063
ˈe_j	ˈe	1.0
ˈi	ˈi	0.689
ˈi	ˈe	0.123
ˈi	ˈu	0.079
ˈi	ˈi_ʎ	0.069
ˈu	ˈo	0.808
ˈu	ˈu	0.153
ˈy	ˈu	0.888
ˈy	ˈo	0.069
ˈy	ˈe	0.058
ˈø	ˈɔ	0.401
ˈø	w_ˈɔ	0.285
ˈø	ˈɔ_k	0.135
ˈø	o	0.087
ˈø	ˈu	0.053
ˈɔ	ˈɔ	0.696
ˈɔ	ˈo	0.156
ˈɔ	o	0.097
ˈə	ˈe_ɲ	0.66
ˈə	e	0.178
ˈɛ	ˈɛ	0.583
ˈɛ	ˈe	0.179
ˈɛ	ˈɛ_t	0.108
ˈɛ_j	ˈe	0.519
