Romanian	Logudorese	probability
f	f	1.0
kʲ	k	1.0
nʲ	o	1.0
v	b	1.0
b	β	0.131
e	-	0.1
k	ɣ	0.291
p	β	0.121
p	p	0.731
r	-	0.061
s	z	0.071
w	e	0.11
w	j	0.221
ŋ	-	0.151
ʦ	t	0.51
ʧʲ	t	0.191
ˈau̯	ˈo	0.341
ˈi	e	0.101
j	a	0.202
n	nː	0.092
r	l	0.092
u	ˈi	0.12
u	u	0.272
w	β_u	0.092
z	n	0.082
ə	-	0.062
ʒ	z	0.42
ˈa	ˈa	0.782
ˈə	ˈe	0.522
ˈɨ	ˈe	0.142
ˈɨ	ˈa	0.752
e̯ˈa	ˈi	0.373
i	i	0.553
o	-	0.063
o̯ˈa	ˈo	0.943
p	f	0.063
t	t	0.463
z	-	0.303
ŋ	ŋ	0.633
ə	a	0.83
ɨ	ˈe	0.203
ɨ	-	0.593
ˈe	a	0.083
ˈe	-	0.083
d	d	0.534
k	k	0.694
n	ŋ	0.064
w	o	0.094
w	u	0.254
z	z	0.064
ə	i	0.074
ɡ	b	0.184
ɨ	a	0.204
ʦ	ʦ	0.154
ʧ	rː	0.054
ʧʲ	ʃː	0.434
ˈa	ˈe	0.124
ˈe	ˈi	0.314
ˈi	ˈi	0.554
ˈo	-	0.064
ˈɨ	i	0.094
b	b	0.735
j	j	0.145
j	-	0.465
l	r	0.215
n	ɲː	0.055
r	rː	0.075
r	r	0.75
t	k	0.115
t	ð	0.305
z	d	0.505
ʦ	-	0.335
ʧ	ð	0.095
ʧ	ɣ	0.245
a	a	0.626
i	-	0.086
l	-	0.076
l	l	0.476
n	-	0.116
u	o	0.366
ŋ	ɖ	0.216
ɡ	ɡ	0.816
ʤ	ɡ	0.446
ʤ	-	0.506
a	ˈa	0.077
a	-	0.297
e	a	0.067
e	e	0.767
e̯ˈa	ˈe	0.627
i	e	0.217
j	u	0.087
l	ɖː	0.197
m	m	0.887
o̯ˈa	ˈa	0.057
p	b	0.067
ʧ	-	0.197
ʧʲ	-	0.347
ˈe	ˈe	0.487
ˈo	ˈu	0.227
b	-	0.108
d	-	0.418
m	-	0.078
o	a	0.278
s	s	0.828
u	ˈo	0.098
ʒ	j	0.58
ˈə	ˈi	0.478
n	n	0.659
o	o	0.659
w	-	0.229
ʃ	s	0.969
ʧ	k	0.409
ˈau̯	-	0.659
ˈi	ˈe	0.279
ˈo	ˈo	0.709
ˈu	ˈo	0.389
ˈu	ˈu	0.579
