Latvian	Latvian	probability
ʧ	ʧ	1.0
ʣ	ʒ	1.0
ʎ	l	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	ɛ	1.0
ɛ_#>	a_#>	1.0
w	-	1.0
v	v	1.0
uː	i_ˈ	1.0
u	-	1.0
s_t	s	1.0
s_#>	#>	1.0
r̩	a	1.0
r	r	1.0
p	p	1.0
n_s_#>	#>	1.0
n_s	n	1.0
l̩	ɫ_o	1.0
k_t	c	1.0
j	ɛ_r	1.0
iː	i_ˈ	1.0
iɛ̯	ɛ	1.0
i_r	r̩	1.0
e	s_ɛ	1.0
d_u	d̥	1.0
b̥	b̥	1.0
b	b	1.0
au̯	u_ˈ	1.0
ai̯	ɛ	1.0
a_r	r_a	1.0
a_#>	a_#>	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_d	<#_d	1.0
<#_a	<#_o	1.0
<#	<#_d	1.0
m	m	0.818
d	d	0.8
z	z	0.778
ɛ	ɛ	0.75
#>	a_#>	0.75
k	k	0.714
æː	-	0.667
z̥	ɛ	0.667
aː	a_ˈ	0.667
t	t	0.636
ʦ	k_o	0.6
n	n	0.6
l	ɫ	0.588
æ	ɛ	0.556
i	-	0.526
ʃ	ɛ	0.5
ʃ	-	0.5
d̥	d̥	0.5
d̥	-	0.5
a	o	0.5
uɔ̯	a	0.455
æ	-	0.444
ʦ	-	0.4
n	-	0.4
s	s	0.381
uɔ̯	u	0.364
t	-	0.364
æː	e	0.333
z̥	z̥	0.333
aː	-	0.333
a	ɛ_ˈ	0.3
l	l	0.294
k	-	0.286
ɛ	a	0.25
#>	n_#>	0.25
z	ʣ	0.222
i	ɛ	0.211
d	ɟ	0.2
a	-	0.2
s	k	0.19
uɔ̯	-	0.182
m	-	0.182
i	o	0.158
s	-	0.143
l	ɫ_a	0.118
i	a_ˈ	0.105
s	z	0.095
s	r	0.095
s	n	0.095
