Swedish	North Frisian	probability
a	ə	0.612
a	-	0.357
a	w	0.03
b	b	1.0
d	d	0.48
d	-	0.208
d	dʲ	0.203
d	s	0.051
d	z	0.033
e	ə	0.494
f	f	0.986
f	-	0.035
h	h	1.0
j	-	0.549
j	j	0.185
j	ˈɔː	0.107
j	ɡ	0.079
j	t	0.062
jː	ˈeː	0.244
k	k	0.875
k	x	0.121
kʰ	k	1.0
kː	ŋ_k	0.629
kː	k	0.361
l	l	0.853
l	lʲ	0.055
l	l_ə	0.055
l	ə_l	0.032
l_d	lʲ	0.494
lː	l	0.733
lː	lʲ	0.187
m	m	0.955
m	-	0.051
mː	m	1.0
n	n	0.726
n	nʲ	0.146
n	-	0.117
nː	n	0.709
nː	d	0.165
nː	s	0.102
p	p	0.654
p	b	0.194
p	v	0.127
pʰ	p	1.0
pː	p	0.494
r	r	0.911
r	-	0.036
rː	j	0.5
rː	r	0.5
s	s	0.932
s	z	0.065
s_k	ʃ	1.0
sː	s	1.0
t	t	0.729
t	tʲ	0.148
t	z	0.099
tʰ	t	0.74
tʰ	d	0.173
tʰ	tʲ	0.086
tː	x	0.595
tː	t	0.144
tː	d	0.117
tː	tʲ	0.105
v	v	0.747
v	-	0.157
v	f	0.056
v	p	0.042
ŋ	ŋ	0.613
ŋ	ˈɔu̯	0.209
ŋ	ˈi	0.143
ŋː	ŋ	1.0
ɕ	ʃ	0.513
ɕ	t	0.339
ɕ	tʲ	0.097
ɖ	r_d	1.0
ɛ	ə	0.801
ɛ	-	0.193
ɡ	-	0.416
ɡ	ɡ	0.296
ɡ	j	0.122
ɡ	k	0.104
ɡ	x	0.051
ɡː	-	0.74
ɡː	w	0.137
ɧ	ʃ	0.527
ɧ	s	0.443
ɪ	i	0.826
ɪ	-	0.143
ɳ	r_n	0.591
ɳ	r	0.403
ɳː	n	0.244
ɵ	i	0.374
ɵ	-	0.185
ʈː	t	1.0
ʊ	n	0.42
ʊ	w	0.157
ˈa	ˈœ	0.241
ˈa	ˈɒ	0.169
ˈa	ˈɔː	0.106
ˈa	ˈuː	0.106
ˈa	ˈeː	0.106
ˈeː	ˈiː	0.55
ˈeː	ˈi	0.214
ˈeː	ˈaː	0.121
ˈeː	ˈɒ	0.061
ˈeː	ˈɒː	0.039
ˈiː	ˈi	0.656
ˈiː	ˈiː	0.216
ˈiː	ˈeː	0.069
ˈiː	ˈyː	0.056
ˈoː	ˈɛː	0.154
ˈoː	ˈɔu̯	0.154
ˈoː	ˈɛi̯	0.154
ˈoː	ˈuː	0.102
ˈoː	ˈeː	0.088
ˈuː	ˈœ	0.423
ˈuː	ˈɔ	0.178
ˈuː	ˈuː	0.102
ˈuː	ˈa	0.102
ˈuː	ˈɔu̯	0.078
ˈyː	ˈiː	0.418
ˈyː	ˈøː	0.209
ˈyː	j	0.209
ˈyː	ˈai̯	0.136
ˈæ	ˈa	1.0
ˈæː	ˈeː	0.85
ˈæː	ˈa	0.078
ˈøː	ˈyː	0.301
ˈøː	ˈuː	0.254
ˈøː	ˈiː	0.177
ˈøː	ˈɔu̯	0.08
ˈøː	ˈɛi̯	0.066
ˈœ	-	0.238
ˈœ	ˈiː	0.111
ˈœ	ˈɛ	0.111
ˈœ	ˈyː	0.102
ˈœ	ˈa	0.102
ˈœː	ˈuː	0.091
ˈœː	ˈiː	0.091
ˈɑː	ˈɒː	0.32
ˈɑː	ˈeː	0.156
ˈɑː	ˈɒ	0.136
ˈɑː	ˈa	0.136
ˈɑː	ˈɛi̯	0.09
ˈɔ	ˈɔ	0.413
ˈɔ	ˈɔː	0.182
ˈɔ	ˈøː	0.138
ˈɔ	ˈeː	0.094
ˈɔ	ˈʊ	0.07
ˈɛ	ˈa	0.245
ˈɛ	ˈɒː	0.137
ˈɛ	ˈeː	0.12
ˈɛ	ˈiː	0.091
ˈɛ	-	0.086
ˈɛː	ˈɛː	0.364
ˈɛː	ˈɛi̯	0.195
ˈɛː	-	0.112
ˈɛː	ˈiː	0.112
ˈɛː	ˈɔː	0.085
ˈɪ	ˈa	0.327
ˈɪ	ˈi	0.257
ˈɪ	ˈai̯	0.218
ˈɪ	ˈɛ	0.109
ˈɪ	ˈʊ	0.082
ˈɵ	ˈʊ	0.384
ˈɵ	-	0.146
ˈɵ	ˈyː	0.122
ˈɵ	ˈi	0.078
ˈɵ	ˈøː	0.077
ˈʉː	ˈiː	0.406
ˈʉː	ˈyː	0.3
ˈʉː	ˈɔː	0.096
ˈʉː	ˈuː	0.073
ˈʉː	ˈøː	0.059
ˈʊ	ˈʊ	0.822
ˈʊ	ˈœ	0.112
ˈʏ	ˈʏ	0.519
ˈʏ	ˈœ	0.187
ˈʏ	ˈʊ	0.187
ˈʏ	ˈa	0.083
