Scots	Old Frisian	probability
θ	θ	1.0
ˈʌu̯	-	1.0
ˈɛː	ˈe_j	1.0
ˈɔɪ̯	-	1.0
ˈøː	ˈoː_x	1.0
ˈiː_r	r	1.0
ˈi_d	ˈeː_d	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈi_k	1.0
ˈaɪ̯	-	1.0
ʧ	ʦ	1.0
ʤ	ɡː	1.0
ʍ	h_w	1.0
ʃ	s_k	1.0
ɪ	iː_k	1.0
ɛ	ə	1.0
ə_r	r	1.0
ə_n	ə_n	1.0
z	z	1.0
w	w	1.0
s	s	1.0
r_t	r_t	1.0
n_t	n_t	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	i_ɣ̥	1.0
d_ˈe	d_ˈaː	1.0
b	b	1.0
d	d	0.985
m	m	0.979
r	r	0.958
t	t	0.929
p	p	0.907
n	n	0.863
ˈɛ	ˈe	0.826
ə	ə	0.823
ɡ	ɡ	0.797
ç	x	0.793
ˈø	ˈoː	0.728
k	k	0.705
ˈʌ	ˈu	0.679
ˈuː	ˈuː	0.674
ˈe	ˈɛː	0.671
ˈəi̯	ˈiː	0.667
v	v	0.657
ˈu	ˈuː	0.641
ŋ	ŋ_ɡ	0.632
i	-	0.593
ð	ð	0.56
x	-	0.547
ˈo	ˈo	0.542
ˈɪ	ˈi	0.51
ˈo	ˈɔː	0.458
x	x	0.453
ð	d	0.44
i	i_ɣ̥	0.407
ˈɑː	ˈa	0.39
ŋ	ŋ	0.368
ˈu	-	0.359
ˈa	ˈe	0.344
v	-	0.343
ˈiː	ˈaː	0.339
ˈəi̯	-	0.333
ˈeː	ˈe	0.331
ˈuː	lː	0.326
ˈʌ	-	0.321
ˈi	ˈeː	0.313
ˈiː	ˈeː	0.285
ˈa	ˈɔː	0.278
ˈeː	ˈeː	0.275
ˈø	-	0.272
ˈa	ˈa	0.236
ˈɑː	ˈa_l	0.225
ˈɑː	ˈɔː	0.217
ˈe	-	0.214
ç	ɣ̥	0.207
ɡ	-	0.203
k	k_ə	0.2
ˈi	-	0.19
ˈi	ˈi̯aː	0.188
ˈɪ	ˈe	0.184
ˈɑː	ˈɛː	0.169
ˈi	ˈaː	0.157
ˈiː	ˈiː	0.15
ˈa	-	0.142
ˈɪ	ˈu	0.138
ˈiː	ˈi̯aː	0.136
ˈeː	ˈa	0.136
ˈeː	-	0.116
ˈe	ˈa	0.115
ˈi	ˈɛː	0.095
k	ə	0.095
p	pː	0.093
ˈɛ	ˈa	0.09
ˈiː	ˈi̯aː_ɣ	0.09
ə	ɡ_ə	0.089
ə	d_ə	0.089
n	nː	0.088
ˈɛ	ˈaː	0.085
ˈɪ	-	0.079
ˈeː	ˈaː	0.072
ˈeː	ˈaː_n	0.071
t	tː	0.071
ˈɪ	ˈoː	0.059
ˈi	ˈi	0.058
