Logudorese	Logudorese	probability
β	β	1.0
ˈɔ_n	ˈo	1.0
ˈu_ɾ	ˈu	1.0
ˈi_ɾ	ˈi	1.0
ˈi_s	ˈe	1.0
ˈi_n	ˈi	1.0
ʦ	s	1.0
ɾ_ʦ	r_s	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ɾ_ə	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ_ɛ	w	1.0
ɣ_u_#>	k_#>	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː_a	l_ə	1.0
ɖː	ʎ	1.0
ŋ	ɲ	1.0
z_ɔ̆_#>	s_#>	1.0
z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_u	w	1.0
t_a	t_ə	1.0
s_i	s_ə	1.0
s	s	1.0
r	r	1.0
o	u	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	#>	1.0
n_t_ɛ_#>	n_#>	1.0
n_t_u_#>	n_#>	1.0
n_a	n_ə	1.0
n	n	1.0
m_b	ŋ	1.0
m	m	1.0
l_u_#>	l_#>	1.0
k_ˈi	s_ˈi	1.0
k_ɛ	ʃ	1.0
k_i	s_i	1.0
j_z	z	1.0
j_u_#>	ʎ_#>	1.0
i_ɾ	ə_r	1.0
f	f	1.0
ă	-	1.0
a_ɾ	ə_ɾ	1.0
a_l	ə_l	1.0
a	ə	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_ə	1.0
<#	<#_k	1.0
#>	ə_#>	1.0
p	p	0.944
t	t	0.92
ˈa	ˈa	0.894
k	k	0.867
ˈo	ˈɔ	0.842
<#_i	<#_ə	0.818
d	d	0.8
l	l	0.75
<#_ˈa	<#_ˈa	0.75
b	b	0.738
ɛ_ɾ	ɾ	0.714
z	s	0.625
j	-	0.6
ɔ	-	0.571
ʣ	ʎ	0.556
ˈɔ	ˈɔ	0.545
i	-	0.545
ˈɛ	ˈe	0.542
ˈi	ˈi	0.5
ɡ	ɡ	0.5
ð	ð	0.5
ð	t	0.5
e	-	0.5
ˈu	ˈu	0.485
ˈe	ˈe	0.476
ˈɛ	ˈɛ	0.458
ʣ	ʒ	0.444
ɾ	ɾ	0.442
ɔ	u	0.429
ˈu	ˈo	0.394
ɣ	ɣ	0.385
ɣ	-	0.385
ˈe	ˈɛ	0.381
ɛ	ə	0.375
z	-	0.375
nː	ɲ	0.375
nː	n	0.375
ɛ	w	0.344
e	ə	0.333
ˈi	ˈɛ	0.316
ɛ_ɾ	ɾ_ə	0.286
i	ə	0.273
u	u	0.261
ɡ	ʒ	0.25
ɡ	-	0.25
nː	n_d	0.25
l	ʎ	0.25
<#_ˈa	<#_ə	0.25
ɾ	l	0.231
ɣ	ʤ	0.231
u	w	0.217
ɾ	r	0.212
j	ʎ	0.2
j	l	0.2
d	-	0.2
i	i	0.182
<#_i	<#	0.182
u	-	0.174
e	i	0.167
ˈo	ˈo	0.158
ɛ	-	0.156
ˈɔ	ˈu	0.152
ˈɔ	ˈo	0.152
ˈe	ˈi	0.143
k	s	0.133
ˈi	ˈe	0.132
u	ʎ	0.13
u	ə	0.13
ˈu	-	0.121
b	ʒ	0.119
b	ɡ	0.095
ˈɔ	-	0.091
u	n	0.087
t	-	0.08
ɾ	-	0.077
ɛ	ˈi_w	0.062
ɛ	ˈi	0.062
ˈɔ	u	0.061
p	s	0.056
ˈi	-	0.053
