Dutch	Limburgish	probability
b	b	1.0
d	d	0.775
d	-	0.204
d	t	0.032
f	f	0.867
f	-	0.114
j	j	1.0
k	k	0.866
k	ə_k	0.125
k	x	0.031
l	l	1.0
m	m	0.855
m	ə_m	0.133
n	n	0.562
n	-	0.437
p	p	1.0
s	s	0.97
s	ʦ	0.035
s_χ	ʃ	1.0
t	t	0.854
t	-	0.101
t	j	0.035
v	v	0.968
v	ˈv	0.038
w	ˈi	0.282
w	ˈœi̯	0.282
z	z	0.918
z	s	0.048
z	-	0.048
ŋ	ŋ	1.0
ə	ə	0.921
ə	-	0.042
ə	j	0.038
ɦ	ɦ	1.0
ɪ	ɪ	1.0
ɫ	l	0.943
ɫ	-	0.053
ɫ	n	0.03
ɾ	ʀ	1.0
ɾ_n	ʀ	1.0
ʋ	β	1.0
ˈaː	ˈɒː	0.494
ˈaː	ˈaː	0.266
ˈaː	ˈeː	0.069
ˈaː	ˈi	0.066
ˈaː	ˈʊː	0.054
ˈeː	ˈeː	0.523
ˈeː	ˈɛː	0.319
ˈeː	ˈi	0.083
ˈeː	-	0.048
ˈeː	ˈɛːi̯	0.037
ˈi	ˈeː	0.48
ˈi	ˈi	0.169
ˈi	ˈiː	0.115
ˈi	ˈɛi̯	0.076
ˈi	ˈʏː	0.076
ˈoː	ˈu	0.221
ˈoː	ˈʊː	0.208
ˈoː	ˈɔː	0.118
ˈoː	ˈyː	0.097
ˈoː	ˈoː	0.089
ˈu	ˈøː	0.417
ˈu	ˈʊː	0.332
ˈu	ˈoː	0.18
ˈu	ˈɔ	0.055
ˈyː	ˈøː	0.373
ˈyː	ˈyː	0.09
ˈøː	ˈɒː	1.0
ˈœy̯	ˈuː	0.587
ˈœy̯	ˈœi̯	0.268
ˈœy̯	ˈyː	0.114
ˈœy̯	ˈʊː	0.039
ˈɑ	ˈɑ	0.418
ˈɑ	ˈaː	0.286
ˈɑ	ˈɑː	0.191
ˈɑ	ˈæ	0.074
ˈɑ	ˈæː	0.033
ˈɑu̯	ˈaː_j	0.299
ˈɑu̯	w	0.186
ˈɑu̯	ˈɔu̯	0.172
ˈɑu̯	ˈɑ	0.051
ˈɔ	ˈɔ	0.444
ˈɔ	ˈʊː	0.276
ˈɔ	ˈœː	0.094
ˈɔ	ˈɔː	0.068
ˈɔ	-	0.047
ˈɛ	ˈeː	0.167
ˈɛ	ˈɛ	0.157
ˈɛ	ˈæː	0.154
ˈɛ	ˈɛː	0.131
ˈɛ	ˈɪ	0.081
ˈɛi̯	ˈiː	0.538
ˈɛi̯	ˈɛː	0.153
ˈɛi̯	ˈɛ	0.15
ˈɛi̯	ˈɛːi̯	0.081
ˈɛi̯	ˈi	0.06
ˈɪ	ˈɪː	0.423
ˈɪ	ˈɪ	0.151
ˈɪ	ˈeː	0.151
ˈɪ	ˈɛ	0.112
ˈɪ	ˈi	0.088
ˈʏ	ˈœ	0.463
ˈʏ	ˈʏ	0.232
ˈʏ	ˈʏː	0.142
ˈʏ	ˈɪ	0.092
χ	ɣ	0.509
χ	x	0.308
χ	k	0.067
χ	ə_x	0.051
χ	ɡ	0.034
χ_t	x	1.0
