Dutch	Limburgish	probability
b	b	1.0
f	f	1.0
j	j	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	v	1.0
v̥	v̥	1.0
z	z	1.0
z̥	s	1.0
ɦ	ɦ	1.0
ɪ	ɪ	1.0
ɾ	ʀ	1.0
ʋ	β	1.0
ˈʏ	ˈœ	1.0
d	-	0.201
m	ə_m	0.11
ŋ	ŋ_ɡ̊	0.1
ə	-	0.211
ˈaː	ˈi	0.051
ˈu	ˈoː	0.241
ˈœy̯	ˈɔu̯	0.11
ˈɛ	ˈɛ	0.1
ˈɛ	ˈɛː	0.111
k	k	0.972
ŋ	ŋ	0.862
ˈaː	ˈʊː	0.052
ˈaː	ˈeː	0.062
ˈaː	ˈɒː	0.572
ˈɑ	ˈɑː	0.252
ˈɑ	ˈɑ	0.362
ˈɛ	ˈæ	0.052
ˈɛi̯	ˈɛːi̯	0.102
ˈaː	ˈaː	0.263
ˈi	ˈi	0.153
ˈu	ˈʊː	0.343
ˈɑ	ˈaː	0.343
ˈɪ	ˈɪ	0.083
n	-	0.054
ə	ə	0.394
ɫ	l	0.884
ˈoː	ˈu	0.184
ˈɔ	ˈœː	0.174
ˈɛ	ˈaː	0.064
ˈɛ	ˈɪ	0.154
ˈɛ	ˈæː	0.34
χ	k	0.14
χ	x	0.304
ˈeː	ˈɛː	0.415
ˈɑu̯	ˈaː_j	0.485
ˈɑu̯	ˈɔu̯	0.515
ˈɔ	ˈɔ	0.265
χ	ɣ	0.505
n	n	0.946
ˈeː	ˈeː	0.436
ˈu	ˈøː	0.416
ˈœy̯	ˈuː	0.6
ə	j_ə	0.267
ˈi	ˈeː	0.797
ˈoː	ˈʊː	0.347
ˈɛi̯	ˈiː	0.7
ə	j	0.128
ɫ	l_ə	0.098
ˈoː	ˈøː	0.118
ˈoː	ˈoː	0.168
ˈɛi̯	ˈɛ	0.078
ˈɪ	ˈeː	0.128
d	d	0.799
d̥	d̥	0.919
m	m	0.89
ˈeː	ˈi	0.149
ˈoː	ˈɔː	0.149
ˈœy̯	ˈœi̯	0.29
ˈɔ	ˈʊː	0.519
ˈɛ	ˈeː	0.179
ˈɛi̯	ˈɛː	0.119
ˈɪ	ˈɪː	0.709
