Hessian	Hessian	probability
ˈɛ̃ː	ˈɒː	1.0
ˈɛ	ˈæ	1.0
ˈɑ̃i̯	-	1.0
ˈæ_ɐ	r	1.0
ˈæ	ˈæ	1.0
ˈõː	ˈoː_n	1.0
ˈoĩ̯	ˈyː_n	1.0
ˈĩː	ˈyə̯_n	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈeː	ˈeː	1.0
ˈãː	ˈæi̯	1.0
ˈau̯	ˈuː	1.0
ˈa_d̥	ˈɒ_tː	1.0
ˈa	ˈɒ	1.0
ʦ	ʦ	1.0
ʤ̥	-	1.0
ʀ	r	1.0
ɛː	æ	1.0
ɑ	ə	1.0
ɐ_n	r_n	1.0
ɐ	r	1.0
ŋ	ŋ	1.0
z̥	sː	1.0
v̥	fː	1.0
t_ʀ	d̥_r	1.0
t	tː	1.0
pʰ	p͡f	1.0
oː	ˈoː	1.0
n_d̥	ŋ	1.0
m	m	1.0
kʰ	ɣ̊	1.0
k_ʀ	ɡ̊_r	1.0
k_s	χː_sː	1.0
i	i	1.0
h	h	1.0
b̥	b̥	1.0
<#	<#_ɡ̊	1.0
l	l	0.956
ə	ə	0.949
p	b̥	0.875
v	ʋ	0.833
æ̆	ə_r	0.818
x	χː	0.8
ˈuː	ˈuə̯	0.778
ˈoː	ˈoː	0.727
n	n	0.725
ˈu	ˈu	0.714
ˈo	ˈo	0.714
ɣ̊	ɡ̊	0.714
ˈɑ	ˈɒ	0.667
k	kː	0.667
s	z̥	0.659
f	v̥	0.647
ˈi	ˈi	0.625
ɡ̊	ɡ̊	0.615
ˈai̯	ˈiː	0.6
j	-	0.6
ˈoi̯	ˈyː	0.571
d̥	tː	0.532
ˈɛː	ˈæː	0.5
ˈɛː	ˈæ	0.5
ˈɔ	ˈu	0.5
ˈɔ	ˈo	0.5
ˈɑː	ˈɒː	0.5
ˈæː	ˈæ	0.5
ˈæː	-	0.5
ˈaː	ˈau̯	0.5
ʒ̊	ɡ̊	0.5
ʒ̊	-	0.5
d̥	d̥	0.468
ˈiː	ˈyː	0.455
ˈoi̯	-	0.429
ˈe	ˈø	0.429
j	j	0.4
ʃ	ʒ̊	0.394
ɡ̊	kː	0.385
k	ɣ̊	0.333
ˈai̯	-	0.3
ˈu	ˈuə̯	0.286
ˈo	ˈu	0.286
ˈe	ˈæ	0.286
ˈe	ˈe	0.286
ɣ̊	χː	0.286
ˈoː	ˈo	0.273
ˈiː	ˈiə̯	0.273
ˈiː	-	0.273
f	fː	0.265
ʃ	ɡ̊	0.242
ˈuː	-	0.222
s	sː	0.22
ˈi	ˈy	0.219
ˈaː	ˈæi̯	0.214
ˈɑ	ˈɒː	0.2
x	ɡ̊	0.2
ˈɑː	ˈɒː_r	0.188
ˈɑː	ˈɒ	0.188
ʃ	χː	0.182
ʃ	ʃː	0.182
æ̆	r	0.182
v	b̥	0.167
n	n_d̥	0.15
ˈaː	ˈɒ	0.143
ˈaː	ˈøi̯	0.143
ˈɑ	ˈɒ_r	0.133
ˈɑː	ˈoː	0.125
p	pː	0.125
ˈai̯	ˈei̯	0.1
ˈi	ˈyː	0.094
f	p͡f	0.088
n	-	0.075
s	ʃː	0.073
ˈi	ˈu	0.062
ə	-	0.051
