Afrikaans	West Flemish	probability
b	b	1.0
d	d	1.0
d̥	d̥	1.0
v̥	v̥	1.0
w	ʋ	1.0
ˈi	ˈiə̯	1.0
ˈu	ˈuə̯	1.0
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	1.0
ˈæː	ˈæ	1.0
ˈœɪ̯	ˈyː	1.0
ˈɑː	ˈɒː	1.0
ˈɛ	ˈæ	1.0
ˈɪø̯	ˈøː	1.0
s	z	0.421
r	ɾ_ə	0.082
ˈœu̯	ˈu	0.662
ˈə	ˈɪ	0.822
f	v̥	0.063
j	j	0.243
p	p_n	0.133
t	t_n	0.133
t	t	0.793
ˈa	ə_#>	0.133
ˈɔ	ˈœ	0.233
ˈɪə̯	ˈeː	0.643
t	t_ə	0.074
v	v	0.054
ɫ	l	0.714
ˈœ	ˈɪ	0.124
ˈəɪ̯	ˈeː	0.274
k	k_ə	0.075
χ	ɦ_n	0.095
k	k_n	0.096
m	m_ə	0.096
m	m	0.866
n	n_ə	0.16
s	s	0.36
v	ʋ	0.946
ŋ	ŋ	0.956
ɫ	l_ə	0.06
ɫ	w	0.226
ˈa	n_#>	0.166
ˈœ	ˈœ	0.876
ˈəɪ̯	ˈi	0.726
χ	h	0.06
χ	ɦ̥	0.16
j	-	0.757
k	k	0.67
p	p	0.867
s	s_t	0.07
ˈɪə̯	ˈɛː	0.357
ˈʊə̯	ˈoː	0.97
f	v_ə	0.068
n	n	0.828
r	ɾ	0.918
s	ʃ	0.088
ə	ə	0.958
ˈa	ˈɑ	0.668
ˈœu̯	ˈu_ʋ	0.338
ˈɔ	ˈɔ	0.478
ˈə	ˈɛ	0.178
χ	h_t	0.088
χ	ɦ	0.598
f	v	0.869
k	h	0.159
ˈɔ	ˈu	0.29
