East Franconian	Nynorsk Norwegian	probability
β	-	1.0
ˈʊ_ɐ	ˈɔ_ɾ	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɑː	1.0
ˈɒ_f	ʰpː	1.0
ˈaʊ̯	ˈʉː	1.0
ˈa	k_ˈɑ	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	ɾ	1.0
ɪ	e_ɡ	1.0
ɣ	ɡ	1.0
ɡ̊_n	ɡː	1.0
ə	ɾ	1.0
ɐ_ç	ɾ_ɡ	1.0
ç_d̥	ʰtː	1.0
x_d̥	ʰtː	1.0
x	k	1.0
s_ˈiː	ʂ_ˈʉː	1.0
s	s	1.0
r	ɾ	1.0
n_s	sː	1.0
n_d̥	nː	1.0
l_ˈiː	j_ˈʉː	1.0
l_d̥	lː	1.0
kʰ	kʰ	1.0
i	ŋ	1.0
h	h	1.0
eː	e_n	1.0
b̥͡v̥	pʰ	1.0
b̥	b	1.0
m	m	0.844
f	f	0.8
l	l	0.793
v	ʋ	0.79
ˈɒ	ˈɑ	0.728
z̥	t	0.71
ˈʊ	ˈʉ	0.705
ˈuː	ˈuː	0.704
ˈaː	ˈæɪ̯	0.681
ɐ	ɾ	0.676
ɡ̊	-	0.658
ɣ̊	ɡ	0.646
ˈaɪ̯	ˈiː	0.572
ˈeː	-	0.564
ˈoː	ˈoː	0.556
ˈɛ	ˈɛ	0.511
ʦ	tʰ	0.49
ʃ	s	0.489
ˈɪ	ˈɪ	0.466
ˈɔ	-	0.428
n	n	0.417
d̥	d	0.403
a	ɑ	0.377
ç	ɡ	0.37
ʦ	-	0.368
ˈɔ	ˈʉ	0.354
ɣ̊	ˈeː	0.354
ɡ̊	j	0.342
ŋ	ŋː	0.336
ʃ	ʂ	0.334
ç	k	0.324
a	e	0.317
ç	-	0.306
d̥	-	0.296
z̥	s_e	0.29
ˈɪ	ˈʏ	0.282
ˈiː	ˈyː	0.271
ˈiː	ˈøː	0.266
ˈeː	ˈeː	0.251
ˈɛ	-	0.242
n	nː	0.24
ˈaː	ˈæʉ̯	0.229
ˈoː	ˈɑː	0.228
n	ɑ	0.219
ˈɔ	ˈʊ	0.217
ˈoː	ˈɑ	0.216
d̥	tʰ	0.202
ˈiː	ˈeː	0.19
ŋ	ɡ_ɑ	0.189
ˈeː	ˈøː	0.185
ɐ	-	0.183
ˈʊ	-	0.18
a	-	0.179
ʃ	s_k	0.177
ˈaɪ̯	ˈyː	0.171
ˈiː	ˈɪ	0.17
ˈaɪ̯	ˈɛ	0.168
ˈuː	-	0.154
ʦ	tː	0.143
ˈuː	ˈɔ	0.142
ˈɪ	-	0.13
a	j_ɑ	0.127
ŋ	k	0.126
ˈɛ	ˈæː	0.124
ˈɪ	ˈɛ	0.123
ˈɒ	ˈɑː	0.123
f	p	0.122
v	-	0.117
l	lː	0.116
ˈʊ	ˈʏ	0.115
ŋ	ɲ	0.112
ŋ	ʰkː	0.106
ˈiː	ˈiː	0.102
v	kʰ_ʋ	0.093
m	mː	0.091
l	ˈœ_l	0.091
ˈaː	ˈuː	0.09
ˈaɪ̯	-	0.089
ˈɒ	ˈoː	0.087
n	-	0.087
ˈɛ	ˈeː	0.086
f	ʋ	0.078
ŋ	j_ɑ	0.074
m	ʋ_ɑ	0.066
ˈɒ	ˈɔ	0.063
d̥	ç	0.059
ŋ	jː	0.057
ɐ	e	0.055
ɐ	ɾ_e	0.054
