Russian	Kashubian	probability
ʦ	-	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʊ	-	1.0
ʉ	ə	1.0
ʂ	-	1.0
ɫ_a	w_a	1.0
ɨ_j	i	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ʤ	1.0
ɡ	ɡ	1.0
ɕː	ʧ_ɛ	1.0
æ_ˈ	ˈ	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
v	v	1.0
t	t	1.0
sʲ_ɪ	s	1.0
sʲ	s	1.0
s	s	1.0
rʲ	r̝	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	l	1.0
kʲ_ɪ	ʧ	1.0
k	k	1.0
j	i	1.0
fʲ	f	1.0
f	-	1.0
e_ˈ	ɛ	1.0
d̥ʲ	ʧ	1.0
d̥	d̥	1.0
dʲ	ʣ	1.0
d	d	1.0
b̥ʲ	b̥	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
r	r	0.924
ˈ	ˈ	0.91
ɫ	w	0.876
tʲ	ʦ	0.828
a	a	0.765
ʨ	ʧ	0.648
i	ə	0.628
vʲ	v_j	0.617
ɵ	-	0.578
ɨ	ə	0.575
mʲ	m_j	0.534
pʲ	p_j	0.517
u	õ	0.508
pʲ	p	0.483
mʲ	m	0.466
ɐ	u̯ɛ	0.426
ə	a	0.41
e	ɛ	0.407
ɐ	-	0.392
ə	-	0.385
i	i	0.372
ʨ	-	0.352
ɪ	-	0.309
o	u	0.291
e	a	0.255
ɵ	u	0.253
ɨ	i	0.25
u	w_ʉ	0.246
u	ã	0.246
vʲ	f	0.225
e	e	0.211
ə	u̯ɛ	0.204
ɐ	ɔ_ˈ	0.182
ɨ	-	0.175
tʲ	t	0.172
ɵ	ɛ	0.169
o	u̯ɛ	0.169
ɪ	ã	0.165
vʲ	v	0.159
o	-	0.159
ɪ	ɛ	0.158
a	ɞ	0.156
o	ɔ	0.143
ɪ	e	0.138
e	-	0.126
ɫ	-	0.124
ɪ	ə	0.101
o	ɞ	0.097
ˈ	-	0.09
a	ã	0.079
ɪ	u	0.077
r	-	0.076
o	ɛ	0.076
o	a	0.064
ɪ	j	0.052
