Nynorsk Norwegian	Eastphalian	probability
b	b	0.958
d	d	0.703
d	-	0.15
d	t	0.146
e	ə	0.884
e	-	0.095
f	f	1.0
h	h	0.965
j	-	0.281
j	j	0.19
j	h	0.165
j	l	0.136
j	ɣ	0.104
j	ˈeː	0.093
jː	ɡ	0.803
jː	ə	0.197
k	k	0.851
k	-	0.149
kʰ	k	0.89
kʰ	-	0.11
l	l	0.961
lː	l	0.95
lː	-	0.05
m	m	0.899
m	-	0.101
mː	m	1.0
n	n	0.854
n	-	0.146
nː	n	0.948
nː	-	0.052
p	p	0.936
p	b	0.064
s	s	0.488
s	z	0.375
s	ʃ	0.112
sː	ʃ	1.0
t	t	0.978
tʰ	d	0.638
tʰ	t	0.305
tʰ	b	0.057
tː	t	1.0
v	v	1.0
ŋ	-	1.0
ŋː	ŋ	1.0
ɑ	n	0.769
ɑ	-	0.14
ɑ	ə	0.086
ɕ	k	0.743
ɕ	d	0.21
ɕː	t	0.803
ɕː	k	0.197
ə	ɐ	0.926
ə	ə	0.074
ɛ	-	1.0
ɡ	ɣ	0.408
ɡ	-	0.145
ɡ	j	0.128
ɡ	x	0.109
ɡ	ç	0.091
ɡ	k	0.065
ɡ	ŋ	0.054
ɡː	ɡ	0.256
ɡː	-	0.248
ɡː	k	0.248
ɡː	ɣ	0.248
ɪ	n	1.0
ɲ	ŋ	1.0
ɾ	ɐ	0.585
ɾ	r	0.36
ɾ	-	0.055
ʃ	ʃ	0.785
ʃ	z	0.215
ʉ	-	1.0
ʋ	v	0.561
ʋ	f	0.198
ʋ	w	0.187
ʋ	-	0.055
ʰkː	ŋ_k	0.801
ʰkː	k	0.199
ʰpː	p	1.0
ʰtː	ç	0.371
ʰtː	x	0.318
ʰtː	t	0.311
ˈeː	ˈeː	0.267
ˈeː	ˈɛɪ̯	0.189
ˈeː	ˈiː	0.182
ˈeː	ˈɛ	0.104
ˈeː	ˈɛː	0.091
ˈeː	ˈa	0.072
ˈiː	ˈiː	0.648
ˈiː	ˈɪ	0.158
ˈiː	ˈɛɪ̯	0.102
ˈiː	ˈeː	0.05
ˈoː	ˈɒː	0.587
ˈoː	ˈoː	0.184
ˈoː	ˈɛɪ̯	0.08
ˈoː	ˈeː	0.061
ˈuː	ˈaʊ̯	0.518
ˈuː	-	0.169
ˈuː	ˈʊ	0.144
ˈuː	ˈɪ	0.056
ˈyː	ˈɛɪ̯	0.5
ˈyː	ˈyː	0.434
ˈyː	ˈiː	0.067
ˈæ	ˈa	1.0
ˈæɪ̯	ˈɛɪ̯	0.755
ˈæɪ̯	ˈɛ	0.196
ˈæʉ̯	ˈeo̯	0.916
ˈæʉ̯	ˈoː	0.084
ˈæː	ˈɛɪ̯	0.669
ˈæː	ˈɛː	0.331
ˈøː	ˈɔʏ̯	0.511
ˈøː	ˈɛ	0.298
ˈøː	ˈɛɪ̯	0.113
ˈøː	-	0.077
ˈœ	ˈɛː	0.5
ˈœ	ˈɛ	0.218
ˈœ	ˈœ	0.13
ˈœ	ˈʏ	0.104
ˈœʏ̯	ˈeo̯	0.411
ˈœʏ̯	ˈɔʏ̯	0.388
ˈœʏ̯	ˈøː	0.201
ˈɑ	ˈa	0.786
ˈɑ	ˈɒː	0.084
ˈɑː	ˈɒː	0.612
ˈɑː	ˈɛə̯	0.099
ˈɑː	ˈɛː	0.099
ˈɑː	ˈaː	0.093
ˈɑː	ˈa	0.068
ˈɔ	ˈoː	0.549
ˈɔ	ˈɔ	0.205
ˈɔ	ˈa	0.09
ˈɔ	ˈʏ	0.054
ˈɔ	ˈœ	0.051
ˈɔ	ˈɪ	0.051
ˈɛ	ˈiː	0.198
ˈɛ	ˈɪ	0.186
ˈɛ	ˈɛ	0.173
ˈɛ	ˈa	0.119
ˈɛ	ˈœ	0.089
ˈɛ	ˈeː	0.083
ˈɛ	ˈʏ	0.057
ˈɛ	ˈɛɪ̯	0.056
ˈɪ	ˈɪ	0.951
ˈʉ	ˈʊ	0.47
ˈʉ	v_ˈʊ	0.122
ˈʉ	-	0.094
ˈʉ	ˈœ	0.079
ˈʉ	ˈuː	0.078
ˈʉ	ˈʏ	0.068
ˈʉː	ˈuː	0.401
ˈʉː	ˈɛɪ̯	0.354
ˈʉː	ˈɔ	0.06
ˈʉː	ˈʊ	0.06
ˈʊ	ˈoː	0.503
ˈʊ	ˈœ	0.34
ˈʊ	ˈa	0.157
ˈʏ	ˈʏ	0.363
ˈʏ	w	0.255
ˈʏ	ˈɔ	0.13
ˈʏ	ˈɪ	0.107
ˈʏ	ˈɛː	0.099
