Spanish	Campidanese	probability
a	a	0.804
a	-	0.127
b	b	0.822
b	-	0.178
d	d	0.863
d	ɖ	0.087
e	i	0.526
e	e	0.243
e	ˈe	0.094
e	-	0.059
f	f	1.0
i	e	0.407
i	j	0.231
i	i	0.226
i	ˈi	0.096
j	ˈe	0.885
j	j	0.092
k	k	0.924
l	l	0.784
l	-	0.147
l	ð	0.052
m	m	0.892
m	-	0.063
n	n	0.976
o	u	0.808
o	-	0.081
o	o	0.072
p	p	0.862
p	p_r	0.05
r	r	0.809
r	-	0.191
s	s	0.799
s	z	0.178
t	t	0.855
t	-	0.069
t	ʧ	0.067
u	u	0.562
u	i	0.438
w	w	0.791
w	ˈo	0.209
x	ʣ	0.384
x	j	0.321
x	-	0.249
ð	ð	0.746
ð	d	0.097
ð	t	0.068
ŋ	ŋ	0.514
ŋ	ʃ	0.257
ŋ	r	0.174
ŋ	-	0.055
ɟ͡ʝ	ʧ	0.422
ɟ͡ʝ	p_r	0.195
ɟ͡ʝ	f	0.158
ɟ͡ʝ	l	0.158
ɡ	ɡ	0.868
ɡ	ʃ	0.074
ɡ	b	0.058
ɣ	ɣ	0.705
ɣ	ɡ	0.161
ɣ	k	0.133
ɲ	n	0.293
ɲ	ʤ	0.23
ɲ	ɲ	0.227
ɲ	n_n	0.215
ɾ	r	0.778
ɾ	-	0.067
ɾ	n	0.058
ʝ	ɖ	0.626
ʝ	s	0.196
ʝ	-	0.123
ʝ	ʤ	0.054
ʧ	t	1.0
ˈa	ˈa	0.958
ˈe	-	0.541
ˈe	ˈi	0.212
ˈe	ˈe	0.142
ˈe	i	0.077
ˈi	ˈi	0.706
ˈi	i	0.136
ˈi	e	0.055
ˈo	ˈo	0.603
ˈo	ˈu	0.223
ˈo	-	0.071
ˈo	ˈa	0.065
ˈu	ˈu	0.89
ˈu	u	0.07
β	β	0.274
β	k	0.231
β	-	0.178
β	p	0.142
β	v	0.096
β	ɣ	0.053
θ	ʒ	0.336
θ	ʧ	0.176
θ	ʃ	0.135
θ	-	0.105
θ	s	0.105
θ	z	0.05
