Polish	Slovak	probability
ˈɨ	ˈi	1.0
ˈɛ_w̃	ˈa	1.0
ˈɛ_r	ˈr̩	1.0
ˈɛ_k	ɪ̯ˈɛ_k	1.0
ˈa_#>	ˈa_#>	1.0
ʨ	c	1.0
ʦ	ʦ	1.0
ʥ	ɟ	1.0
ʑ	z	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
ɕ	s	1.0
z	z	1.0
x	x	1.0
v_j	ʋ	1.0
t	t	1.0
s	s	1.0
p_j	p	1.0
n	n	1.0
m	m	1.0
j_ˈa	ɪ̯ˈɛ	1.0
i	iː	1.0
f	ʋ	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
r	r	0.9
k	k	0.875
p	p	0.833
ɔ	ɔ	0.733
ˈɛ	ˈɛ	0.714
ʂ	ʃ	0.714
ɨ	iː	0.706
j	-	0.692
w	ɫ	0.682
ʐ	r	0.625
v	ʋ	0.615
ˈi	ˈi	0.6
ʈ͡ʂ	ʧ	0.6
ɛ	ɛ	0.579
l	ʎ	0.429
l	l	0.429
ˈi	-	0.4
ʈ͡ʂ	c	0.4
v	v	0.385
ʐ	ʒ	0.375
ˈɔ	ˈɔ	0.367
ˈu	ˈɔ	0.333
j	j	0.308
ˈa	ˈɛ	0.294
ɨ	i	0.294
ʂ	r	0.286
ˈɔ	ˈa	0.233
ˈɔ	-	0.2
ˈɛ	-	0.19
w	ˈɫ̩	0.182
ˈa	ˈa	0.176
ˈa	ɪ̯ˈɛ	0.176
ˈu	ˈuː	0.167
ˈu	ˈu	0.167
ˈu	ˈa	0.167
ˈu	-	0.167
p	f	0.167
ɛ	ˈɛ	0.158
ɛ	-	0.158
l	ɫ	0.143
w	l	0.136
ɔ	ˈɔ	0.133
ɔ	-	0.133
k	x	0.125
ˈa	ˈaː	0.118
ˈa	ɛ	0.118
ˈa	-	0.118
ɛ	ɪ̯ɛ	0.105
r	ˈr̩	0.1
ˈɛ	ɪ̯ˈɛ	0.095
ˈɔ	ˈɛ	0.067
ˈɔ	ʊ̯ˈɔ	0.067
ˈɔ	ɛ	0.067
