Jin	Jin	probability
⁵⁴	²	1.0
ʨ	k	1.0
ʐ	j	1.0
ɻ	iː	1.0
ə̃	ɐ	1.0
³¹	³⁵	1.0
z̩	iː	1.0
ỹ	w_ɐ	1.0
w_ə	ʊ	1.0
v_u	ŋ̍	1.0
v	m	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	ɔː	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_e	iː_n	1.0
j_a	iː	1.0
h	h	1.0
f	f	1.0
a_j	ɔː_j	1.0
<#_ɣ	<#	1.0
<#_ə	<#_j	1.0
<#_x	<#	1.0
<#	<#_j	1.0
ə	ɐ	0.824
ʦ	ʦ	0.8
ɥ	yː	0.75
x	h	0.75
ũ	ʊ	0.75
ɤ	ɔː	0.714
w	w	0.677
y	ɵ_ɥ	0.667
n	n	0.667
kʰ͡x	h	0.667
a	aː	0.647
ʦʰ	ʦʰ	0.636
ə_ʔ	k̚	0.625
ɒ̃	ɔː_ŋ	0.625
⁵³	³⁵	0.621
ʔ	k̚	0.611
u	o	0.6
ɕ	s	0.571
ĩ	ɐ	0.571
i	ɐ_j	0.571
⁴⁵	²²	0.5
ʨʰ	h	0.5
ŋ	ŋ	0.5
¹¹	⁵⁵	0.5
¹¹	²¹	0.5
j	j	0.5
j	-	0.5
e	n	0.5
ĩ	ɪ	0.429
i	e	0.429
⁴⁵	³³	0.423
ŋ	n	0.423
u	-	0.4
ʔ	t̚	0.389
⁵³	¹³	0.379
ə_ʔ	t̚	0.375
ɒ̃	œː_ŋ	0.375
ʦʰ	ʧʰ	0.364
ʨʰ	ʧʰ	0.333
²	⁵	0.333
²	³	0.333
²	²	0.333
y	yː	0.333
n	ŋ	0.333
kʰ͡x	f	0.333
ɤ	ɛː	0.286
ɕ	h	0.286
ɥ	-	0.25
æ̃	ɔː_n	0.25
æ̃	n	0.25
æ̃	aː_n	0.25
æ̃	aː_m	0.25
x	f	0.25
ũ	-	0.25
e	e	0.25
e	-	0.25
a	o	0.235
w	-	0.226
ʦ	ʧ	0.2
ə	ʊ	0.176
ʨʰ	kʰ	0.167
ɕ	ʃ	0.143
a	iː	0.118
w	ɵ	0.097
⁴⁵	-	0.077
ŋ	m	0.077
