Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɪ_r	ɐ_x	1.0
ˈɛː	ˈiː	1.0
ˈøː	ˈɔ_x	1.0
ˈø	-	1.0
ˈuː_#>	#>	1.0
ˈuː	ˈʏ	1.0
ˈoː	-	1.0
ˈiː_r	ˈɔa̯	1.0
ˈeː_#>	#>	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaː	ˈɪ_k	1.0
ˈaɪ̯	ˈiː	1.0
ʍ	v	1.0
ʃ	s_k	1.0
ɪ	l_k	1.0
ɛ	ˈʏ_ɾ	1.0
ə_r	ɐ	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
x	x	1.0
w_ˈəi̯	v	1.0
v_#>	f_#>	1.0
v	v	1.0
tʰ	tʰ	1.0
s_ˈɪ	s_ˈɛ	1.0
s	s	1.0
r_n	ɐ_n	1.0
pʰ	pʰ	1.0
p	p	1.0
n_d	nʲ	1.0
n	n	1.0
m	m	1.0
l_d	lʲ	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e	ɪ_ŋ	1.0
d_r	d_r	1.0
b	b	1.0
<#	<#_ˈyː	1.0
t	t	0.911
ɡ	ɡ	0.818
w	v	0.792
<#_r	<#_r	0.75
k	k	0.722
ð	ɾ	0.714
ˈu	ˈʏ	0.692
ˈəi̯	ˈɪ	0.667
ˈiː_#>	#>	0.667
z	s	0.667
i	ɪ_ç	0.667
ˈo	-	0.6
j	j	0.6
ç	x	0.571
#>	ə_#>	0.556
ˈeː	-	0.545
ˈa	-	0.538
r	r	0.531
ə	ɪ_ç	0.5
ə	ə	0.5
ˈeː	ˈɔː	0.455
θ	tʰ	0.444
ç	ç	0.429
ˈo	ˈuː	0.4
j	-	0.4
ˈʌ	ˈʊ	0.385
ˈʌ	-	0.385
d	ɾ	0.382
ˈiː	ˈiː	0.364
ˈiː	-	0.364
ˈɑː	ˈa	0.333
ˈɑː	-	0.333
ˈiː_#>	ˈeː_#>	0.333
z	z	0.333
i	aɪ̯	0.333
ˈu	-	0.308
ˈi	-	0.308
ˈɛ	ˈa	0.294
ð	-	0.286
k	-	0.278
ˈɪ	ˈɪ	0.275
ˈiː	ˈɛ	0.273
r	ɐ	0.25
<#_r	<#	0.25
ˈɛ	ˈɛ	0.235
ˈɛ	ˈeː	0.235
ˈɛ	-	0.235
ˈe	ˈɔː	0.235
ˈʌ	ˈœ	0.231
ˈa	ˈɛ	0.231
ˈa	ˈa	0.231
θ	ɾ	0.222
θ	d	0.222
#>	ə_f_#>	0.222
#>	ç_#>	0.222
d	t	0.206
d	d	0.206
d	-	0.206
ˈɪ	ˈɛ	0.2
ˈi	ˈɛ	0.192
ˈi	ˈeː	0.192
ɡ	ç	0.182
ˈe	ˈɔa̯	0.176
ˈe	ˈiː	0.176
ˈe	ˈeː	0.176
ˈəi̯	ˈʏ	0.167
ˈəi̯	-	0.167
ˈɑː	ˈɔa̯_l	0.167
ˈɑː	ˈœ	0.167
ˈi	ˈiː	0.154
ˈɪ	ˈʊ	0.125
ˈɪ	ˈœ	0.125
w	-	0.125
r	ɐ_x	0.125
ˈe	ˈaɪ̯	0.118
ˈe	-	0.118
θ	-	0.111
r	x	0.094
t	d	0.089
w	v_ˈʏ	0.083
ˈi	ˈɪ	0.077
ˈi	r	0.077
ˈɪ	ˈɔ	0.075
ˈɪ	ˈeː	0.075
ˈɪ	-	0.075
