Pennsylvania German	Proto-Germanic	probability
b	b	1.0
d	θ	0.441
d	d	0.31
d	ð	0.172
eː	e	1.0
f	ɸ	0.683
f	p	0.217
h	x	0.973
j	j	0.537
j	ɣ	0.463
k	ɣ	0.54
k	k	0.123
k	kʷ	0.121
k	x	0.101
k	xʷ	0.07
kʰ	k	0.96
l	l	0.837
l	ɑ_l	0.076
m	m	0.868
m	-	0.085
n	n	0.678
n	nː	0.135
n	r_n	0.075
n	m	0.057
p	β	0.867
p	p	0.104
pʰ	p	1.0
s	s	0.656
s	t	0.344
t	ð	0.294
t	t	0.286
t	θ	0.183
t	d	0.179
v	β	0.783
v	w	0.145
v	xʷ	0.072
x	x	0.572
x	k	0.363
x	ɣ	0.065
ç	z	0.424
ç	k	0.241
ç	x	0.225
ç	ŋ_ɡ	0.065
ŋ	ŋ	0.87
ŋ	n	0.13
ɑ	r	0.502
ɑ	ɔː	0.104
ɑ	ɑ̃	0.086
ɑ	ɛː	0.073
ə	ɑ	0.43
ə	j_ɑ	0.229
ə	u	0.105
ɡ	ɣ	0.98
ɣ	ɣ	0.824
ɣ	x	0.176
ɪ	ɑ	0.582
ɪ	-	0.139
ɪ	i	0.139
ɪ	u	0.139
ɾ	r	0.92
ɾ	x_r	0.05
ʃ	s	0.961
ʋ	w	0.953
ʦ	t	0.904
ʦ	tː	0.059
ˈa	ˈɑ	0.827
ˈa	ˈu	0.07
ˈa	ɑi̯	0.055
ˈaɪ̯	ˈiː	0.42
ˈaɪ̯	ˈi	0.213
ˈaɪ̯	ˈiu̯	0.119
ˈaɪ̯	ˈɑi̯	0.056
ˈaɪ̯	w	0.052
ˈaʊ̯	ˈuː	0.763
ˈaʊ̯	wː	0.096
ˈaʊ̯	ɑ	0.07
ˈaʊ̯	ˈɑu̯	0.07
ˈaː	ˈu	0.647
ˈaː	ˈɑ	0.353
ˈeː	ˈɑi̯	0.698
ˈeː	ˈe	0.175
ˈeː	i	0.056
ˈiː	ˈeu̯	0.541
ˈiː	j	0.166
ˈiː	ˈɔː	0.147
ˈiː	ˈe	0.079
ˈiː	ˈɔ	0.063
ˈoː	ˈɛː	0.461
ˈoː	ˈɑu̯	0.403
ˈoː	ˈɑi̯	0.058
ˈuː	ˈɔː	0.807
ˈuː	ˈuː	0.193
ˈɔ	ˈu	0.827
ˈɔ	ˈi	0.11
ˈɔ	ˈɑu̯	0.063
ˈɔɪ̯	jː	1.0
ˈɔː	ˈɑ	0.513
ˈɔː	ˈɑu̯	0.371
ˈɔː	ˈɛː	0.079
ˈɛ	ˈɑ	0.386
ˈɛ	ˈe	0.383
ˈɛ	ˈu	0.128
ˈɛː	ˈe	0.828
ˈɛː	ˈɛː	0.063
ˈɛː	-	0.057
ˈɪ	ˈi	0.652
ˈɪ	ˈu	0.194
ˈɪ	ˈe	0.133
ˈʊ	ˈu	0.757
ˈʊ	ˈe	0.071
ˈʊ	ˈɔː	0.071
