Fuzhounese	Fuzhounese	probability
⁵⁵	²⁴	1.0
⁵³	¹¹	1.0
ʦʰ_j	s	1.0
ɥ_ŋ	ŋ	1.0
ɛ_j	i	1.0
ɔ_ŋ	n	1.0
ɑ_ŋ	o_n	1.0
ɑ_w	o	1.0
²⁴	²	1.0
²¹³	⁵⁵	1.0
w_ɑ	a	1.0
w_ŋ	ŋ	1.0
u_j	i	1.0
u	u	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_⁵³	o_²⁴	1.0
o_w	u	1.0
nˡ	ɲ	1.0
m	m	1.0
l̃	l	1.0
j_a	a	1.0
h_w	f	1.0
a_ŋ	a_m	1.0
a_w	e_w	1.0
a_j	e	1.0
<#_w	<#_v	1.0
<#_h	<#	1.0
o	o	0.882
²⁴²	⁵⁵	0.846
³³	³¹	0.8
ʦʰ	ʦʰ	0.778
k	k	0.75
s	s	0.714
a	a	0.684
⁵	⁵	0.667
i	i	0.667
ø	u	0.625
p	p	0.615
ɑ	a	0.6
<#_nˡ	<#_n	0.6
<#	<#_v	0.6
h	f	0.545
e	e	0.545
ʦ	ʦ	0.5
ɛ	-	0.5
kʰ	kʰ	0.5
kʰ	h	0.5
j	j	0.5
ŋ	n	0.49
ʔ	t̚	0.483
ʔ	k̚	0.483
h	h	0.455
e	-	0.455
ŋ	ŋ	0.429
ɥ	u	0.4
ɥ	j	0.4
ɔ	o	0.4
ɔ	e	0.4
ɑ	o	0.4
<#_nˡ	<#	0.4
<#	<#_ɲ	0.4
ʦ	s	0.375
ø	j	0.375
w_o	u	0.375
w_o	j_e	0.375
⁵	²	0.333
y	ŋ̍	0.333
y	u	0.333
y	j_u	0.333
t	t	0.333
ɛ	i	0.3
s	ɕ	0.286
j	-	0.269
w	u	0.261
w_o	o	0.25
t	ʦ	0.25
t	tʰ	0.25
k	kʰ	0.25
p	pʰ	0.231
ʦʰ	ʨʰ	0.222
a	-	0.211
ɥ	-	0.2
ɛ	e	0.2
ɔ	-	0.2
³³	²⁴	0.2
i	ɨ	0.2
w	w	0.174
w	o	0.174
w	-	0.174
t	ʦʰ	0.167
²⁴²	³¹	0.154
p	f	0.154
i	-	0.133
w	a	0.13
ʦ	ʨ	0.125
o	e	0.118
a	o	0.105
w	j	0.087
j	i	0.077
j	e	0.077
j	a	0.077
