Elfdalian	Zeelandic	probability
ˈʉ_ŋ	ˈu	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈyː	1.0
ˈœː	ˈʊə̯	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈo_l	ˈɑu̯	1.0
ˈo	-	1.0
ʨː	t	1.0
ʥː	x	1.0
ʥ	-	1.0
ʏ	-	1.0
ɪ	-	1.0
ɡ	ŋ	1.0
ɛ_ɽ	ə_ɫ	1.0
ɔ̃	iː	1.0
ɔ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
w_ˈɛː	ʋ	1.0
w	ʋ	1.0
tʰ	d	1.0
t	t	1.0
sː	n_z̥	1.0
rː	ɾ	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l̥	s_ɫ	1.0
lː	ɫ	1.0
kː	k	1.0
j_ˈʉːə̯	ˈiː	1.0
j_ˈæː	ˈiː	1.0
f	v	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
r	ɾ	0.958
ɽ	ɫ	0.915
n	n	0.914
ɑ	ə	0.911
ɛ	ə	0.865
k	k	0.81
v	v̥	0.764
ˈyːœ̯	ˈuː	0.733
ˈɑːi̯	ˈi	0.73
ˈiːe̯	ˈɪə̯	0.716
tː	t	0.693
ɣ	x	0.684
ˈɔ̃ː	-	0.676
ˈʏː	ˈiː	0.642
ˈʉ	ˈɔ	0.626
ˈoː	-	0.624
ˈʉːə̯	-	0.613
ð	d̥	0.592
ɡː	x	0.582
ˈɑ	ˈɑ	0.565
s	z	0.563
ʉ	ə	0.537
ˈɛ	-	0.535
ˈɔː	ˈɛː	0.533
ʨ	x	0.503
ˈʏ	ˈʏ	0.5
ˈʏ	-	0.5
ʨ	k	0.497
ˈɑː	ˈɑ	0.487
ˈɪ	ˈɪ	0.456
ˈʉː	ˈøː	0.437
s	s	0.437
ɡː	-	0.418
j	ˈæ	0.413
ð	-	0.408
ˈɪ	ˈi	0.4
ˈoː	ˈʊə̯	0.376
ˈʉː	-	0.365
ˈʉə̯	-	0.364
ˈʉə̯	ˈɔ	0.362
ˈʏː	-	0.358
ˈɪː	ˈi	0.35
ˈɪː	ˈeː	0.35
ˈɛ	ˈæ	0.331
ˈɔ̃ː	ˈiːə̯	0.324
ʉ	-	0.324
ɣ	-	0.316
tː	x_t	0.307
ˈɪː	ˈiː	0.301
ˈiːe̯	ˈæi̯	0.284
ˈʉə̯	ˈʊə̯	0.274
ˈɑːi̯	-	0.27
ˈɔː	ɫ_ə	0.268
j	ˈɪə̯	0.268
ˈyːœ̯	ˈuːə̯	0.267
ˈɑː	ˈɛː	0.265
ˈɑː	-	0.247
ˈɑ	ˈɛː	0.236
v	v	0.236
ˈʉ	ˈʏ	0.203
ˈɔː	-	0.199
ˈɑ	ˈæ	0.199
ˈʉː	ˈyː	0.198
ˈʉːə̯	ˈuː	0.193
k	-	0.19
j	ˈɪ	0.178
ˈʉ	ʋ_ˈɔ	0.171
ˈɪ	-	0.144
j	-	0.141
ʉ	i	0.139
ɛ	-	0.135
ˈɛ	ˈæi̯	0.134
ˈʉːə̯	ˈu	0.097
ˈʉːə̯	ˈiː	0.097
ɑ	x_ə	0.089
n	-	0.086
ɽ	ɫ_ˈɑ	0.066
