Valencian	Bellunese	probability
b	b	1.0
f	f	1.0
j	-	1.0
p	p	1.0
z	z	1.0
ŋ	ŋ	1.0
ɐ	a	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
ˈo	ˈo	1.0
β	v	1.0
l	-	0.191
s	θ	0.381
u	o	0.631
ɜ	a	0.841
ɞ	a	0.811
ʤ	-	0.361
ˈi	ˈɛ	0.091
d	d	0.942
i	i	0.382
l	l	0.482
w	z_e	0.052
w	w	0.082
ð	d	0.832
ɲ	ŋ	0.102
ɲ	n	0.232
ʎ	l	0.862
e	o	0.253
k	k	0.923
u	-	0.263
w	e	0.133
ɲ	ɲ	0.623
ˈæ	ˈo	0.073
a	a	0.944
w	o	0.164
ɾ	r	0.814
ˈa	ˈa_ŋ	0.114
ˈe	ˈɛ	0.404
ˈɒ	ˈɔ	0.474
m	m	0.875
ˈe	ˈe	0.385
ˈu	ˈo	0.065
ˈu	ˈu	0.935
ˈæ	ˈɛ	0.265
ˈæ	ˈe	0.575
a	-	0.056
e	e	0.616
m	-	0.056
n	ŋ	0.236
n	n	0.756
r	r	0.966
t	t_o	0.096
u	u	0.106
ˈi	ˈe	0.06
ˈɒ	ˈo	0.526
l	j	0.327
ɾ	-	0.167
ˈi	ˈi_ŋ	0.107
ˈæ	j_ˈe	0.087
d	-	0.058
i	-	0.618
s	s	0.608
t	-	0.08
ð	t	0.168
ʎ	-	0.118
ˈa	ˈa	0.868
ˈe	ˈa	0.18
ˈi	ˈi	0.708
e	-	0.089
m	ŋ	0.069
t	t	0.79
v	v	0.959
w	v_e	0.089
w	-	0.479
ɜ	o	0.159
ɞ	e	0.189
ʤ	ð	0.639
