Insular North Frisian	English	probability
ˈɛː	-	1.0
ˈøː_l	ɫ	1.0
ˈøː	-	1.0
ˈuː_ɐ	ˈɔː	1.0
ˈua̯_l	ˈɑː	1.0
ˈoː_ɣ̥	ˈaɪ̯	1.0
ˈaʊ̯	-	1.0
ˈa_ʁ̥	ˈɑː	1.0
ˈa_x	ˈaɪ̯	1.0
ˈa_l	ɫ	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ə_l	ɫ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	ð	1.0
x_t	t	1.0
x	-	1.0
tʲ	θ	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
r_ˈœ	ɜː	1.0
r_ə	m	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n_d	1.0
lʲ	ɫ_d	1.0
l_ə	ɫ	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d_ɐ	t_ə	1.0
b	b	1.0
aɪ̯	ˈiː	1.0
v	w	0.966
m	m	0.938
s	s	0.936
r	ɹ	0.929
n	n	0.914
t	t	0.866
ɾ	d	0.803
kʰ	kʰ	0.783
k	k	0.765
l	l	0.713
j	-	0.697
ˈɔ	-	0.685
d	d	0.677
ˈua̯	ˈe	0.657
ˈaɪ̯	ˈeɪ̯	0.644
ɐ	ə	0.605
tʰ	θ	0.562
ˈə	ˈaɪ̯	0.547
ˈuː	-	0.533
ʁ̥	ˈɜː	0.502
ˈʏ	ˈaʊ̯	0.501
ˈyː	ˈaʊ̯	0.5
ˈyː	-	0.5
ɪ_ç	ɪ	0.5
ɪ_ç	əʊ̯	0.5
ʁ̥	-	0.498
ˈuː	ˈuː	0.467
ˈoː	ˈiː	0.461
ˈœ	ˈɐ	0.453
tʰ	tʰ	0.438
ˈa	ˈæ	0.411
ˈeː	-	0.391
ˈeː	ˈiː	0.39
ˈʊ	ˈɐ	0.385
ç	-	0.363
ˈaɪ̯	-	0.356
ç	ʤ	0.349
ˈɛ	ˈɪ	0.346
ˈə	ˈɪ	0.327
ˈoː	-	0.315
j	j	0.303
ˈa	ˈɑː	0.295
ˈa	-	0.295
ˈiː	ˈəʊ̯	0.289
ç	ˈaɪ̯	0.287
l	ɫ	0.287
ˈʏ	ˈɐ	0.28
ˈiː	ˈaɪ̯	0.241
ˈɔː	ˈeɪ̯	0.24
ˈʊ	ˈɪ	0.239
ˈɔː	ˈæ	0.23
ˈoː	ˈeɪ̯	0.225
ˈɛ	-	0.224
ˈeː	ˈe	0.219
kʰ	-	0.217
ˈɛ	ˈiː	0.208
ˈœ	ˈɪ	0.208
d	t	0.207
ˈua̯	ˈəʊ̯	0.204
ɾ	θ	0.197
ˈiː	ˈiː	0.194
ˈɔː	-	0.184
ˈɛ	ˈe	0.18
ˈœ	-	0.176
ˈɔː	ˈe	0.174
ˈɔː	ˈɑː	0.172
ˈœ	ˈæ	0.163
ˈɔ	ˈʊ	0.157
ˈɔ	ˈɪ	0.157
ˈiː	ˈeɪ̯	0.143
ˈʊ	ˈʊ	0.14
ˈua̯	ˈɪ_ə	0.139
ˈʊ	ˈæ	0.132
ˈiː	ˈɪ	0.132
ɐ	ˈɛ_ə	0.129
ˈʏ	-	0.123
k	ʧ	0.118
k	-	0.118
d	-	0.116
ˈʊ	ˈəʊ̯	0.104
t	d	0.103
ɐ	d_ə	0.102
ɐ	-	0.099
ˈʏ	ˈaɪ̯	0.096
n	-	0.086
ˈə	ˈe	0.079
r	-	0.071
ɐ	ɡ_ə	0.065
s	z	0.064
m	m_ˈɐ	0.062
