Latin	Corsican	probability
aː	a	1.0
e	-	1.0
eː	i	1.0
f	f	1.0
iː	i	1.0
j	ɟ	1.0
kʷ	w	1.0
kː	kː	1.0
l	l	1.0
lʲː	lː	1.0
oː	u	1.0
sː	sː	1.0
tː	tː	1.0
ɛ̃	e	1.0
ʊ̃ː	u	1.0
ˈa	ˈa	1.0
ˈau̯	ˈɔ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈɛ	1.0
ˈi	ˈi	1.0
ˈuː	ˈu	1.0
a	-	0.11
ãː	-	0.051
i	-	0.851
k	-	0.231
n	n	0.801
p	-	0.061
s	ʃ	0.091
w	v	0.861
ɡ	-	0.361
ɪ	i	0.441
ʊ	u	0.621
r	r	0.802
ɔ	ˈɔ	0.072
ɡ	ɡ	0.232
ɫ	j	0.122
ˈiː	ˈi	0.802
d	d	0.893
n	-	0.143
s	z	0.083
ŋ	ŋ	0.923
ɛ	-	0.123
ɛ̃ː	e	0.763
ɫ	l	0.683
ˈoː	ˈɔ	0.503
ˈɔ	ˈo	0.233
b	v	0.154
m	m	0.934
ɛ	ˈɛ	0.074
ɛ̃ː	u	0.154
ˈɛ	ˈe	0.384
ˈʊ	ˈu	0.374
ɛ	e	0.755
ˈɪ	ˈɛ	0.805
b	-	0.076
m	-	0.066
ɫ	-	0.196
ˈɛ	ˈɛ	0.616
b	b	0.77
d	-	0.107
ŋ	ɲ	0.077
ɡ	ɟ	0.407
ˈoː	ˈo	0.497
ˈɔ	ˈɔ	0.767
ˈɪ	ˈe	0.107
k	ʧ	0.238
k	k	0.478
r	-	0.198
s	-	0.118
s	s	0.708
t	t	0.918
ɔ	u	0.928
ɪ	-	0.48
ˈiː	-	0.198
ˈɪ	ˈi	0.088
ˈʊ	ˈo	0.268
a	a	0.89
ãː	a	0.949
i	j	0.149
p	p	0.939
w	-	0.139
ʊ	-	0.379
ˈʊ	ˈɔ	0.359
