Belarusian	Slovak	probability
ˈɨ	ˈi	1.0
ˈɛ	ˈɛ	1.0
ˈu	ˈu	1.0
ˈo_w	ˈɫ̩	1.0
ˈi	ˈi	1.0
ʦʲ	c	1.0
ʦ	ʦ	1.0
ʣʲ	ɟ	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʂ	ʃ	1.0
ɣ_ˈo	ɦ	1.0
ɣ	ɦ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
w_#>	ʋ_#>	1.0
vʲ	ʋ	1.0
v_ˈo	ˈɔ	1.0
u	ˈu	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
pʲ	p	1.0
nʲ	ɲ	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
i	iː	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_r	r	1.0
<#_a	<#_ˈɔ	1.0
a_#>	ɔ_#>	0.833
r	r	0.821
p	p	0.778
ˈa	a	0.706
ɫ	ɫ	0.7
ɨ	iː	0.692
æ	ˈɛ	0.667
v	ʋ	0.636
ˈe	ˈɛ	0.632
ˈɵ	ˈɛ	0.5
ˈɵ	-	0.5
ˈæ	ˈæ	0.5
ˈæ	ˈa	0.5
ʧ	ʧ	0.5
ʧ	c	0.5
lʲ	ʎ	0.5
lʲ	l	0.5
ˈo	ˈɔ	0.458
v	v	0.364
æ	ɪ̯ˈɛ	0.333
e	ɪ̯ɛ	0.333
e	ɛ	0.333
e	ɔ	0.333
ɨ	i	0.308
ˈa	ˈa	0.294
ˈo	ˈa	0.25
a	ˈɔ	0.231
a	a	0.231
p	f	0.222
ˈe	ɪ̯ˈɛ	0.211
ɫ	l	0.2
a	ɛ	0.192
r	ˈr̩	0.179
a_#>	#>	0.167
ˈe	ɛ	0.158
a	ˈa	0.154
ˈo	ɔ	0.125
a	ɪ̯ˈɛ	0.115
ɫ	d_ɫ	0.1
ˈo	ˈaː	0.083
ˈo	ʊ̯ˈɔ	0.083
a	ˈɛ	0.077
