Piedmontese	Asturian	probability
ˈə	ˈe	1.0
ʧ	ʎ	1.0
ɲ	ɲ	1.0
ə	-	1.0
t_a	t_a	1.0
r_n	ɾ_n	1.0
p_j	ʎ	1.0
p	p	1.0
m	m	1.0
k_r	k_ɾ	1.0
f	f	1.0
dː	-	1.0
a	a	0.935
ˈa	ˈa	0.932
k	k	0.931
ˈu	ˈo	0.83
z	-	0.772
n	n	0.754
r	ɾ	0.753
ˈy	ˈu	0.692
ˈi	ˈi	0.691
v	β	0.618
ŋ	n	0.602
l	ʎ	0.602
ʤ	ʃ	0.6
u	o	0.594
t	t	0.565
e	e	0.535
ɡ	ɡ	0.532
s	s	0.531
b	b	0.521
ˈɔ	w_ˈe	0.5
ˈø	w_ˈe	0.488
i	-	0.453
ˈe	ˈe	0.421
w	-	0.412
ʤ	-	0.4
d	d	0.399
b	β	0.392
ˈɛ	ˈe	0.376
d	ð	0.37
ˈø	w	0.354
ˈɛ	j_ˈe	0.342
v	b	0.336
ˈɔ	ˈo	0.316
ɡ	ɣ	0.311
s	θ	0.309
ˈe	ˈa_ɾ	0.302
w	l	0.298
w	ˈo	0.29
i	e	0.29
l	l	0.28
i	i	0.257
u	e	0.247
n	-	0.246
e	ˈe_ɾ	0.24
d	-	0.231
ŋ	ŋ	0.23
z	θ	0.228
j	-	0.226
j	ʝ	0.188
ˈy	-	0.181
ˈi	ˈe	0.178
t	ð	0.175
j	l	0.16
e	ˈi_ɾ	0.16
u	-	0.159
ˈø	o	0.158
j	ˈe	0.158
ɡ	ˈe_u	0.157
t	ʧ	0.147
ˈɛ	j	0.143
ˈɔ	o	0.132
ˈy	ˈo	0.127
j	ˈe_ʝ	0.122
t	-	0.113
ˈe	ɾ	0.104
j	ɾ	0.099
ŋ	ɲ	0.097
ˈu	ˈu	0.096
ˈi	-	0.091
ˈe	j_ˈe	0.087
b	f_e	0.087
ˈe	-	0.085
r	r	0.084
ˈɛ	ɾ	0.078
s	t	0.075
l	m_ˈo	0.075
ˈu	w_ˈe	0.074
ŋ	ˈe_n	0.071
k	-	0.069
r	-	0.068
r	ð_ɾ	0.066
a	-	0.065
e	ˈe	0.064
ˈɛ	-	0.062
s	e_s	0.06
ˈɔ	-	0.052
