Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔː	ˈoə̯	1.0
ˈøʏ̯	ˈɛ	1.0
ˈuː_d̥_#>	ˈɪə̯_#>	1.0
ˈu	ˈɔ	1.0
ˈoː_d	ˈuə̯	1.0
ˈoː_#>	ˈoː_#>	1.0
ˈoʊ̯	-	1.0
ˈa_ɫ	ˈɔː	1.0
ʦ	t	1.0
ɪ	-	1.0
ɣ̊	-	1.0
ɣ	ɣ_j	1.0
ɡ̊_#>	#>	1.0
ə_f	v_ə	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɕ_#>	#>	1.0
ŋ_ɡ̊	n	1.0
z̥_#>	s_#>	1.0
v_ə	n	1.0
t	t	1.0
s_t	s_t	1.0
p	p	1.0
m	m	1.0
h	h	1.0
e	ɪ	1.0
d̥_#>	#>	1.0
d_ɐ	r	1.0
d	d	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
l	l	0.931
z	s	0.9
ʀ	r	0.864
d̥	d̥	0.857
<#_d	<#_t	0.818
n	n	0.811
f	f	0.8
s	t	0.75
j	ɡ	0.75
ɫ	l	0.739
#>	n_#>	0.714
ʋ	ʋ	0.692
ʃ	s	0.682
v̥_#>	f_#>	0.667
ˈɔ	ˈɔ	0.636
ŋ	ŋ	0.611
ˈɔʊ̯	-	0.6
ʃ_#>	s_k_#>	0.6
ˈøː	ˈiə̯	0.571
ˈe	ˈɪ	0.556
ˈɪ	ˈɪ	0.545
ˈiː	-	0.533
ˈo	-	0.5
ˈeɪ̯	ˈɛ_j	0.5
ˈeɪ̯	-	0.5
x	χ_t	0.5
x	k	0.5
v	v	0.5
v	-	0.5
k_#>	χ_#>	0.5
k_#>	ɣ_ə_#>	0.5
ɐ	r	0.486
ɕ	k	0.471
ˈaː	ˈa	0.462
k	k	0.455
ˈɛː	-	0.444
ˈuː	ˈuː	0.417
ˈuː	-	0.417
ɕ	χ	0.412
ˈɔʊ̯	ˈuː	0.4
ʃ_#>	s_k_ə_#>	0.4
ŋ	n	0.389
ˈaː	-	0.385
ˈa	ˈa	0.385
ɐ	ə_r	0.371
ˈɔ	-	0.364
ˈɛː	ˈɛi̯	0.333
ˈœ	ˈɪ	0.333
ˈœ	-	0.333
ˈyː	ˈuː	0.333
v̥_#>	#>	0.333
ʃ	s_k	0.318
ˈɛ	ˈɛ	0.316
ˈoː	ˈuə̯	0.316
ˈoː	ˈiə̯	0.316
ʋ	v	0.308
ˈeː	ˈiə̯	0.3
ˈeː	-	0.3
ˈøː	-	0.286
ˈo	ˈɔ	0.286
#>	χ_#>	0.286
ˈɪ	-	0.273
ˈiː	ˈiː	0.267
j	-	0.25
ˈɛː	ˈiə̯	0.222
ˈœ	ˈɛː	0.222
ˈyː	j_ˈɪ	0.222
ˈyː	j_ˈuə̯	0.222
ˈyː	-	0.222
ˈe	ˈi	0.222
ˈe	-	0.222
ˈo	ˈu	0.214
ˈɛ	-	0.211
ˈiː	ˈi	0.2
f	p	0.2
ˈa	ˈaː	0.192
ˈa	-	0.192
ˈɪ	ˈiː	0.182
k	ʦ	0.182
k	k_j	0.182
k	-	0.182
<#_d	<#	0.182
ɫ	l_ə	0.174
ˈuː	ˈɪə̯	0.167
ˈɛ	ˈɪə̯	0.158
ˈɛ	ˈɪ	0.158
ˈɛ	ˈaː	0.158
ˈoː	ˈɪə̯	0.158
ˈaː	ˈɛː	0.154
ˈøː	ˈu̯o	0.143
d̥	n_ə	0.143
ʀ	-	0.136
s	ˈi_t	0.125
s	s	0.125
ɕ	ˈɔ_χ	0.118
ˈa	ˈɪə̯	0.115
ˈa	ˈɔː	0.115
ˈœ	ˈøə̯	0.111
ˈoː	ˈoə̯	0.105
ˈoː	ˈaː	0.105
ˈeː	ˈɪ	0.1
ˈeː	ˈiː	0.1
ˈeː	j_ˈɪ	0.1
ˈeː	j	0.1
z	ɕ	0.1
ɫ	-	0.087
ɐ	-	0.086
n	-	0.081
l	l_ˈɛː	0.069
ɐ	ə	0.057
n	ˈoə̯	0.054
n	ə	0.054
