German	Northern Low Saxon	probability
ˈʏ	ˈʏ	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈoː	1.0
ˈɛ_s	ˈeː_d	1.0
ˈɔʏ̯	ˈyː	1.0
ˈɔ_ɐ	ˈaʊ̯_ɐ	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈøː	ˈɔʏ̯	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈiː_ɐ_#>	ˈiː_#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈaɪ̯_ç	ˈaɪ̯_ɡ	1.0
ˈaɪ̯_s	ˈiː_d	1.0
ˈaɪ̯_#>	ˈaɪ̯_#>	1.0
ˈa_ɐ	ˈaː	1.0
ˈa_n	ˈa_n	1.0
ˈa_l	ˈaː	1.0
ʃ_#>	ʃ_#>	1.0
ɪ	ɪ	1.0
ɡ̊_#>	x_#>	1.0
ɡ̊	ç	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ	1.0
ə_#>	f_#>	1.0
ɐ_ʦ_#>	ˈa_d_#>	1.0
ɐ_#>	ɐ_#>	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
ç_t	ç	1.0
ç	ɡ	1.0
z_ə	s	1.0
v	v	1.0
t_ɐ	d_ɐ	1.0
s_t	s	1.0
p͡f	b	1.0
n_ɪ	n_ɪ	1.0
n_ə_#>	n_#>	1.0
n_d	n	1.0
n_#>	n_#>	1.0
m_ə_n_#>	m_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈuː	l_ˈaʊ̯	1.0
l_ˈiː_ɡ	l_ˈaɪ̯	1.0
l_ə_#>	l_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	ɡ_#>	1.0
f_n	b_m	1.0
f_#>	b_#>	1.0
f	f	1.0
d̥_#>	d_#>	1.0
b̥_#>	f_#>	1.0
b_n	m	1.0
b	-	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_tʰ	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_d	1.0
<#_p͡f	<#_pʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_ʒ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ə	-	0.857
t_#>	d_#>	0.8
<#_ʃ	<#_ʃ	0.792
ʁ	r	0.778
ˈaʊ̯	ˈuː	0.765
ˈoː	ˈaʊ̯	0.727
ɐ	ɐ	0.714
ˈaː	ˈoː	0.706
ˈa	ˈa	0.667
n	n	0.619
ˈyː	ˈɔʏ̯	0.6
s	d	0.6
ç_#>	ç_#>	0.571
s_#>	s_#>	0.529
ˈɔ	ˈʊ	0.5
ˈɔ	ˈɔ	0.5
ˈuː	ˈaʊ̯	0.5
ʦ	d	0.5
ʦ	-	0.5
x	ɡ	0.5
x	x	0.5
k	ɡ	0.5
d	d	0.5
d	-	0.5
ˈaɪ̯	ˈiː	0.471
s_#>	d_#>	0.471
ˈʊ	ˈʊ	0.444
ç_#>	ɡ_#>	0.429
t	t	0.417
ˈyː	ˈøː	0.4
s	t	0.4
n	-	0.381
ˈeː	ˈaɪ̯	0.364
ˈʊ	-	0.333
ˈɛ	ˈɛ	0.333
t	d	0.333
k	ç	0.3
ˈaɪ̯	ˈɪ	0.294
ɐ	ˈaː	0.286
ˈoː	ˈoː	0.273
ˈeː	ˈeː	0.273
ˈɛ	ˈeː	0.25
ˈɛ	-	0.25
ˈuː	ˈɔʏ̯	0.25
ˈuː	ˈuː	0.25
t	-	0.25
ˈaʊ̯	ˈaʊ̯	0.235
ˈaɪ̯	ˈaɪ̯	0.235
ˈʊ	ˈɔ	0.222
ʁ	-	0.222
<#_ʃ	<#_s	0.208
t_#>	t_#>	0.2
k	k	0.2
ˈeː	ˈɛ	0.182
ˈeː	ˈeɪ̯	0.182
ˈaː	ˈa	0.176
ˈɛ	ˈʏ	0.167
ˈa	ˈoː	0.167
ˈa	ˈaʊ̯	0.167
ə	ɐ	0.143
ˈaː	ˈɛ	0.118
