Romanian	Romanian	probability
ˈɨ_j_n_e_#>	ˈa_#>	1.0
ˈə	-	1.0
ˈu_p	ˈu_j	1.0
ˈu_n	ˈo	1.0
ˈi_n_e_#>	ˈi_#>	1.0
ˈi_n_#>	ˈi_#>	1.0
ˈi_n	ˈæ	1.0
ˈau̯	ˈɒ	1.0
ʧʲ	ŋ	1.0
ʧ_e	w	1.0
ʦʲ	t_s	1.0
ʦ	-	1.0
ʤ_e	ʤ_e	1.0
ʒ	ʤ	1.0
ʃ_t	ʃ	1.0
ɨ	e	1.0
ə_p	mː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z_b	v	1.0
z	d	1.0
v	v	1.0
t_ˈi	ˈa_p	1.0
t_#>	#>	1.0
s_ə	z_ɐ	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r_e_#>	l_#>	1.0
r_e	r	1.0
r_#>	l_#>	1.0
p_r	β_ɾ	1.0
o	-	1.0
nʲ	n_s	1.0
n_e	n_d	1.0
m_n	ɲ	1.0
m_e_#>	m_#>	1.0
l_#>	ʎ_#>	1.0
l	l	1.0
kʲ	ʎ	1.0
j_#>	s_#>	1.0
f	f	1.0
e_d	ˈæ	1.0
a	ɐ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ʎ	1.0
<#_j	<#_ˈe	1.0
<#_a	<#_a	1.0
j	-	0.875
m	m	0.846
ˈɨ	ˈa	0.833
ˈa	ˈa	0.805
k_#>	k_#>	0.8
p	p	0.794
k	k	0.763
ˈi	ˈi	0.724
ʃ	s	0.714
t	t	0.676
e̯ˈa	ˈe	0.667
b	b	0.667
u	o	0.647
ˈo	ˈɒ	0.64
ɡ	ɡ	0.6
w	w	0.6
d	d	0.571
o̯ˈa	ˈɒ	0.562
ʤ	ʤ	0.556
r	ɾ	0.547
n	n	0.529
r_u	ɾ	0.5
r_u	o_ɾ	0.5
<#	<#_ʎ	0.5
<#	<#_a	0.5
e	-	0.48
ʤ	-	0.444
ʧ	-	0.429
w	-	0.4
ˈe	ˈæ	0.394
ə	ɐ	0.375
i	i	0.375
i	e	0.375
ˈu	ˈu	0.371
r	r	0.34
e̯ˈa	ʎ_ɜ	0.333
b	β	0.333
ˈe	ˈe	0.303
ˈu	ˈo	0.286
ʧ	s	0.286
ʧ	k	0.286
ʃ	-	0.286
d	-	0.286
#>	ɐ_#>	0.28
t	ð	0.265
ˈu	ˈɒ	0.257
ə	ɞ	0.25
o̯ˈa	-	0.25
i	-	0.25
#>	s_#>	0.24
u	-	0.235
n	-	0.235
ɡ	ɣ	0.2
ɡ	-	0.2
ə	ɜ	0.2
k_#>	#>	0.2
o̯ˈa	ˈu	0.188
ˈɨ	-	0.167
ˈo	ˈo	0.16
e	e	0.16
#>	k_#>	0.16
m	-	0.154
ˈe	-	0.152
d	t	0.143
e	ɜ	0.14
ˈi	ˈe	0.138
ə	-	0.125
j	l_t	0.125
ˈo	ˈu	0.12
#>	w_#>	0.12
#>	l_#>	0.12
u	e	0.118
n	ɲ	0.118
k	k_a	0.105
ˈe	w	0.091
p	ˈi_t	0.088
ˈu	-	0.086
ˈo	z_ˈa	0.08
#>	ʎ_#>	0.08
k	ɣ	0.079
r	-	0.075
ˈa	ˈe	0.073
ˈa	-	0.073
ˈi	ˈæ	0.069
ˈi	-	0.069
ˈe	ˈe_j	0.061
e	ˈi	0.06
e	w	0.06
e	l	0.06
t	-	0.059
p	s	0.059
p	-	0.059
n	ŋ	0.059
n	n_d	0.059
k	-	0.053
