Swedish	Luxembourgish	probability
a	ə	0.911
b	b	1.0
d	t	0.57
d	d	0.394
f	f	0.973
h	h	0.965
j	ɡ	0.296
j	-	0.283
j	l	0.1
j	ʑ	0.087
j	ˈɛː	0.079
j	ɕ	0.078
jː	ˈoː	1.0
k	ɕ	0.485
k	χ	0.202
k	-	0.159
k	k	0.153
kʰ	kʰ	0.955
kː	k	0.881
kː	χ	0.119
l	l	0.974
lː	l	1.0
m	m	0.922
m	n	0.078
mː	m	1.0
n	n	0.917
n	ŋ	0.061
nː	n	0.906
nː	-	0.094
p	f	0.954
pʰ	f	1.0
pː	f	0.53
pː	p	0.47
r	ɐ	0.461
r	ʀ	0.415
r	-	0.123
rː	ʀ	0.671
rː	ɐ	0.329
s	ʃ	0.456
s	z	0.354
s	s	0.162
sː	s	1.0
t	s	0.775
t	t	0.197
tʰ	d	0.654
tʰ	ʦ	0.303
tː	s	0.46
tː	ʦ	0.332
tː	ɕ	0.177
v	v	0.564
v	f	0.169
v	w	0.148
v	ə_f	0.085
ŋ	e	0.311
ŋ	-	0.234
ŋ	ŋ	0.177
ŋ	ɕ	0.177
ŋ	v	0.101
ŋː	ŋ	1.0
ɔ	e	1.0
ɕ	kʰ	0.556
ɕ	d	0.366
ɕ	ʦ	0.077
ɖ	ɐ_t	0.927
ɖ	t	0.073
ɛ	ɐ	0.664
ɛ	-	0.307
ɡ	ɡ	0.448
ɡ	-	0.299
ɡ	ɕ	0.237
ɡː	k	0.841
ɡː	-	0.159
ɧ	ʃ	0.667
ɧ	z	0.295
ɪ	ə	0.667
ɪ	-	0.333
ɳ	ʀ	0.685
ɳ	ɐ	0.315
ɳː	ʀ	1.0
ɵ	ə	0.57
ɵ	-	0.43
ʂ	ʃ	1.0
ʈ	t	1.0
ʈː	ʦ	1.0
ʊ	ŋ	0.818
ʊ	-	0.182
ˈa	ˈɑ	0.518
ˈa	ˈaː	0.369
ˈa	ˈu	0.083
ˈeː	ˈeː	0.51
ˈeː	ˈi	0.31
ˈeː	ˈɛ	0.062
ˈiː	ˈæːɪ̯	0.741
ˈiː	ˈɑɪ̯	0.102
ˈiː	ˈe	0.073
ˈoː	ˈoː	0.471
ˈoː	ˈəʊ̯	0.192
ˈoː	ˈu	0.089
ˈoː	ˈaː	0.084
ˈoː	ˈɜɪ̯	0.076
ˈuː	ˈʊ	0.399
ˈuː	ˈaː	0.232
ˈuː	ˈu	0.09
ˈuː	ˈəʊ̯	0.089
ˈuː	ˈuː	0.066
ˈyː	ˈɑɪ̯	0.521
ˈyː	ˈɜɪ̯	0.479
ˈæ	ɐ	1.0
ˈæː	ˈɑɪ̯	0.642
ˈæː	ˈɛː	0.274
ˈæː	ˈiː	0.085
ˈøː	ˈɜɪ̯	0.224
ˈøː	ˈaː	0.206
ˈøː	ˈe	0.169
ˈøː	ˈəʊ̯	0.144
ˈøː	ˈi	0.08
ˈøː	-	0.079
ˈœ	ˈeː	0.236
ˈœ	ˈaː	0.21
ˈœ	ˈə	0.201
ˈœ	ˈo	0.144
ˈœ	ˈuː	0.071
ˈœ	ˈɑɪ̯	0.071
ˈœ	ˈɜɪ̯	0.069
ˈœː	ˈiː	0.607
ˈœː	ˈɜɪ̯	0.297
ˈœː	ˈəʊ̯	0.096
ˈɑː	ˈaː	0.476
ˈɑː	ˈuə̯	0.246
ˈɑː	-	0.105
ˈɑː	ˈoː	0.068
ˈɑː	ˈɑ	0.068
ˈɔ	ˈo	0.396
ˈɔ	ˈu	0.155
ˈɔ	ˈuː	0.108
ˈɔ	ˈiː	0.107
ˈɔ	ˈaː	0.063
ˈɔ	ˈɑɪ̯	0.063
ˈɛ	ˈə	0.389
ˈɛ	ˈeː	0.211
ˈɛ	ˈaː	0.108
ˈɛ	ˈɛ	0.083
ˈɛ	ˈiː	0.057
ˈɛː	ˈeː	0.364
ˈɛː	ˈiə̯	0.254
ˈɛː	ˈaː	0.16
ˈɛː	ˈɜɪ̯	0.147
ˈɛː	ˈuə̯	0.075
ˈɪ	ˈɑ	0.676
ˈɪ	ˈe	0.097
ˈɪ	ˈə	0.096
ˈɪ	ʀ	0.08
ˈɵ	ˈə	0.23
ˈɵ	v_ˈo	0.139
ˈɵ	ˈo	0.12
ˈɵ	j	0.111
ˈɵ	ˈi	0.1
ˈɵ	ˈɑ	0.1
ˈɵ	ˈɔ	0.1
ˈɵ	ˈuə̯	0.072
ˈʉː	ˈɜɪ̯	0.479
ˈʉː	ˈæːʊ̯	0.171
ˈʉː	-	0.084
ˈʉː	ˈɑʊ̯	0.064
ˈʉː	ˈɑ	0.062
ˈʉː	ˈiː	0.06
ˈʊ	ˈɔ	0.354
ˈʊ	ˈo	0.269
ˈʊ	ˈu	0.269
ˈʊ	ˈuː	0.108
ˈʏ	ˈe	0.535
ˈʏ	ˈiː	0.158
ˈʏ	ˈɑʊ̯	0.149
ˈʏ	ˈæːɪ̯	0.105
ˈʏ	ˈə	0.053
