Swedish	Luxembourgish	probability
a	ə_n	0.536
a	-	0.382
a	ə_f	0.032
a	ɐ	0.032
a	ˈaː	0.03
b	b	1.0
d	t	0.579
d	d	0.414
d	p	0.029
e	ɐ	0.489
f	f	0.96
f	ʃ	0.046
h	h	0.981
h	-	0.035
j	-	0.338
j	ɡ	0.201
j	ˈɛː	0.098
j	ɕ	0.091
j	ˈi	0.085
jː	ˈoː	1.0
k	ɕ	0.405
k	k	0.391
k	χ	0.153
kʰ	kʰ	0.944
kʰ	-	0.052
kː	k	1.0
l	l	1.0
l_ɛ	l	0.489
lː	l	1.0
m	m	0.956
m	n	0.049
mː	m	1.0
n	n	0.835
n	-	0.133
n	ŋ	0.035
nː	n	0.728
nː	n_t	0.207
nː	-	0.051
p	f	0.833
p	p	0.136
pʰ	f	0.239
pː	f	1.0
r	ʀ	0.495
r	-	0.31
r	ɐ	0.191
r_a	ɐ	1.0
rː	ʀ	0.425
rː	ɐ	0.102
s	ʃ	0.424
s	z	0.31
s	s	0.227
s	-	0.037
s_k	ʃ	1.0
sː	s	1.0
t	s	0.547
t	t	0.342
t	d	0.057
t	ʦ	0.055
tʰ	d	0.496
tʰ	ʦ	0.444
tʰ	b	0.056
tː	ɕ_t	0.389
tː	s	0.312
tː	t	0.101
tː	χ	0.091
tː	ʦ	0.067
v	v	0.51
v	w	0.168
v	f	0.127
v	ə_f	0.12
v	-	0.051
ŋ	e	0.253
ŋ	ŋ	0.163
ŋ	-	0.154
ŋ	ɕ	0.154
ŋ	v	0.105
ŋː	ŋ	0.827
ŋː	ŋ_k	0.134
ɕ	d	0.85
ɕ	kʰ	0.075
ɖ	ɐ_t	0.74
ɖ	t	0.134
ɛ	ɐ	0.566
ɛ	-	0.353
ɛ	ə	0.077
ɛ_l	l	0.489
ɡ	-	0.342
ɡ	ɡ	0.33
ɡ	ɕ	0.27
ɡ	χ	0.055
ɡː	k	0.758
ɡː	-	0.181
ɧ	ʃ	0.663
ɧ	z	0.324
ɪ	ə	0.667
ɪ	-	0.333
ɳ	ʀ	0.488
ɳ	ɐ	0.488
ɳː	ʀ	1.0
ɵ	ə	0.489
ɵ	ˈɑ	0.057
ʈː	ʦ	1.0
ʊ	ŋ	1.0
ˈa	ˈɑ	0.551
ˈa	ˈaː	0.235
ˈa	ˈæ	0.07
ˈa	ˈuə̯	0.07
ˈa	ˈu	0.07
ˈa_r	ˈaː	1.0
ˈeː	ˈeː	0.526
ˈeː	ˈɛ	0.126
ˈeː	ˈi_n	0.091
ˈeː	ˈæːɪ̯	0.091
ˈeː	ˈiə̯	0.069
ˈiː	ˈæːɪ̯	0.508
ˈiː	ˈæɪ̯	0.186
ˈiː	ˈɑɪ̯	0.162
ˈiː	ˈe	0.123
ˈoː	ˈoː	0.506
ˈoː	ˈu	0.117
ˈoː	ˈəʊ̯	0.093
ˈoː	ˈaː	0.091
ˈoː	ˈeː	0.065
ˈuː	ˈʊ	0.282
ˈuː	ˈaː	0.192
ˈuː	ˈəʊ̯	0.192
ˈuː	ˈæːʊ̯	0.082
ˈuː	ˈuː	0.082
ˈyː	ˈɑɪ̯	0.596
ˈyː	ˈəɪ̯	0.384
ˈæ	ɐ	0.489
ˈæː	ˈɛː	0.723
ˈæː	ˈɑɪ̯	0.203
ˈøː	ˈəɪ̯	0.367
ˈøː	ˈaː	0.214
ˈøː	ˈəʊ̯	0.186
ˈøː	ˈe	0.068
ˈøː	ˈi	0.066
ˈœ	ˈo	0.267
ˈœ	ˈaː	0.267
ˈœ	ˈə	0.202
ˈœ	ˈɑɪ̯	0.075
ˈœ	ˈəɪ̯	0.072
ˈœː	ˈəɪ̯	0.322
ˈœː	ˈəʊ̯	0.322
ˈɑː	ˈaː	0.523
ˈɑː	-	0.12
ˈɑː	ˈɑ	0.089
ˈɑː	ˈu	0.089
ˈɑː	ˈoː	0.086
ˈɔ	ˈo	0.244
ˈɔ	ˈe	0.14
ˈɔ	ˈiə̯	0.104
ˈɔ	ˈʊɪ̯	0.098
ˈɔ	ˈaː	0.098
ˈɛ	ˈə	0.269
ˈɛ	ˈeː	0.212
ˈɛ	ˈɛ	0.152
ˈɛ	ˈiː	0.132
ˈɛ	ˈaː	0.08
ˈɛː	ˈiə̯	0.329
ˈɛː	ˈeː	0.258
ˈɛː	ˈaː	0.141
ˈɛː	ˈəɪ̯	0.129
ˈɛː	ˈuə̯	0.095
ˈɪ	ˈɑ	0.466
ˈɪ	ˈə	0.239
ˈɪ	ˈe	0.163
ˈɪ	ˈi	0.065
ˈɪ	ʀ	0.047
ˈɵ	ˈo	0.183
ˈɵ	ˈə	0.155
ˈɵ	v_ˈo	0.135
ˈɵ	ˈi_n	0.103
ˈɵ	ˈɑɪ̯	0.103
ˈʉː	ˈæːʊ̯	0.422
ˈʉː	ˈəɪ̯	0.264
ˈʉː	-	0.098
ˈʉː	ˈiə̯	0.067
ˈʉː	ˈu	0.067
ˈʊ	ˈɔ	0.349
ˈʊ	ˈo	0.196
ˈʊ	ˈu	0.196
ˈʊ	ˈuː	0.067
ˈʏ	ˈe	0.467
ˈʏ	ˈæːɪ̯	0.268
ˈʏ	ˈə	0.105
ˈʏ	ˈiː	0.064
