Aragonese	Catalan	probability
b	b	1.0
f	f	1.0
k	k	1.0
m	m	1.0
r	r	1.0
u	u	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʧ	ʒ	1.0
e	ə	0.951
ˈe	ˈɛ_w	0.101
β	β	0.691
a	-	0.072
o	u	0.502
w	-	0.062
ɾ	r	0.292
ʎ	ʎ	0.792
d	d	0.943
n	ɲ	0.093
o	ə	0.353
ɣ	-	0.093
ˈe	ˈe	0.313
ˈo	ˈo	0.293
θ	w	0.243
a	ə	0.904
i	i	0.714
t	t	0.884
w	ˈɔ_w	0.244
w	w	0.694
ɾ	-	0.074
ˈu	ˈo	0.194
β	-	0.214
j	j	0.425
o	-	0.145
p	p	0.905
ð	ð	0.945
ʝ	-	0.495
ˈa	-	0.115
ˈa	ˈa	0.885
i	ə	0.286
n	n	0.86
ɾ	ɾ	0.596
ʝ	ʒ	0.236
ˈu	ˈu	0.806
d	-	0.057
t	l_t	0.077
ɣ	ɣ	0.907
ʝ	ð	0.27
ˈe	ˈi	0.087
ˈo	ˈɔ	0.707
θ	-	0.127
j	-	0.518
l	ʎ	0.448
ʎ	l	0.208
ˈe	-	0.058
l	l	0.529
s	s	0.959
ˈe	ˈɛ	0.319
ˈi	ˈi	0.969
θ	s	0.629
