Catalan	Asturian	probability
f	f	1.0
z	s	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ʃ	ʃ	1.0
β	β	1.0
b	b_j	0.141
d	-	0.051
j	-	0.361
t	ʧ	0.211
u	o	0.611
ɡ	-	0.091
ɡ	ɣ	0.1
ˈe	j_ˈe	0.201
ˈi	e_#>	0.091
k	k	0.862
s	s	0.652
t	-	0.192
t	t	0.512
u	u	0.172
w	β_e	0.062
ə	-	0.062
ɲ	-	0.132
ɲ	ɲ_u	0.202
ʎ	ʝ_u	0.072
ʎ	-	0.082
ʎ	ʝ	0.112
ʒ	ʃ	0.902
ˈu	ˈu	0.862
i	e	0.583
k	-	0.053
l	l	0.563
r	ɾ	0.763
w	u	0.223
w	θ	0.3
ɾ	ɾ	0.933
ˈa	ˈa	0.693
ˈi	ˈi	0.413
ˈɔ	w_ˈe	0.433
ˈɛ	j_ˈe	0.273
l	-	0.104
n	n_t	0.24
p	p_j	0.064
ɣ	ɣ	0.854
ˈo	ˈo	0.794
m	m	0.955
s	s_u	0.065
s	θ	0.25
ʎ	ʎ_u	0.055
ʎ	ʎ	0.655
ˈɛ	e	0.085
k	k_u	0.066
l	l_u	0.136
r	r	0.206
w	β	0.056
w	w	0.36
ɣ	-	0.146
ɲ	ɲ	0.666
ˈi	ˈe	0.116
ˈɔ	ˈo	0.526
b	b	0.797
i	i	0.417
l	ʎ	0.197
n	n	0.747
u	e	0.217
ɾ	-	0.067
ˈa	ˈa_ɾ	0.167
ˈi	u_#>	0.277
ˈo	ˈo_ŋ	0.057
p	-	0.068
p	p	0.858
ə	e	0.238
ʒ	ʝ	0.098
ˈa	ˈa_n	0.068
ˈe	ˈe	0.788
ˈu	w_ˈe	0.08
ˈɛ	ˈi	0.078
ˈɛ	ˈe	0.538
d	d	0.949
j	j	0.639
ə	a	0.629
ɡ	ɡ	0.809
ˈo	ˈo_ɾ	0.109
