Spanish	Spanish	probability
β_o_#>	p_#>	1.0
ˈu_β	ˈo	1.0
ˈo_t	j	1.0
ˈe_β	w	1.0
ˈe_ɾ	e_r	1.0
ˈe_ŋ	ˈi	1.0
ʝ_o_#>	l_#>	1.0
ɾ_t	r_t	1.0
ɾ_o	r_u	1.0
ɾ_k	r_k	1.0
ɾ_a	r_ə	1.0
ɾ_#>	r_e_#>	1.0
ɲ_o	m_n	1.0
ɣ_o_#>	k_#>	1.0
ŋ	-	1.0
ð_a	t_ə	1.0
x_o	kʲ	1.0
u	u	1.0
t_e	t_e	1.0
t	t	1.0
s	s	1.0
r	r	1.0
o_s_#>	#>	1.0
o_#>	#>	1.0
n_o_#>	n_#>	1.0
n_#>	n_e_#>	1.0
l_o_#>	r_#>	1.0
k_ɾ	k_r	1.0
k_a	k	1.0
i	-	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
b_ɾ	e	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʃ	1.0
<#_r	<#_r	1.0
<#_o	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
#>	e_#>	1.0
p	p	0.92
ˈu	ˈu	0.857
n	n	0.857
k	k	0.857
m	m	0.85
ð	t	0.824
ʧ	p_t	0.714
a	ə	0.702
ˈa	ˈa	0.7
ɡ	ɡ	0.667
w	ˈo	0.667
o_s	ˈo	0.667
d	d	0.667
<#_a	<#_a	0.667
ˈi	ˈi	0.643
ɣ	k	0.625
ɾ	r	0.622
ˈe_n	ˈi_n	0.6
j	-	0.583
ɲ	n	0.5
ɲ	m_n	0.5
s_#>	j_#>	0.5
s_#>	#>	0.5
l	r	0.5
e	e	0.5
b	v	0.478
ˈe	ˈe	0.477
ˈo	ˈu	0.467
β	-	0.462
w_ˈe	ˈo	0.455
ʝ	-	0.429
ɟ͡ʝ	p_l	0.429
<#	<#_f	0.429
j	j	0.417
ˈe_n	ˈu	0.4
b	b	0.391
θ	ʧ	0.381
ɣ	-	0.375
l	l	0.357
o	u	0.355
ɡ	-	0.333
w	-	0.333
o_s	nʲ	0.333
j_ˈe	ˈi	0.333
d	z	0.333
<#_a	<#	0.333
β	b	0.308
x	k	0.3
x	j	0.3
ʧ	l_t	0.286
ʝ	ʒ	0.286
ʝ	l	0.286
ɟ͡ʝ	ʤ	0.286
ɟ͡ʝ	l	0.286
w_ˈe	ˈu	0.273
w_ˈe	o̯ˈa	0.273
j_ˈe	ˈe	0.25
j_ˈe	j_ˈa	0.25
ˈa	ˈɨ	0.24
θ	ʃ	0.238
ˈo	o̯ˈa	0.233
β	p	0.231
x	s	0.2
x	-	0.2
e	ə	0.2
ˈo	ˈo	0.167
j_ˈe	ˈa	0.167
e	-	0.167
ɾ	-	0.162
o	ə	0.161
m	-	0.15
θ	ʦ	0.143
θ	-	0.143
ˈu	-	0.143
l	d	0.143
k	-	0.143
<#	<#_ʧ	0.143
<#	<#_z	0.143
<#	<#_s	0.143
<#	<#_j	0.143
a	e	0.14
ˈe	e̯ˈa	0.136
b	-	0.13
o	e	0.129
ð	-	0.118
o	w	0.097
o	o	0.097
o	-	0.097
θ	ʤ	0.095
ˈe	ˈi	0.091
ɾ	e_r	0.081
ɾ	e	0.081
p	p_j	0.08
ˈi	ˈɨ	0.071
ˈi	ˈu	0.071
ˈi	r	0.071
ˈi	f_ˈi	0.071
ˈi	-	0.071
n	r	0.071
n	-	0.071
a	ˈa	0.07
ˈe	ˈa	0.068
ˈo	ˈau̯	0.067
ˈo	-	0.067
e	i	0.067
e	f_r	0.067
o	n	0.065
ˈa	-	0.06
ð	ʦʲ	0.059
ɾ	u	0.054
a	a	0.053
