Aragonese	Logudorese	probability
b	b	1.0
f	f	1.0
u	-	1.0
ð	ð	1.0
ɲ	nː	1.0
ʃ	s_k	1.0
ʝ	-	1.0
a	-	0.071
d	d	0.771
m	-	0.061
s	z_ĕ	0.081
ŋ	ŋ	0.131
ɡ	ɡ	0.711
ɣ	ɡ	0.11
j	-	0.632
p	p	0.982
ŋ	-	0.312
ɣ	ɣ	0.682
ʎ	k_r	0.222
θ	ɣ_e	0.272
e	i	0.333
l	ɖː	0.103
w	-	0.283
ɡ	b	0.223
ɾ	e_r	0.063
ʧ	b	0.453
β	p	0.063
a	a	0.824
i	a	0.404
m	i_m	0.064
n	-	0.104
t	-	0.084
ɾ	-	0.134
l	r	0.225
m	m	0.875
o	o	0.135
s	s	0.815
ɾ	r_e	0.285
ɾ	r	0.485
ʎ	ɖː	0.235
ˈa	-	0.075
ˈa	ˈa	0.925
ˈe	e	0.095
ˈi	i	0.055
ˈi	ˈi	0.945
ˈo	ˈu	0.255
ˈo	ˈo	0.745
e	-	0.066
e	e	0.396
l	l_e	0.096
r	r	0.966
t	t	0.916
ŋ	m	0.556
ɡ	-	0.066
ʎ	-	0.266
ˈe	ˈe	0.526
β	-	0.326
e	i_n	0.057
i	e	0.327
k	k	0.937
l	l	0.507
w	e	0.717
ɣ	-	0.207
ʧ	ɡ	0.547
ˈu	ˈu	0.947
e	ˈi	0.068
n	n_e	0.078
o	u	0.818
β	β	0.588
θ	k	0.418
d	-	0.229
i	-	0.269
j	t_e	0.149
j	t	0.219
l	-	0.069
n	n	0.789
ʎ	ʣ	0.249
ˈe	ˈi	0.329
θ	-	0.249
