Québécois French	Québécois French	probability
ʣ	d	1.0
ʒ_#>	#>	1.0
ʏ	ˈyː	1.0
ʊ	ˈu	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_l	l	1.0
ɛ_#>	#>	1.0
ɑɔ̯_ʁ	r	1.0
ɑɔ̯	ˈɔ	1.0
œ̃ʏ̯̃	v_ˈỹ	1.0
œ_ʦ	ʃ	1.0
øʏ̯_#>	#>	1.0
æɛ̯_ʁ	ˈɛ_r	1.0
t_ʁ	s	1.0
s_ɛ	s_ˈɛ	1.0
p	p	1.0
o	ˈɔ_s	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_#>	#>	1.0
i_ʁ	ˈi	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_œ	<#_ˈœ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_ã	<#_ˈa_n	1.0
<#_a	<#_a	1.0
ʁ	r	0.933
ʃ	k	0.905
n	n	0.885
v	v	0.852
ɡ	ɡ	0.846
t	t	0.824
ɒ̃ʊ̯̃	ˈũ	0.818
s	s	0.763
y	ˈyː	0.75
øʏ̯	ˈøː_k	0.6
aœ̯	ˈuː	0.6
w_ɛ	ˈɛ	0.583
l	l	0.56
ʒ	ʒ	0.545
#>	a_#>	0.52
ɔ	u	0.5
ɑ	ˈɑː	0.5
ɑ	-	0.5
z	ʒ	0.5
z	-	0.5
e	ˈa	0.5
<#	<#_u	0.5
<#	<#_ĩ	0.5
a	a	0.478
ɥ	v	0.429
ẽɪ̯̃	ˈã	0.421
øʏ̯	-	0.4
oʊ̯	ˈɛ_l	0.4
ã	ˈẽ	0.4
aœ̯	-	0.4
ɪ	ˈiː	0.385
l	j	0.36
œ	ˈøː	0.333
j	-	0.333
ẽɪ̯̃	ˈĩ	0.316
i	-	0.308
w	ˈeː	0.3
w	-	0.3
ɥ	ˈyː	0.286
ɥ	-	0.286
ʒ	ʤ	0.273
ɛ	ˈɛ	0.267
œ	e	0.267
oʊ̯	ˈa_l	0.267
a	ˈɑː	0.261
æɛ̯	ˈɑː	0.258
æɛ̯	ˈa	0.258
ɔ	ˈɔ	0.25
ɔ	ˈu	0.25
y	-	0.25
w_ɛ	ˈiː	0.25
e	ˈɑː	0.25
e	s	0.25
i	ˈɛ	0.231
u	u	0.222
a	ˈa	0.217
ɛ	s	0.2
ɛ	e	0.2
ɛ	-	0.2
w	ˈi	0.2
w	ˈeː_d	0.2
oʊ̯	-	0.2
ã	ˈã	0.2
s	ʧ	0.184
ʒ	-	0.182
ɒ̃ʊ̯̃	ũ	0.182
t	t_e	0.176
#>	t_#>	0.176
w_ɛ	e	0.167
u	ˈu	0.167
u	-	0.167
j	ˈeː	0.167
j	ˈe	0.167
j	j	0.167
j	a	0.167
ẽɪ̯̃	ɲ	0.158
ɪ	ˈi	0.154
ɪ	ˈeː	0.154
ɪ	j_ˈøː	0.154
ɪ	-	0.154
ɡ	ʤ	0.154
i	ˈiː	0.154
i	ˈi	0.154
i	i	0.154
v	-	0.148
ɛ	a	0.133
œ	ˈuː	0.133
œ	a	0.133
œ	-	0.133
oʊ̯	l	0.133
ã	ˈã_k	0.133
ã	n	0.133
ã	ã	0.133
æɛ̯	e	0.129
u	ˈɔ_l	0.111
u	ˈy	0.111
u	ˈu_l	0.111
u	y	0.111
#>	s_#>	0.108
ẽɪ̯̃	ˈẽ	0.105
æɛ̯	-	0.097
ʃ	-	0.095
l	-	0.08
n	-	0.077
æɛ̯	ˈɑː_d	0.065
æɛ̯	ˈeː	0.065
æɛ̯	a_d	0.065
æɛ̯	a	0.065
#>	l_#>	0.059
s	-	0.053
