Teochew	Teochew	probability
⁵²	²¹	1.0
⁴⁴	⁵⁴	1.0
⁴	⁴²	1.0
ʨʰ	ʦʰ	1.0
ʣ	n	1.0
ʔ_²	²⁴	1.0
ʔ	-	1.0
ɯ	ɔ	1.0
ŋ̍	w_a_ŋ	1.0
¹¹	⁵⁵	1.0
³³	⁵⁴	1.0
²⁴	²¹	1.0
²¹³	³³	1.0
²	²⁴	1.0
ũ	u_j	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
o_ʔ	ɔ	1.0
o_w	u	1.0
o_j	a_j	1.0
n	n	1.0
k̚_²	²⁴	1.0
kʰ	kʰ	1.0
k	k	1.0
i_w	j_u	1.0
i_k̚	i	1.0
h	x	1.0
e_ʔ	a	1.0
b	m	1.0
a_w	e	1.0
a_m	a_ŋ	1.0
<#_ʦ	<#	1.0
<#_ɡ	<#_ŋ	1.0
<#_w	<#_w	1.0
<#_h	<#	1.0
p	p	0.833
ʦʰ	ʦʰ	0.818
ʦ	ʦ	0.75
l	l	0.667
ã	ŋ	0.667
⁵⁵	³³	0.629
w_e	o	0.6
i	i	0.6
a_j	ɛ	0.6
<#	<#_ʦ	0.6
ŋ	ŋ	0.588
m	m	0.571
e	a	0.545
ĩ	i_ŋ	0.5
ĩ	e	0.5
e_k̚	ɛ	0.5
e_k̚	y	0.5
³⁵	⁵⁵	0.444
m	ŋ	0.429
o	a_w	0.417
w_e	y_ɛ	0.4
w	w	0.4
a_j	i	0.4
<#	<#_w	0.4
a	ɔ	0.357
u	y	0.353
³⁵	⁴²	0.333
l	n	0.333
ã	j_ŋ	0.333
ŋ	j_ŋ	0.324
j	j	0.308
w	y	0.3
w	-	0.3
u	u	0.294
⁵⁵	²¹	0.286
e	-	0.273
i	e	0.267
ʦ	s	0.25
o	-	0.25
j	ɛ	0.231
³⁵	-	0.222
a	a	0.214
ʦʰ	s	0.182
e	w	0.182
a	ɛ	0.179
a	-	0.179
u	ɔ	0.176
u	-	0.176
p	pʰ	0.167
o	y	0.167
o	u	0.167
j	j_a	0.154
j	i	0.154
j	-	0.154
i	-	0.133
ŋ	ɥ_ŋ	0.088
⁵⁵	ŋ_³³	0.086
a	w	0.071
