Dutch	German	probability
#>	#>	0.894
#>	ə_#>	0.106
<#	<#	1.0
b	b	1.0
d	d	0.407
d	tʰ	0.394
d	t	0.151
f	p	0.506
f	f	0.407
j	j	1.0
k	kʰ	0.417
k	ç	0.257
k	k	0.197
k	x	0.122
m	m	0.989
n	n	0.943
n	-	0.051
p	f	0.723
p	p͡f	0.197
p	p	0.077
s	ʃ	0.477
s	s	0.387
s	z	0.081
s_χ	ʃ	1.0
t	t	0.591
t	s	0.19
t	ʦ	0.159
v	f	0.946
v	b	0.055
v_ə	b	1.0
w	-	0.326
w	ˈɔʏ̯	0.326
z	z	0.679
z	ʃ	0.246
z	ʁ	0.057
ŋ	ŋ	0.839
ŋ	ç	0.156
ə	ə	0.511
ə	-	0.426
ə_f	f	1.0
ɦ	h	0.985
ɪ	ɪ	1.0
ɫ	l	0.994
ɾ	ɐ	0.624
ɾ	ʁ	0.354
ʋ	v	1.0
ˈaː	ˈaː	0.527
ˈaː	ˈa	0.204
ˈaː	ˈɛː	0.082
ˈaː	ˈɛ	0.062
ˈeː	ˈaɪ̯	0.376
ˈeː	ˈeː	0.315
ˈeː	ˈɛ	0.129
ˈeː	ˈɛː	0.055
ˈi	ˈiː	0.589
ˈi	ˈeː	0.216
ˈi	ˈaɪ̯	0.066
ˈi	-	0.064
ˈi	ˈɔʏ̯	0.064
ˈoː	ˈoː	0.372
ˈoː	ˈaʊ̯	0.213
ˈoː	ˈɔ	0.171
ˈoː	ˈøː	0.136
ˈu	ˈuː	0.689
ˈu	ˈyː	0.219
ˈu	ˈʊ	0.073
ˈyː	ˈɔʏ̯	0.495
ˈøː	ˈaː	0.495
ˈœy̯	ˈaʊ̯	0.677
ˈœy̯	ˈɔʏ̯	0.273
ˈɑ	ˈa	0.764
ˈɑ	ˈaː	0.151
ˈɑ	ˈɛ	0.083
ˈɑu̯	ˈa_l	0.549
ˈɑu̯	ˈɔ	0.175
ˈɑu̯	ˈaʊ̯	0.165
ˈɔ	ˈɔ	0.469
ˈɔ	ˈʊ	0.464
ˈɛ	ˈɛ	0.484
ˈɛ	ˈɪ	0.228
ˈɛ	ˈaː	0.092
ˈɛ	ˈeː	0.069
ˈɛ	ˈʏ	0.059
ˈɛ	ˈa	0.058
ˈɛi̯	ˈaɪ̯	0.738
ˈɛi̯	ˈiː	0.126
ˈɛi̯	ˈʏ	0.073
ˈɛi̯	ˈɪ	0.06
ˈɪ	ˈɪ	0.864
ˈɪ	ˈaɪ̯	0.086
ˈʏ	ˈʏ	0.627
ˈʏ	ˈɛ	0.209
ˈʏ	ˈœ	0.136
χ	ɡ	0.508
χ	k	0.195
χ	x	0.135
χ	ç	0.12
