Dutch	German	probability
b	b	1.0
d	d	0.413
d	tʰ	0.394
d	t	0.147
d	-	0.032
d	ʦ	0.032
f	p	0.5
f	f	0.461
f	p͡f	0.039
j	j	1.0
k	kʰ	0.411
k	ç	0.27
k	k	0.2
k	x	0.114
l	l	1.0
m	m	0.99
m	n	0.033
n	n	0.946
n	-	0.053
p	f	0.711
p	p͡f	0.207
p	p	0.063
s	ʃ	0.464
s	s	0.393
s	z	0.086
s	k_s	0.047
s_χ	ʃ	1.0
t	t	0.606
t	s	0.183
t	ʦ	0.153
t	-	0.04
v	f	0.84
v	b	0.158
w	-	0.284
w	ˈɔʏ̯	0.284
z	z	0.708
z	ʃ	0.242
z	ʁ	0.05
ŋ	ŋ	0.851
ŋ	ç	0.142
ə	ə	0.481
ə	-	0.447
ə	ɪ	0.049
ɦ	h	0.985
ɦ	-	0.035
ɪ	ɪ	1.0
ɫ	l	1.0
ɾ	ɐ	0.622
ɾ	ʁ	0.356
ɾ	-	0.032
ʋ	v	1.0
ˈaː	ˈaː	0.494
ˈaː	ˈa	0.195
ˈaː	ˈɛ	0.103
ˈaː	ˈɛː	0.08
ˈaː	ˈœ	0.052
ˈeː	ˈaɪ̯	0.376
ˈeː	ˈeː	0.256
ˈeː	ˈɛ	0.136
ˈeː	ˈɛː	0.058
ˈeː	ˈiː	0.058
ˈi	ˈiː	0.563
ˈi	ˈeː	0.221
ˈi	ˈɔʏ̯	0.08
ˈi	ˈaɪ̯	0.067
ˈi	-	0.066
ˈoː	ˈoː	0.341
ˈoː	ˈaʊ̯	0.23
ˈoː	ˈɔ	0.179
ˈoː	ˈøː	0.124
ˈoː	ˈyː	0.04
ˈu	ˈuː	0.688
ˈu	ˈyː	0.243
ˈu	ˈʊ	0.056
ˈyː	ˈɔʏ̯	0.494
ˈøː	ˈaː	1.0
ˈœy̯	ˈaʊ̯	0.746
ˈœy̯	ˈɔʏ̯	0.245
ˈɑ	ˈa	0.751
ˈɑ	ˈaː	0.155
ˈɑ	ˈɛ	0.088
ˈɑu̯	ˈa_l	0.608
ˈɑu̯	l	0.194
ˈɑu̯	ˈaʊ̯	0.073
ˈɔ	ˈɔ	0.478
ˈɔ	ˈʊ	0.445
ˈɔ	ˈʏ	0.05
ˈɔ	ˈaʊ̯	0.038
ˈɛ	ˈɛ	0.476
ˈɛ	ˈɪ	0.244
ˈɛ	ˈaː	0.079
ˈɛ	ˈa	0.069
ˈɛ	ˈeː	0.069
ˈɛi̯	ˈaɪ̯	0.742
ˈɛi̯	ˈiː	0.134
ˈɛi̯	ˈɪ	0.067
ˈɛi̯	ˈʏ	0.058
ˈɪ	ˈɪ	0.84
ˈɪ	ˈaɪ̯	0.099
ˈɪ	ˈa	0.05
ˈɪ	ˈiː	0.034
ˈʏ	ˈʏ	0.727
ˈʏ	ˈœ	0.149
ˈʏ	ˈɛ	0.063
χ	ɡ	0.496
χ	k	0.198
χ	ç	0.129
χ	x	0.11
χ	-	0.046
