North Frisian	Westphalian	probability
ˈʏ	ˈʏ	1.0
ˈɛ	ˈøː	1.0
ˈɔ	-	1.0
ˈɒ	ˈa	1.0
ˈøː	ˈuː	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaː	ˈuə̯	1.0
ˈai̯	ˈɪ	1.0
ɡ	x	1.0
ə_v	ʋ	1.0
ə_r	ɐ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
x	x	1.0
w	ɣ	1.0
tʲ	t	1.0
r_s	s	1.0
p	p	1.0
n_ə	n	1.0
n_t	n_t	1.0
m	m	1.0
k_ə	k	1.0
k	k	1.0
j_ə	ɡ	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
dʲ	d	1.0
d_ə	ɡ_n	1.0
b	b	1.0
<#_ˈeː	<#_ˈa	1.0
<#_t	<#_d	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
l	l	0.953
t	t	0.941
n	n	0.923
v	v	0.821
d	d	0.8
ə	n	0.694
ˈɛː	ˈɪɛ̯	0.667
s	s	0.659
ˈʊ	ˈʊ	0.625
ˈɛi̯	ˈɔː	0.6
ˈɒː	ˈa	0.6
i	ɪ	0.6
#>	ç_#>	0.6
ˈuː	ˈaʊ̯	0.583
ˈiː	ˈaɪ̯	0.579
ˈeː	ˈɛ	0.571
nʲ	n	0.571
r	r	0.543
ˈi	ˈiː	0.529
ʃ	ʃ	0.529
ˈɔu̯	ˈɔː	0.5
ˈɔu̯	ˈeː	0.5
z	z	0.5
z	t	0.5
lʲ	l_t	0.5
lʲ	l	0.5
ˈi	ˈɪ	0.471
ˈœ	ˈa	0.455
ˈɔː	ˈɔ	0.429
ˈeː	ˈiː	0.429
nʲ	n_d	0.429
ˈyː	ˈuː	0.417
ˈyː	ˈaʊ̯	0.417
ˈɛi̯	ˈøː	0.4
ˈɒː	ˈaː	0.4
i	-	0.4
#>	ˈaɪ̯_#>	0.4
ˈa	ˈɪ	0.385
ˈœ	ˈoː	0.364
ˈɛː	ˈɔː	0.333
j	ç	0.333
j	x	0.333
j	-	0.333
ʃ	ʃ_k	0.294
s	ʃ	0.293
ˈɔː	ˈɪə̯	0.286
ˈɔː	ˈa	0.286
r	ɐ	0.286
ˈiː	ˈeː	0.263
ˈuː	ˈa	0.25
d	t	0.2
ˈœ	-	0.182
v	ʋ	0.179
ʃ	k	0.176
ˈyː	ˈʊ	0.167
ˈuː	ˈeː	0.167
ə	-	0.167
ˈiː	ˈiː	0.158
ˈa	ˈʊ	0.154
ˈa	ˈɛ	0.154
ˈa	ˈa	0.154
ˈa	-	0.154
ə	ə	0.139
ˈʊ	ˈɪ	0.125
ˈʊ	ˈɛ	0.125
ˈʊ	ˈa	0.125
n	-	0.077
t	-	0.059
r	ˈɪɛ̯	0.057
r	ˈuːə̯	0.057
r	-	0.057
