Brazilian Portuguese	Asturian	probability
ẽ	e	1.0
f	f	1.0
ĩ	i	1.0
k	k	1.0
m	m	1.0
o	o	1.0
ɦ	ɾ	1.0
ɾ	ɾ	1.0
ʎ	ʝ	1.0
ˈa	ˈa	1.0
h	r	0.171
i	e	0.81
u	o	0.061
ʤ	-	0.231
ˈõ	ˈo_n	0.341
b	β	0.512
i	i	0.182
j̃	ɲ	0.312
z	s	0.092
ɡ	-	0.212
ɡ	ɣ	0.502
ʧ	n_t	0.302
ˈẽ	j_ˈe	0.722
ˈu	ˈu	0.892
a	a	0.963
j̃	ŋ	0.133
l	l	0.123
v	β	0.473
ʃ	s	0.503
ʒ	ʃ	0.923
ʤ	ð	0.3
ʧ	t	0.53
ˈi	ˈe	0.203
ˈĩ	ˈi	0.943
ˈũ	ˈu	0.973
ˈɐ̃	ˈo	0.053
ˈɔ	ˈo	0.683
ˈɛ	ˈe	0.113
d	d	0.394
e	e	0.904
n	ɲ	0.134
s	s	0.564
t	n_t	0.334
w̃	u	0.214
ɐ	a	0.94
ɡ	ɡ	0.274
l	ʎ	0.765
w	w	0.175
w	l	0.775
ʃ	ʎ	0.175
d	ð	0.606
j	ˈe	0.146
j̃	n	0.556
n	n	0.866
p	p	0.996
s	θ	0.436
w̃	ŋ	0.786
ɐ	n_a	0.06
ʃ	ʃ	0.056
ˈo	ˈo	0.426
b	b	0.467
j	-	0.157
j	j	0.657
l	<#_ɡ	0.077
v	b	0.527
ʃ	θ	0.267
ʒ	ʝ	0.077
ʤ	d	0.47
ˈi	ˈi	0.797
ˈĩ	ˈi_ŋ	0.057
ˈo	w_ˈe	0.387
ˈɐ̃	ˈa_n	0.177
ˈɐ̃	ˈa	0.77
ˈɔ	w_ˈe	0.317
ˈɛ	j_ˈe	0.887
e	e_l	0.058
t	ʧ	0.058
t	t	0.608
z	θ	0.908
ˈẽ	ˈe	0.278
ˈo	w	0.188
ˈu	ˈo	0.108
h	ɾ	0.829
u	u	0.939
ʧ	ʧ	0.169
ˈe	ˈe	0.969
ˈõ	ˈo	0.659
