Piedmontese	Ligurian	probability
a	a	0.906
a	-	0.073
b	b	0.663
b	ʤ	0.189
b	-	0.132
d	d	0.717
d	-	0.239
dː	d	1.0
e	e	0.597
e	-	0.135
e	ˈiː	0.119
e	j	0.113
f	f	0.878
f	ʃ	0.057
f	v	0.057
i	i	0.537
i	u	0.278
i	ˈeː	0.076
i	-	0.06
j	-	0.459
j	j	0.307
j	ʤ_u	0.142
k	k	0.898
k	ɡ	0.079
l	l	0.865
l	u	0.09
m	m	0.842
m	e_m	0.075
n	n	0.722
n	ŋ	0.278
p	p	0.886
p	ʧ	0.114
r	r	0.729
r	u	0.123
r	-	0.099
s	s	0.68
s	ʒ	0.136
s	ʃ	0.076
s	-	0.056
t	t	0.923
t	-	0.062
u	u	0.538
u	w	0.214
u	ˈa	0.065
v	v	0.887
v	-	0.089
w	w	0.543
w	-	0.194
w	u	0.147
w	o	0.069
y	y	1.0
z	ʒ	0.565
z	z	0.435
ŋ	ŋ	0.949
ə	e	0.557
ə	-	0.368
ə	ˈe	0.075
ɡ	ɡ	1.0
ɲ	ɲ	0.99
ʤ	z	0.475
ʤ	ʤ	0.46
ʤ	-	0.065
ʧ	ʧ	0.716
ʧ	s	0.284
ˈa	ˈa	0.523
ˈa	ˈaː	0.295
ˈa	ˈɛː	0.149
ˈe	ˈaː	0.348
ˈe	ˈe	0.286
ˈe	ˈeː	0.125
ˈe	e	0.088
ˈe	ˈi	0.065
ˈi	ˈi	0.549
ˈi	ˈiː	0.15
ˈi	-	0.142
ˈi	ˈe	0.073
ˈi	e	0.069
ˈu	ˈu	0.473
ˈu	ˈuː	0.236
ˈu	w	0.196
ˈu	ˈy	0.051
ˈy	ˈy	0.516
ˈy	ˈyː	0.31
ˈy	j	0.111
ˈy	ˈuː	0.063
ˈø	ˈøː	0.614
ˈø	ˈø	0.217
ˈø	u	0.119
ˈɔ	ˈɔː	0.462
ˈɔ	ˈɔ	0.272
ˈɔ	ˈu	0.065
ˈɔ	u	0.053
ˈɔ	ˈø	0.05
ˈə	ˈe	1.0
ˈɛ	ˈe	0.58
ˈɛ	ˈɛː	0.168
ˈɛ	ˈeː	0.085
ˈɛ	ˈɛ	0.052
