Scots	Scots	probability
ˈʌu̯	ˈiː	1.0
ˈʌ_n	n	1.0
ˈʌ	ˈu	1.0
ˈɛː	ˈæː_j	1.0
ˈøː	ˈʊː	1.0
ˈoː	ˈɒː	1.0
ˈaːɪ̯	ˈi_n	1.0
ʧ	kʰ	1.0
ʤ	k	1.0
ʍ	ʋ	1.0
ʃ	ʃ	1.0
ɛ	ə	1.0
ŋ	ŋ	1.0
z	z̥	1.0
x	x	1.0
v	e	1.0
tʰ	ʦ	1.0
s_t	ʃ_t	1.0
r_n	ʁ_n	1.0
r	ʁ	1.0
p_#>	f_#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
e	i	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
f	f	0.905
n	n	0.9
w	ʋ	0.889
ə	ə	0.826
θ	d̥	0.75
ɡ	ɡ̊	0.75
p	f_ə	0.75
ˈəi̯	ˈiː	0.7
ˈu	ˈyː	0.7
i	i	0.667
ç	x	0.6
ˈo	ˈo	0.571
s	s	0.552
ˈɑː	ˈɒ	0.5
ˈø	ˈʊː	0.5
ˈø	-	0.5
ˈuː	ˈo_l	0.5
ˈuː	-	0.5
ˈa	ˈɒ	0.5
ˈa	ˈe	0.5
ð	t	0.5
ð	d̥	0.5
d	t	0.5
d	d̥	0.5
#>	n_#>	0.5
ˈɪ	ˈi	0.45
ˈo	-	0.429
t	s	0.429
ç	ʃ	0.4
ˈe	ˈəi̯	0.385
k	ʃ	0.364
ˈɛ	-	0.357
i	eː	0.333
ˈe	ˈɒ	0.308
ˈəi̯	-	0.3
ˈeː	ˈɒː	0.3
ˈeː	-	0.3
ˈɑː	-	0.286
k	k	0.273
θ	t	0.25
ɡ	-	0.25
p	p͡f	0.25
#>	l_#>	0.25
#>	f_#>	0.25
s	z̥	0.241
ˈi	ˈoː	0.235
ˈi	ˈiː	0.235
ˈi	-	0.235
ˈɛ	ˈəi̯	0.214
ˈɛ	ˈe	0.214
ˈɑː	ˈɒ_l	0.214
ˈiː	ˈei̯	0.214
t	ʦ	0.214
t	t	0.214
ˈu	ˈi	0.2
ˈeː	ˈɒ	0.2
ˈeː	ˈoː	0.2
k	i_ʃ	0.182
k	-	0.182
ˈi	ˈʊː	0.176
ˈɪ	ˈu	0.175
ə	-	0.174
ˈe	ˈoː	0.154
ˈe	ˈei̯	0.154
ˈɛ	ˈeː	0.143
ˈiː	ˈæː	0.143
ˈiː	ˈoː	0.143
ˈiː	ˈeː	0.143
ˈiː	j	0.143
ˈiː	-	0.143
t	s_ə	0.143
ˈɪ	-	0.125
ˈi	ˈi	0.118
w	-	0.111
s	ʃ_w	0.103
s	ʃ	0.103
ˈu	ˈø	0.1
f	-	0.095
ˈɪ	ˈɒ	0.075
ˈɪ	ˈiː	0.075
ˈɛ	ˈɛ	0.071
ˈiː	ˈai̯	0.071
