Hoisanese	Hoisanese	probability
ᵑɡ	nʲ	1.0
ᵐb_u	u	1.0
ᵐb	m	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɛ	a	1.0
ŋ	ŋ	1.0
³³_#>	⁵_#>	1.0
²¹	²¹³	1.0
²	²¹³	1.0
v	w	1.0
t̚	t̚	1.0
t	ʦ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m̩	ŋ̍	1.0
m	n	1.0
l	l	1.0
kʰ	ʨʰ	1.0
j_³³	²¹³	1.0
j_a	ɔ	1.0
h_w	kʰ	1.0
a_j	i	1.0
<#_w	<#_ŋ	1.0
<#_j_i	<#_i	1.0
³³	⁴²	0.81
f	f	0.8
k̚	ʔ	0.769
a	a	0.758
w	w	0.739
ɔ	ɔ	0.667
<#_ᵑɡ	<#	0.667
⁵⁵	²¹³	0.647
²²	³⁵	0.633
ɬ	ɕ	0.625
j	j	0.6
e_j	i	0.6
<#	<#_tʰ	0.6
ɵ	u	0.583
ɔ_j	j	0.571
tʰ	ʨʰ	0.571
i	i	0.545
³²	¹¹	0.526
ⁿd	nʲ	0.5
ⁿd	l	0.5
w_ɔ	ɵ	0.5
w_ɔ	o	0.5
u_j	y	0.5
u_j	j_e	0.5
k	ʨ	0.5
k	k	0.5
ɔ_j	a_j	0.429
tʰ	ʦʰ	0.429
ɵ	j_u	0.417
j	-	0.4
e_j	z̩	0.4
<#	<#_t	0.4
ɬ	s	0.375
²²	²⁴	0.367
u	u	0.357
⁵⁵	⁵	0.353
h	tʰ	0.353
<#_ᵑɡ	<#_ŋ	0.333
³²	⁵	0.316
e	j_ɛ	0.308
e	i	0.308
h	h	0.294
u	ɥ_ɵ	0.286
i	-	0.273
a	ɛ	0.242
k̚	t̚	0.231
e	ɛ	0.231
u	ɨ	0.214
f	kʰ	0.2
i	ɨ	0.182
w	a	0.174
ɔ	ɵ	0.167
ɔ	-	0.167
³²	²	0.158
e	ɵ	0.154
u	z̩	0.143
³³	²¹³	0.119
h	ʨʰ	0.118
h	kʰ	0.118
h	-	0.118
w	-	0.087
³³	³⁵	0.071
