Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈʊ_n	ˈʏ	1.0
ˈɪ_l	ˈi_l	1.0
ˈɛɪ̯	s_ˈɛi̯	1.0
ˈɛ_l	l	1.0
ˈœ	ˈeː	1.0
ˈøː	ˈi	1.0
ˈyː	-	1.0
ˈoː_æ	ʀ	1.0
ˈiː_#>	ˈɛ_#>	1.0
ˈeː	ˈiː	1.0
ˈaɪ̯	-	1.0
ˈae̯_#>	#>	1.0
ʃ_l	s_l	1.0
ɾ	d_ə	1.0
ɪ_ç	i	1.0
ɪ	i	1.0
ɣ̊	j	1.0
ɣ	j_ə	1.0
ɡ̊	-	1.0
æ_n	ʀ_n	1.0
z̥_#>	s_#>	1.0
x	x	1.0
w	v	1.0
v̥	v̥	1.0
v_ˈʊ	ˈʊ	1.0
v	v	1.0
tʰ	t	1.0
t_n	z_ə	1.0
p	p	1.0
n_n	n_ə	1.0
n_d̥	nʲ	1.0
l_ˈɪ	l_ˈa	1.0
l_d̥	lʲ	1.0
kʰ	k	1.0
k	k	1.0
j	ɡ	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_n	dʲ_ə	1.0
ae̯	ɛi̯	1.0
<#_r	<#_ʀ	1.0
<#_kʰ	<#	1.0
<#_j	<#	1.0
<#_d	<#	1.0
l	l	0.909
b	b	0.909
z	s	0.905
ŋ	ŋ	0.833
r	ʀ	0.789
ˈae̯	ˈiː	0.783
ˈʊ	ˈʊ	0.778
s	s	0.75
ˈiː	ˈi	0.714
t	t	0.711
d	d	0.625
ʃ	ʃ	0.609
ˈɛː	ˈɛː	0.6
m	m	0.581
ɡ	ɡ	0.571
n	n	0.567
ˈɔ	-	0.556
æ	ʀ	0.538
ˈɔʏ̯	ˈɛ	0.5
d̥	d̥	0.5
æ	ə_ʀ	0.462
ˈaː	ʀ	0.444
ˈɛ	ˈeː	0.429
ˈɛː	-	0.4
ʃ	s	0.391
d	t	0.375
ˈuː	ˈʏ	0.368
ç	ç	0.364
ˈɪ	ˈi	0.333
ˈœː	ˈɔː	0.333
ˈœː	ˈaː	0.333
ˈœː	-	0.333
ˈaː	ˈa_ʀ	0.333
d̥	dʲ	0.312
ˈɛ	ˈʊ	0.286
ˈɛ	ˈɒ	0.286
ˈiː	-	0.286
ˈaʊ̯	ˈœ	0.286
ɡ	j	0.286
n	ə	0.283
ˈʏ	ˈʏ	0.273
ˈʏ	ˈeː	0.273
ˈʏ	ˈa	0.273
ç	x	0.273
ˈɔʏ̯	ˈɛi̯	0.25
ˈɔʏ̯	-	0.25
ˈɒː	-	0.25
ˈa	ˈɒ	0.25
s	ʀ_s	0.25
ˈɪ	ˈa	0.238
ˈaʊ̯	ˈuː	0.238
t	tʲ	0.237
ˈʊ	-	0.222
ˈɔ	ˈɔː	0.222
ˈɔ	ˈœ	0.222
ˈaː	ˈɒː	0.222
ˈuː	ˈɔ	0.211
ˈɪ	-	0.19
ˈaʊ̯	ˈyː	0.19
ˈaʊ̯	-	0.19
ˈɒː	ˈɛi̯	0.188
ˈɒː	ˈɔu̯	0.188
d̥	z̥	0.188
ˈʏ	ˈʊ	0.182
ç	ŋ	0.182
ç	-	0.182
ˈae̯	-	0.174
ˈa	ˈœ	0.167
ˈa	-	0.167
ŋ	d_ə	0.167
ˈuː	ˈœː	0.158
ˈuː	ˈuː	0.158
ˈɪ	ˈʊ	0.143
ɡ	ə	0.143
m	ə	0.129
m	v_ə	0.129
ˈɒː	ˈɒː	0.125
ˈɒː	m	0.125
ˈɒː	j	0.125
ˈa	ˈuː	0.125
ˈa	ˈeː	0.125
ˈuː	-	0.105
r	ʀ_ˈɛ	0.105
r	ʀ_ˈiː	0.105
m	m_ə	0.097
ˈɪ	ˈai̯	0.095
ˈaʊ̯	ˈœi̯	0.095
z	-	0.095
l	l_ə	0.091
b	-	0.091
ˈa	ˈɔː	0.083
ˈa	ˈɒː	0.083
n	nʲ	0.067
m	-	0.065
t	d	0.053
