Ligurian	Ligurian	probability
ˈɛ	ˈɛ	1.0
ˈɔ	w_ˈe	1.0
ˈø	ɥ_ˈe	1.0
ˈyː	ˈy	1.0
ˈu_s	ˈu_s	1.0
ˈiː_#>	ˈi_#>	1.0
ˈe_j	ˈe	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː	ˈa	1.0
ˈa_s	ˈa	1.0
ʤ_u	j	1.0
ʤ_a	j_ɔ	1.0
ʒ_e_#>	s_#>	1.0
ʃ	j_s	1.0
ɥ	a_d	1.0
ɡ_u	k	1.0
ŋ_t	ŋ	1.0
ŋ_a	n_ɔ	1.0
y	y	1.0
w_ˈiː	ˈu	1.0
v_u	w	1.0
v_e	w	1.0
sː	-	1.0
r_t	ˈe_ʀ	1.0
r_s	ʀ_s	1.0
r_p	ˈe	1.0
r_n	ʀ	1.0
r_b	w_b	1.0
p_ˈe	p_ˈe	1.0
o	-	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l_u	w	1.0
l	l	1.0
k_r	k_ɾ	1.0
k	k	1.0
j_ˈaː	ˈa_w	1.0
j_a	ɾ_ɔ	1.0
f	f	1.0
e_m	mː	1.0
e_#>	#>	1.0
b	b	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ʒ	<#_v	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔː	<#	1.0
<#_z	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
p	p	0.935
ŋ	ŋ	0.881
ɡ	ɡ	0.8
u_#>	#>	0.792
ˈuː	ˈu	0.786
v	v	0.774
a	ɔ	0.754
ɲ	ɲ	0.75
s	s	0.745
e	e	0.731
ˈøː	w_ˈe	0.727
d	-	0.727
ˈiː	ˈi	0.714
r	ɾ	0.69
w	-	0.688
ʒ	z	0.667
s_e	s_e	0.667
t	t	0.594
n	n	0.545
ˈa	ˈã	0.531
ˈi	ˈi	0.529
ˈeː	ˈɛ	0.5
z	-	0.5
ˈa	ˈa	0.469
ʤ	ʤ	0.462
ˈy	ˈỹ	0.444
u	e	0.433
ʧ	p_l	0.429
i	e	0.429
ˈu	ˈũ	0.409
ˈɔː	w_ˈe	0.364
ˈɔː	w	0.364
ˈy	ˈy	0.333
ʒ	s	0.333
s_e	s	0.333
ˈe	ˈɛ	0.323
ˈe	ˈẽ	0.323
#>	e_#>	0.32
ˈu	ˈu	0.318
ˈɛː	ˈa	0.312
r	ʀ	0.31
ˈi	ˈĩ	0.294
ˈe	ˈe	0.29
ˈiː	j_ˈe	0.286
ʧ	k_l	0.286
ʧ	-	0.286
i	i	0.286
t	-	0.281
ˈɔː	ˈa_w	0.273
ˈøː	ɥ_ˈɔ	0.273
n	ŋ	0.273
d	d	0.273
ˈɛː	ˈɛ	0.25
ɲ	n	0.25
z	ʤ	0.25
z	z	0.25
j	i	0.25
#>	w_#>	0.24
ʤ	-	0.231
v	b	0.226
ˈy	ˈu	0.222
ˈuː	-	0.214
i	-	0.214
ɡ	ʤ	0.2
u	-	0.2
#>	s_#>	0.2
e	-	0.192
ˈɛː	j_ɾ	0.188
w	u	0.188
j	ɾ	0.188
j	e	0.188
ˈu	w_ˈẽ	0.182
n	ŋ_d	0.182
a	a	0.18
ˈi	-	0.176
s	e_s	0.17
u	u	0.167
ʤ	l	0.154
ʤ	b_l	0.154
ˈeː	j_ˈe	0.15
ˈeː	e	0.15
u_#>	w_#>	0.146
ˈɛː	e	0.125
ˈɛː	-	0.125
w	ˈa	0.125
t	ʧ	0.125
j	w	0.125
j	j	0.125
j	-	0.125
#>	ɔ_#>	0.12
#>	j_#>	0.12
ˈeː	ˈe	0.1
ˈeː	j	0.1
u	ɔ	0.1
ˈu	w	0.091
e	ɔ	0.077
ŋ	-	0.071
i	ĩ	0.071
u	ˈe	0.067
ˈe	j_ˈe	0.065
p	-	0.065
u_#>	ʀ_#>	0.062
