Old High German	Old English	probability
ˈɑ_n	ˈoː	1.0
ˈɑ_h	ˈæːɑ̯	1.0
ˈio̯	ˈeːo̯	1.0
ˈie̯	ˈeː	1.0
ˈi_r	ˈeː	1.0
ˈeː	ˈɑː_w	1.0
ˈe	ˈe	1.0
ʦː	tː	1.0
ʦ	t	1.0
ɡ_ɑ	j	1.0
ɡ_r	ɡ_r	1.0
ɛ_h	iːy̯	1.0
ɛ	o	1.0
ə	ɑ	1.0
ŋ	ŋ	1.0
v	w	1.0
u	-	1.0
tː	dː	1.0
t_r	d_r	1.0
s̻ː_ɑ	t_ɑ	1.0
s̻ː	t	1.0
s̻	t	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s_k	ʃ	1.0
rː	rː	1.0
r_ɡ	r_ɣ̊	1.0
r_n	r_n	1.0
p͡f	p	1.0
p	p	1.0
oː	i_ɑ	1.0
ou̯	ˈæːɑ̯	1.0
o	a	1.0
nː	nː	1.0
mː	mː	1.0
lː	ɫː	1.0
l_d	ɫ_d	1.0
kː_ɑ	ʤ	1.0
j	j	1.0
fː	p	1.0
f_ɑ	p_ɑ	1.0
eː	ɑ	1.0
e	ɑ	1.0
b_ɑ	v_ɑ	1.0
n	n	0.977
r	r	0.966
w	w	0.941
m	m	0.92
ˈuː	ˈuː	0.882
s	s	0.854
t	d	0.849
ˈi	ˈi	0.836
xː	ʧ	0.834
ˈiː	ˈiː	0.822
f	f	0.811
h	h	0.803
ˈei̯	ˈɑː	0.787
d	θ	0.775
b	b	0.763
ˈou̯	ˈæːɑ̯	0.701
kʰ	k	0.685
ˈoː	ˈæːɑ̯	0.676
i	e	0.656
ˈo	ˈo	0.641
l	l	0.633
ˈuo̯	ˈoː	0.612
r_i	r_e	0.565
k	-	0.529
ˈu	ˈu	0.5
k	k	0.471
x	k	0.465
ˈɛ	ˈeo̯	0.454
kː	kː	0.45
r_i	r	0.435
ˈɑ	ˈɑ	0.395
ˈuo̯	ˈeː	0.388
ˈɑː	ˈæː	0.387
ɡ	ɡ	0.387
ˈiu̯	ˈeːo̯	0.371
ˈiu̯	-	0.354
l	ɫ	0.33
ˈoː	ˈiːy̯	0.324
ɑ	e	0.323
kː	-	0.32
kʰ	ʧ	0.315
ˈɛ	ˈe	0.308
ɑ	ɑ	0.307
ˈu	ˈy	0.303
ˈou̯	-	0.299
ˈo	ˈu	0.286
ˈiu̯	ˈiːy̯	0.274
x	x	0.271
ˈɑ	ˈæɑ̯	0.27
x	ç	0.265
ˈɑː	-	0.251
ɑ	-	0.251
ˈɑː	ˈoː	0.248
kː	ʧː	0.231
ɡ	ɣ	0.229
ɡ	j	0.226
ˈei̯	-	0.213
ˈɑ	ˈæ	0.206
b	v	0.203
h	-	0.197
ˈiː	ˈeːo̯	0.178
d	ð	0.175
xː	xː	0.166
i	-	0.16
t	t	0.151
i	i	0.151
s	z	0.146
ˈɛ	-	0.134
ˈu	ˈo	0.133
f	p	0.121
ˈi	-	0.12
ˈuː	ˈyː	0.118
ˈɑː	ˈiːy̯	0.115
ɡ	ʤː	0.107
ˈɛ	ˈi	0.105
ɑ	o	0.1
m	-	0.08
ˈo	-	0.073
ˈɑ	-	0.068
f	v	0.068
ˈu	-	0.063
w	-	0.059
ɡ	ɣ̊	0.051
d	d	0.05
