Slovenian	Proto-Balto-Slavic	probability
ʦ	k	1.0
ʒ	ɡ	1.0
ʋ	w	1.0
ɡ̊	ɡ_a	1.0
ɡ	ɡ	1.0
ɛ_̀	ɛ	1.0
ɛ	e	1.0
ə_k	u	1.0
z̥	zʲ	1.0
uː_́	au̯	1.0
uː	au̯	1.0
u	j_au̯	1.0
s_ə	sʲ	1.0
p	p	1.0
m	m	1.0
l	l	1.0
eː_́	e	1.0
eː_̀	ai̯	1.0
d_ə	n	1.0
d	d	1.0
b̥	m_b	1.0
b	b	1.0
aː_̀	ˀ	1.0
z	zʲ	0.938
t	t	0.804
a	aː	0.804
k	k	0.754
oː	a	0.745
r	r	0.744
n	n	0.74
ɔː_̀	a	0.725
ə	i	0.657
ɛː	e	0.617
ɔ	a	0.608
w	l	0.595
x	ʃ	0.564
d̥	d_a	0.557
ɔː	a	0.543
́	́	0.512
i	uː	0.508
e	e	0.5
e	-	0.5
i	ei̯	0.492
ɔː	i	0.457
iː	uː	0.457
d̥	s	0.443
j	-	0.422
aː	aː	0.419
ɔ	-	0.392
s	s	0.385
ɛː	-	0.383
̀	́	0.367
eː	e	0.336
aː	oː	0.318
s	-	0.314
s	sʲ	0.301
̀	-	0.3
j	j	0.292
j	eː	0.286
eː	-	0.281
ɔː_̀	́	0.275
aː	a	0.263
x	a	0.257
k	k_a	0.246
w	l_a	0.24
̀	́ˀ	0.233
ə	-	0.227
iː	ei̯	0.206
eː	eː	0.199
a	-	0.196
eː	ai̯	0.184
x	ʃ_a	0.178
iː	-	0.173
w	i	0.165
iː	iː	0.164
́	-	0.163
́	́ˀ	0.14
́	ˀ	0.14
n	n_a	0.13
n	a	0.13
oː	a_n	0.129
oː	a_ŋ	0.126
ə	l	0.116
̀	ˀ	0.1
r	-	0.095
r	r_a	0.082
r	s	0.078
t	n	0.072
t	m_t	0.066
z	z	0.062
t	n_t	0.058
