Gascon	Québécois French	probability
d	d	1.0
h	f	1.0
i	i	1.0
nː	m	1.0
p	p	1.0
r	ʁ	1.0
ð	-	1.0
ʃ	-	1.0
ʤ	ʒ	1.0
ʦ	-	1.0
a	-	0.11
k	k	0.511
u	-	0.331
ɔ	-	0.071
ɾ	-	0.151
ˈa	-	0.1
ˈi	i	0.271
ˈɔ	œ	0.071
ˈɛ	ɪ	0.071
e	ɛ	0.212
n	ã	0.072
u	u	0.262
ŋ	ã	0.232
ŋ	ẽɪ̯̃	0.362
ʎ	-	0.182
ʎ	l	0.322
ˈa	e	0.242
ˈy	w	0.192
ˈɛ	-	0.132
β	b	0.2
a	æɛ̯	0.103
l	l	0.963
t	-	0.413
z	z	0.713
ɣ	ɡ	0.23
ɲ	ɲ	0.283
ʒ	ʒ	0.803
ˈa	æɛ̯	0.33
ˈe	æɛ̯	0.193
ˈe	i	0.253
ˈi	i_ʁ	0.063
ˈi	ɪ	0.473
ˈy	-	0.133
ˈy	ɥ	0.253
ˈɛ	æɛ̯	0.503
n	n	0.784
w	øʏ̯	0.074
ˈe	j	0.094
ˈɔ	ɑɔ̯	0.724
b	b	0.305
b	v	0.695
e	-	0.295
j	t	0.185
j	-	0.815
w	w	0.055
w	ɥ	0.165
ɡ	-	0.05
ɡ	ɡ	0.95
ʎ	j	0.495
ˈa	a	0.205
ˈe	w_ɛ	0.205
ˈi	w	0.155
ˈy	y	0.235
a	a	0.786
e	e	0.216
m	-	0.107
u	ɔ	0.407
w	-	0.537
z	-	0.287
ŋ	ɒ̃ʊ̯̃	0.067
ɣ	-	0.77
ɲ	ẽɪ̯̃	0.717
ʒ	-	0.197
ˈu	ʊ	0.07
ˈu	ɒ̃ʊ̯̃	0.307
ˈy	ʏ	0.167
ˈɔ	ɔ	0.147
ˈɛ	j	0.187
e	w_ɛ	0.088
m	m	0.888
t	t	0.428
w	ɛ_l	0.138
ˈu	ɔ	0.248
ˈɔ	u	0.058
β	v	0.8
e	œ	0.189
k	ʃ	0.489
n	ẽɪ̯̃	0.129
s	s	0.969
t	ʦ	0.159
ŋ	n	0.339
ɔ	ɛ	0.929
ɾ	ʁ	0.849
ˈe	a	0.069
ˈe	-	0.09
ˈu	u	0.279
