Pennsylvania German	Pennsylvania German	probability
ˈɔ	ˈɔ	1.0
ˈoː_f	ˈoː_f	1.0
ˈa_n	n	1.0
ʦ	ʦ	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɾ	ʀ	1.0
ɣ	-	1.0
ɡ	j	1.0
ə_#>	#>	1.0
ɑ_n	n	1.0
ŋ	ŋ	1.0
p	p	1.0
m	m	1.0
j	j	1.0
h	h	1.0
eː	e_ŋ	1.0
b̥	v̥	1.0
b	b	1.0
<#_ˈʊ	<#_ˈʊ	1.0
<#	<#_ˈe	1.0
k	k	0.923
ə	ə	0.915
ɑ	ɐ	0.914
f	f	0.909
d	d	0.905
ʃ	ʃ	0.903
ç	ɕ	0.875
ˈuː	ˈoː	0.833
x	x	0.8
ˈa	ˈa	0.786
ʋ	ʋ	0.765
ˈaʊ̯	ˈuː	0.727
n	n	0.717
d̥	d̥	0.697
ˈɛː	-	0.667
ˈaː	-	0.667
#>	n_#>	0.636
ˈɛ	ˈɛ	0.619
t	-	0.615
ɪ	ɪ	0.6
ˈʊ	ˈo	0.588
ˈoː	ˈuː	0.538
l	l	0.527
ɡ̊	ɣ̊	0.5
ɡ̊	ɕ	0.5
l	ɫ	0.473
ˈɪ	ˈe	0.452
ˈiː	ˈeː	0.444
ˈeː	ˈeː	0.409
ɪ	ə	0.4
t	t	0.385
s	z	0.38
#>	ɡ̊_#>	0.364
s	s	0.36
ˈɛː	ˈɛ	0.333
ˈɔː	ˈaː	0.333
ˈaː	ˈɔː	0.333
n	ŋ	0.283
ˈaʊ̯	ˈɔʊ̯	0.273
ˈaɪ̯	ˈiː	0.261
d̥	ɡ̊	0.242
ˈɔː	ˈɔʊ̯	0.238
ˈɔː	ˈoː	0.238
ˈoː	ˈoː	0.231
ˈoː	-	0.231
ˈeː	ˈiː	0.227
ˈɪ	ˈɪ	0.226
ˈiː	ˈøː	0.222
s	z̥	0.22
ˈaɪ̯	-	0.217
ˈa	ˈaː	0.214
x	-	0.2
ˈɪ	ˈœ	0.194
ˈɛ	ˈɛː	0.19
ˈɛ	-	0.19
ˈɔː	ˈa	0.19
ˈeː	ˈeɪ̯	0.182
ˈʊ	ˈu	0.176
ʋ	v	0.176
ˈaɪ̯	ˈyː	0.174
ˈuː	-	0.167
ˈiː	ˈiː	0.167
ˈiː	-	0.167
ˈaɪ̯	ˈɪ	0.13
ç	-	0.125
ˈʊ	ˈɔ	0.118
ˈʊ	ˈoː	0.118
ʃ	s	0.097
d	t	0.095
ˈeː	ˈɛː	0.091
ˈeː	ˈyː	0.091
f	p	0.091
ˈaɪ̯	ˈʏ	0.087
ˈaɪ̯	ˈeɪ̯	0.087
ɑ	-	0.086
ə	n	0.085
k	-	0.077
ˈɪ	ˈʏ	0.065
ˈɪ	ˈeː	0.065
d̥	-	0.061
ʋ	-	0.059
