Swedish	Nynorsk Norwegian	probability
a	ɑ	0.635
a	e	0.307
a	-	0.058
b	b	1.0
d	d	0.811
d	-	0.189
f	f	0.973
h	h	1.0
j	j	0.808
j	ɡ	0.122
jː	j	1.0
k	k	0.732
k	ɕ	0.185
k	ʰkː	0.057
kʰ	kʰ	1.0
kː	ʰkː	0.61
kː	ɕː	0.224
kː	k	0.166
l	l	0.871
l	lː	0.119
lː	lː	1.0
m	m	1.0
mː	m	0.916
mː	mː	0.084
n	n	0.832
n	nː	0.125
nː	nː	0.835
nː	n	0.165
p	p	1.0
pʰ	pʰ	1.0
pː	p	0.738
pː	ʰpː	0.262
r	ɾ	0.988
rː	ɾ	1.0
s	s	0.972
sː	s	0.706
sː	sː	0.294
t	t	0.943
t	ʰtː	0.057
tʰ	tʰ	1.0
tː	ʰtː	0.414
tː	t	0.41
tː	tː	0.118
tː	ɕː	0.058
v	ʋ	0.907
v	-	0.054
ŋ	ŋ	0.708
ŋ	ɡ	0.122
ŋ	m	0.114
ŋ	ŋː	0.057
ŋː	ŋː	0.922
ŋː	ɲ	0.078
ɔ	e	1.0
ɕ	ɕ	1.0
ɖ	ɾ	1.0
ɛ	e	0.621
ɛ	-	0.166
ɛ	ə	0.147
ɛ	ɛ	0.066
ɡ	ɡ	0.99
ɡː	ɡː	0.745
ɡː	jː	0.255
ɧ	ʃ	0.863
ɧ	ɕ	0.116
ɪ	ɪ	0.342
ɪ	ɑ	0.319
ɪ	e	0.17
ɪ	ɛ	0.17
ɳ	ɾ_n	0.875
ɳ	nː	0.125
ɳː	n	1.0
ɵ	ʉ	1.0
ʂ	s	1.0
ʈ	t	1.0
ʈː	ɾ_t	1.0
ʊ	e	1.0
ˈa	ˈɑ	0.982
ˈeː	ˈæɪ̯	0.55
ˈeː	ˈeː	0.382
ˈiː	ˈiː	0.96
ˈoː	ˈoː	0.864
ˈuː	ˈuː	0.756
ˈuː	ˈʉː	0.134
ˈuː	ˈʊ	0.11
ˈyː	ˈyː	0.635
ˈyː	ˈiː	0.326
ˈæ	ˈɑ	0.802
ˈæ	ˈɛ	0.198
ˈæː	ˈeː	0.424
ˈæː	ˈæː	0.409
ˈæː	ˈɛ	0.167
ˈøː	ˈøː	0.584
ˈøː	ˈæʉ̯	0.248
ˈøː	ˈœ	0.088
ˈœ	ˈʊ	0.227
ˈœ	ˈœ	0.189
ˈœ	ˈʏ	0.151
ˈœ	ˈœʏ̯	0.128
ˈœ	ˈøː	0.089
ˈœ	ˈyː	0.081
ˈœ	ˈɔ	0.081
ˈœ	ˈæʉ̯	0.054
ˈœː	ˈœʏ̯	0.545
ˈœː	ˈɔ	0.455
ˈɑː	ˈɑː	0.734
ˈɑː	ˈɑ	0.122
ˈɑː	-	0.113
ˈɔ	ˈɔ	0.483
ˈɔ	ˈʊ	0.164
ˈɔ	ˈʉ	0.162
ˈɔ	ˈuː	0.101
ˈɔ	ˈoː	0.091
ˈɛ	ˈɛ	0.748
ˈɛ	ˈeː	0.083
ˈɛ	ˈæɪ̯	0.076
ˈɛː	ˈeː	0.33
ˈɛː	ˈɑː	0.272
ˈɛː	ˈæɪ̯	0.197
ˈɛː	ˈøː	0.132
ˈɛː	ˈæː	0.07
ˈɪ	ˈɪ	0.787
ˈɪ	ˈʏ	0.09
ˈɪ	ˈuː	0.061
ˈɪ	ˈɛ	0.061
ˈɵ	ˈʉ	0.704
ˈɵ	ˈʏ	0.128
ˈɵ	ˈʊ	0.097
ˈɵ	ˈɔ	0.062
ˈʉː	ˈʉː	0.712
ˈʉː	-	0.155
ˈʉː	ˈuː	0.081
ˈʊ	ˈʉ	0.512
ˈʊ	ˈuː	0.291
ˈʊ	ˈɔ	0.197
ˈʏ	ˈʏ	0.906
ˈʏ	ˈʉ	0.094
