Bavarian	Bavarian	probability
β	-	1.0
ˈuɐ̯_d̥	ˈuː	1.0
ˈoː	-	1.0
ˈou̯	ˈoː	1.0
ˈo_ɐ	ˈoːu̯	1.0
ˈiː	ˈɪ	1.0
ˈiɐ̯_s	ˈɛɪ̯_t	1.0
ˈiɐ̯	j_ˈoː	1.0
ˈe_ɐ	ˈɛɪ̯	1.0
ˈai̯_d̥	ˈiː_d	1.0
ˈai̯_#>	ˈɛɪ̯_#>	1.0
ʦ	t	1.0
ʋ	v	1.0
ʃ_d̥	s_t	1.0
ɡ̊_ˈeː	ˈeːu̯	1.0
ɡ̊_#>	#>	1.0
ɐ_ʦ	t	1.0
ɐ	r	1.0
ç	k	1.0
x_d̥	x_t	1.0
x_#>	k_#>	1.0
s_n	t_ə	1.0
s_#>	s_#>	1.0
r	r	1.0
n_a	n_ə	1.0
l_ˈɑ	l	1.0
j_d̥	l_d	1.0
j	l	1.0
i	-	1.0
h	h	1.0
f_#>	p_#>	1.0
eɐ̯	i	1.0
d̥_ˈu	t_ˈɔː	1.0
d̥_r	d_r	1.0
d̥_a	r	1.0
b̥͡v̥	p	1.0
<#_ˈo	<#_ˈoː	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#_d̥	<#	1.0
<#	<#_j	1.0
l	l	0.913
b̥	b	0.864
m	m	0.862
d̥	d	0.809
ˈoɐ̯	ˈeː	0.8
f	f	0.8
ˈuɐ̯	ˈoːu̯	0.667
ˈau̯	ˈuː	0.667
ʃ	s	0.625
ˈɑː	ˈɔː	0.6
ˈɑ	ˈɔː	0.6
ˈa	-	0.6
x	k	0.6
b̥_#>	f_#>	0.6
n	n	0.595
#>	ə_#>	0.575
ˈaː	-	0.556
s	s	0.533
ˈɒː	-	0.5
ə	ə	0.5
ə	-	0.5
ŋ	ŋ	0.5
ˈai̯	ˈi	0.462
ˈaː	ˈoː	0.444
a	ə	0.441
ˈɑː	-	0.4
ˈɑ	ˈa	0.4
ˈa	ˈoː	0.4
x	x	0.4
b̥_#>	#>	0.4
ˈu	ˈuː	0.389
ˈi	ˈɪ	0.375
ʃ	s_k	0.375
s	t	0.367
ˈo	ˈoːu̯	0.353
a	ə_r	0.353
ɡ̊	k	0.35
ˈɒː	ˈɔː	0.333
ˈu	ˈʊ	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ˈe	-	0.316
ɡ̊	x	0.3
n	ə	0.297
ˈi	ˈiː	0.25
ˈeː	j	0.25
ˈo	ˈɔ	0.235
ˈai̯	j_ˈuː	0.231
ˈuɐ̯	ˈɛɪ̯	0.222
ˈau̯	-	0.222
ˈe	ˈeː	0.211
a	r	0.206
ˈoɐ̯	ˈoː	0.2
#>	n_#>	0.2
d̥	t	0.191
ˈo	ˈʊ	0.176
ˈɒː	ˈɛ	0.167
ˈu	ˈɛː	0.167
ŋ	ɣ_j	0.167
ˈe	ˈɛ	0.158
ˈai̯	ˈyː	0.154
ˈai̯	-	0.154
ɡ̊	ɣ	0.15
ɡ̊	-	0.15
#>	k_#>	0.15
b̥	-	0.136
f	p	0.133
ˈi	ˈɛː	0.125
ˈi	-	0.125
ˈo	ˈoː	0.118
ˈo	ˈiː	0.118
ˈuɐ̯	ˈu	0.111
ˈu	-	0.111
ˈau̯	ˈøː	0.111
ŋ	ɣ	0.111
ŋ	ə	0.111
ŋ	-	0.111
ˈe	ˈɔː	0.105
ˈe	ˈiː	0.105
ˈe	ˈa	0.105
s	z	0.1
l	l_ˈaː	0.087
ˈi	ˈɔː	0.083
ˈeː	ˈiːu̯	0.083
#>	x_#>	0.075
m	w	0.069
m	-	0.069
f	-	0.067
n	ə_n	0.054
n	-	0.054
