Romansch	Occitan	probability
a	a	1.0
b	b	1.0
i	e	1.0
k	k	1.0
o	u	1.0
s	s	1.0
t	t	1.0
z	-	1.0
ʦ	ʦ	1.0
ʧ	s	1.0
ˈaː	ˈa	1.0
ˈiə̯	ˈɛ	1.0
ˈo	ɥ_ˈɛ	1.0
ˈuɔ̯	ˈu	1.0
r	ɾ_e	0.141
r	ɾ	0.241
w	-	0.421
ʥ	ʒ	0.741
ʨ	ʧ	0.201
ˈu	ˈu	0.691
f	w	0.212
l	l	0.952
u	a_w	0.072
ŋ	ŋ	0.862
ɡ	ɣ	0.2
ɲ	ɲ	0.752
ʃ	ʦ	0.232
ˈa	ˈa	0.812
ˈe	ˈɛ	0.052
ˈeː	ˈe	0.72
ˈiː	ˈi	0.852
ˈuː	ˈy	0.292
ˈɛ	ˈɔ	0.222
j	ˈɛ	0.33
ʃ	j_s	0.063
ʎ	l	0.63
ˈe	ˈe	0.903
ˈu	ˈy	0.13
ˈɔ	ˈɔ	0.313
ˈɛ	ˈɛ	0.713
n	n	0.964
v	β	0.324
ˈi	ˈy	0.554
ˈɛ	j_ˈɛ	0.064
d	ʤ	0.155
u	<#_e	0.125
u	u	0.715
ʃ	s	0.355
ˈɔː	ˈa	0.05
ˈɔː	ˈɔ	0.95
ˈɛː	ˈɛ	0.465
ˈɛː	ˈɛ_l	0.535
d	ð	0.196
j	ɥ	0.166
j	ˈe	0.296
r	r_e	0.076
r	r	0.286
v	v	0.676
ə	-	0.086
ʃ	ʒ	0.076
ʃ	-	0.196
ʨ	k	0.766
ˈi	ˈi	0.446
j	-	0.207
m	m	0.97
p	p	0.967
r	j_ɾ_e	0.137
ə	a	0.177
ə	ɔ	0.57
ʃ	z	0.077
ʎ	ʎ	0.37
ˈɔ	ˈa	0.687
f	f	0.788
u	<#_ɥ	0.058
w	β	0.08
w	w	0.498
ŋ	ŋ_k	0.138
ə	e	0.158
ɡ	ɡ	0.8
ɲ	n	0.248
ˈa	-	0.188
ˈeː	j	0.28
ˈiː	ˈy	0.148
ˈuː	ˈu	0.708
d	d	0.649
ʥ	-	0.259
ˈu	ˈɔ	0.179
