Westphalian	Afrikaans	probability
b	b	1.0
f	f	1.0
h	ɦ	1.0
j	j	1.0
k	k	1.0
p	p	1.0
r	r	1.0
s	s	1.0
x	χ	1.0
z	s	1.0
ç	χ	1.0
ɡ	-	1.0
ɣ	χ	1.0
ɪ	ə	1.0
ˈa	ˈa	1.0
ˈaɪ̯	ˈi	1.0
ˈaʊ̯	ˈʊə̯	1.0
ˈoː	ˈu	1.0
ˈuːə̯	ˈɔ	1.0
ˈyː	ˈyː	1.0
ˈøː	ˈu	1.0
ˈœː	ˈʊə̯	1.0
ˈɔ	ˈɔ	1.0
ˈɪə̯	ˈɪə̯	1.0
ˈʏ	ˈœ	1.0
d	d̥	0.351
ʃ	s	0.51
ˈɛ	ˈɛː	0.111
ˈɪ	ˈəɪ̯	0.061
ˈʊ	ˈɔ	0.851
n	-	0.222
t	t	0.692
ŋ	-	0.102
ɐ	r	0.682
ʋ	-	0.412
d	-	0.083
v	f	0.113
ˈeː	ˈəɪ̯	0.063
ˈuː	ˈɔ	0.133
m	-	0.074
t	r_t	0.134
t	d̥	0.174
ˈaː	ˈa	0.594
ˈiː	ˈi	0.204
ˈɛ	ˈɛ	0.674
ˈɪɛ̯	ˈæ	0.14
d	d	0.565
m	m	0.885
ˈɛ	ˈæ	0.215
ˈaː	ˈɑː	0.406
ˈiː	ˈəɪ̯	0.796
ˈɪɛ̯	ˈɪə̯	0.86
ˈeː	ˈɪə̯	0.937
ˈuː	ˈœɪ̯	0.867
ˈɔː	ˈɑː	0.977
l	ɫ	0.978
n	n	0.738
ŋ	ŋ	0.898
ɐ	ə_r	0.318
ʋ	w	0.588
ˈɪ	ˈə	0.848
v	v	0.819
ʃ	s_k	0.49
ˈɪ	ˈɪ	0.09
ˈʊ	ˈœɪ̯	0.149
