Gascon	Gascon	probability
ˈɛ_t	ˈi_ʝ	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʦ_#>	θ_#>	1.0
ʃ	θ_ˈe	1.0
ɾ_ɔ	ɾ_a	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ_#>	n_#>	1.0
ð_e	ɾ	1.0
ð	ð	1.0
z_ˈa	s	1.0
w_ˈe	ˈo	1.0
w_k	ˈo_k	1.0
u_l	o_l	1.0
t_ɔ	t_a	1.0
s_e	s_e	1.0
s_#>	s_#>	1.0
r_#>	ɾ_n_o_#>	1.0
p_l	ɟ͡ʝ	1.0
p_#>	β_o_#>	1.0
p	p	1.0
n_#>	n_t_e_#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_ɔ	ʝ_a	1.0
l	l	1.0
k_ɾ	k	1.0
k_l	ɟ͡ʝ	1.0
k_#>	ɣ_o_#>	1.0
j_ˈe	e	1.0
j_t	ʧ	1.0
e_r	e_ɾ	1.0
b_ˈa	b_ˈa	1.0
a_r	r	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ʒ	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
<#_e	<#_e	1.0
<#_a_w	<#_o	1.0
<#_a	<#_a	1.0
ɔ	a	0.96
k	k	0.938
β	β	0.882
s	s	0.878
ˈa	ˈa	0.873
ʎ	x	0.867
r	ɾ	0.867
b	b	0.839
ˈi	ˈi	0.812
ˈe	ˈe	0.795
d	d	0.778
u	o	0.769
ˈɔ	w_ˈe	0.75
ɾ	ɾ	0.75
e_#>	ɾ_#>	0.75
ˈy	ˈu	0.714
z	θ	0.667
<#_ˈa	<#_ˈa	0.667
ˈu	ˈo	0.656
h	f	0.6
ˈɛ	j_ˈe	0.591
#>	o_#>	0.584
ŋ	n_o	0.556
t	t	0.513
ʒ	ɟ͡ʝ	0.5
ʒ	-	0.5
w_#>	l_o_#>	0.455
i	i	0.429
h	-	0.4
e	e	0.393
ŋ	ŋ	0.333
z	s	0.333
j	-	0.333
<#_ˈa	<#	0.333
ˈɛ	ˈe	0.318
w	ˈo	0.292
i	b_ɾ	0.286
i	-	0.286
j	o	0.278
j	j	0.278
w_#>	β_e_#>	0.273
w_#>	l_#>	0.273
ˈɔ	ˈo	0.25
ˈu	w_ˈe	0.25
w	w	0.25
w	o	0.25
e_#>	#>	0.25
u	u	0.231
d	-	0.222
#>	e_#>	0.182
e	ɾ_o	0.179
ɾ	-	0.167
t	ð	0.154
ˈy	ˈu_ɾ	0.143
ˈy	ˈo	0.143
ʎ	-	0.133
r	e	0.133
w	l	0.125
β	β_ɾ	0.118
ŋ	n	0.111
j	ð_ɾ	0.111
e	ˈi_ɾ	0.107
e	i	0.107
#>	ɾ_#>	0.104
t	ð_o	0.103
t	-	0.103
b	b_j	0.097
ˈu	-	0.094
ˈi	j	0.094
ˈi	-	0.094
ˈɛ	m	0.091
ɾ	o	0.083
w	β	0.083
#>	t_o_#>	0.078
ˈe	j_ˈe	0.077
ˈe	e	0.077
t	ʧ	0.077
s	θ	0.073
e	ˈe	0.071
e	o	0.071
e	-	0.071
b	e_ɾ	0.065
k	ɡ	0.062
ˈa	-	0.055
#>	l_#>	0.052
ˈe	-	0.051
t	ʝ	0.051
